"ACT.25.1", "Na afei Festus baa ɔmansin no mu no, ne ndaansa ekyir no ofii Kaesarea kɔr Jerusalɛm.", ""
"ACT.25.2", "Na asɔfompanyin nye Jewfo etsitsir no kaa asɛm tsiaa Paul kyerɛɛ no, na wɔserɛɛ adom wɔ no hɔ dɛ", ""
"ACT.25.3", "ɔnsoma ma wɔnkɛfa Paul mbra Jerusalɛm; na nkyɛ wɔaatsɛw no kwan mu eku no.", ""
"ACT.25.4", "Na Festus dze, obuaa dɛ wɔdze Paul risie wɔ Kaesarea, na nankasa so ɔnnkɛkyɛr na ɔakɔ hɔ.", ""
"ACT.25.5", "Na ɔsee dɛ, Dɛm ntsi hom mma hom mu hɔn a wɔwɔ tum no nye me nsian nkɔ, na sɛ biribi a ɔnnsɛ wɔ ɔbarimba yi mu a, wɔnye no nkɔbɔ nkuro.", ""
"ACT.25.6", "Na odzii hɔn mu bɛyɛ nda awɔtwe anaa dadu no, osianee kɔr Kaesarea; na adze kyee no, na ɔkɛtsenaa asɛndzigua do no, ɔhyɛɛ dɛ wɔmfa Paul mbra.", ""
"ACT.25.7", "Na ɔbae no, Jewfo a woefi Jerusalɛm aba no botwaa no ho hyiae, na wɔdze nsɛmbɔn pii a ɔyɛ dur toatoaa no a hɔnara woenntum annkyerɛ mu;", ""
"ACT.25.8", "na Paul yii n'ano dɛ, Jewfo mbra o, asɔrfi o, Kaesar o, mennyɛɛ bɔn biara minntsiae.", ""
"ACT.25.9", "Na Festus pɛɛ dɛ onya Jewfo enyimpa ntsi, obisaa Paul dɛ, Epɛ dɛ ekɔ Jerusalɛm ma woeebu wo ndzɛmba yi ho atsɛn wɔ m'enyim anaa?", ""
"ACT.25.10", "Na Paul see dɛ, Migyina Kaesar asɛndzigua enyim, mbrɛ ɔsɛ dɛ wobu me atsɛn: Jewfo dze, mennyɛɛ hɔn bɔn bi, dɛ mbrɛ woara so inyim yie no.", ""
"ACT.25.11", "Na sɛ mayɛ bɔn, anaa sɛ mayɛ biribi a ɔsɛ wu a, mommpow dɛ mubowu; na sɛ ndzɛmba a yinom rotoa m'ano wɔ ho yi nnyɛ nokwar a, obi runntum mmfa me nnhyɛ hɔn nsa. Emi dze, medan Kaesar.", ""
"ACT.25.12", "Nna Festus nye baguafo no tuu egyina no, obuaa dɛ, Sɛ edze akɛdan Kaesar a, ɔnodze, Kaesar hɔ na ebɔkɔ.", ""
"ACT.25.13", "Na nda bi ekyir no, Ɔhen Agrippa nye Bernise baa Kaesarea, na wobekyiaa Festus.", ""
"ACT.25.14", "Na wodzii hɔ nda pii no, Festus dze Paul ho asɛm no too ɔhen no enyim dɛ, Ɔbarimba bi wɔ hɔ a Feliks gyaa no mpokyerɛ mu:", ""
"ACT.25.15", "ɔno na mokɔr Jerusalɛm no, asɔfompanyin nye Jewfo mpanyin no kaa no ho asɛm kyerɛɛ me serɛɛ me dɛ mumbu no atsɛn.", ""
"ACT.25.16", "Na mubuaa hɔn dɛ ɔnnyɛ Romefo amambra dɛ wobeyi nyimpa bi ama, gyedɛ nyia wɔrobɔ no ho nkuro no nye no nkurobɔfo no edzi enyim na enyim, na onya kwan yi n'ano wɔ dza wɔdze ato no do ho ansaana.", ""
"ACT.25.17", "Dɛm ntsi wobehyiaa ha no, mannyɛ ekyim, na adze kyee no mekɛtsenaa asɛndzigua do na mehyɛɛ dɛ wɔmfa ɔbarimba no mbra.", ""
"ACT.25.18", "Na no nkurobɔfo no begyinaa hɔ no, wɔannka emumuyɛdze a mususui no mu biara ho asɛm annto no do,", ""
"ACT.25.19", "na hɔnankasa hɔn nyamesom ho ekyingye a wɔnye no gyee no ho, na Jesus bi a oewu a Paul so se dɛ ɔtse ase no ho dze.", ""
"ACT.25.20", "Na dɛ minnyim mbrɛ mebɛyɛ mahwehwɛ iyinom mu ntsi, mibisaa no dɛ ɔpɛ dɛ ɔbɔkɔ Jerusalɛm ma woeekobu no atsɛn wɔ nsɛm yi ho anaa.", ""
"ACT.25.21", "Na Paul dze asɛm no kɛdaan ɔhempɔn no dɛ wɔmfa no nsie ma onkodu n'enyim ntsi, mehyɛɛ dɛ wɔmfa no nsie ma onkodu dɛ mobɔsoma ma wɔdze no akɛma Kaesar.", ""
"ACT.25.22", "Nna Agrippa see Festus dɛ, Nkyɛ mo so mepɛ dɛ mitsie nyimpa no. Na ɔsee dɛ, Ɔkyena ibetsie no.", ""
"ACT.25.23", "Na afei adze kyee no, Agrippa nye Bernise dze ahokeka kɛse bae, na wɔnye asafohen mpanyin no binom, nye kurow no mu mbapɔmba no, kɔr mbrɛ wotsie asɛm hɔ, na Festus hyɛe no, wɔdze Paul bae.", ""
"ACT.25.24", "Na Festus see dɛ, Ɔhen Agrippa, nye mbarimba a hom nye hɛn wɔ ha nyina, hom nhwɛ nyimpa yi a Jewfo nyimpadodow nyina serɛɛ me tsiaa no wɔ Jerusalɛm nye ha, na wɔtseatseaa mu dɛ ɔnnsɛ dɛ ɔtsena ase bio no.", ""
"ACT.25.25", "Naaso muhun dɛ ɔannyɛ biribi a ɔsɛ wu; na nankasa dze asɛm no akɛdan ɔhempɔn no ntsi mahyɛ dɛ mobɔsoma no hɔ.", ""
"ACT.25.26", "Naaso minnyi biribi tsitsir biara a mebɛkyerɛw akɛma mo wura wɔ no ho. Dɛm ntsi na medze no aba hom enyim, nkanka ɔwo, Ɔhen Agrippa, ama wowie mu hwehwɛ a, meenya biribi a mebɛkyerɛw.", ""
"ACT.25.27", "Ɔyɛ me dɛ nyansa biara nnyi mu dɛ medze daduanyi mobɔkɔ, na mennkɛkyerɛ asɛm kor a wɔdze ato no do.", ""
