"ACT.26.1", "Na Agrippa see Paul dɛ, Wɔama wo kwan dɛ ka w’asɛm. Nna Paul tseen ne nsa yii n’ano dɛ:", ""
"ACT.26.2", "Muhu no dɛ me tsir ayɛ yie, Ɔhen Agrippa, dɛ miribeyi m’ano wɔ w’enyim ndɛ, wɔ nsɛm nyina a Jewfo dze roto mo do no ho;", ""
"ACT.26.3", "na ne tsitsir nye dɛ ɔwo dze awea amambra nye ekyingyesɛm a ɔwɔ Jewfo mu nyina ho: dɛm ntsi meserɛ wo dɛ to wo bo tsie me.", ""
"ACT.26.4", "M’asetsena fitsi mo mbofraber mu a ɔhyɛɛ ase wɔ mankasa me man mu, nye Jerusalɛm no, Jewfo nyina nyim:", ""
"ACT.26.5", "na wonyim me fi ahyɛse, na sɛ wɔpɛ dɛ wodzi ho dase a, wonyim dɛ moforaa fɛkuw a wotua hɛn som no ho no mu, na mobɔɔ me bra dɛ Farisiinyi.", ""
"ACT.26.6", "Na afei migyina ha na worubu me atsɛn wɔ anohoba a Nyankopɔn dze maa egyanom no ho enyidado ntsi yi:", ""
"ACT.26.7", "ɔno na hɛn mbusuakuw duebien no som enyiberdo adzesaa nye adzekyee, dze hɔn enyi to do dɛ wobenya. Na enyidado yi ho ntsi, ɔhen, nna Jewfo rotoatoa m’ano yi o.", ""
"ACT.26.8", "Ɔyɛ dɛn na hom bu iyi asɛm a wɔnngye nndzi, dɛ Nyankopɔn nyan ewufo?", ""
"ACT.26.9", "Na ampaara mankasa so modween moho dɛ ɔsɛ me dɛ mebɛyɛ ndzɛmba pii metsia Jesus Nazarɛtnyi no ne dzin.", ""
"ACT.26.10", "Na iyi so na meyɛe wɔ Jerusalɛm: minyaa asɔfompanyin no hɔ tum no, medze ahotseweefo no pii guu efiadze, na sɛ woruku hɔn a, m’ano wɔ mu bi.", ""
"ACT.26.11", "Na motɔɔ dɛ metsea hɔn wɔ nhyiamudan nyina mu, na mehyɛɛ hɔn dɛ wɔnka ebususɛm; na mobɔɔ hɔn do dam koraa no metaa hɔn do kɔr ananaben nkurow do.", ""
"ACT.26.12", "Ɔno mu na menam rokɔ Damaskɔs na medze asɔfompanyin hɔn tum nye ho kwan no,", ""
"ACT.26.13", "wigyinae, ɔhen, muhun kwan no do kan bi a ofi sor a ɔkyɛn ewia ne hyerɛn, dɛ oebotwa emi nye hɔn a wɔnye me nam no ho ehyia.", ""
"ACT.26.14", "Na hɛn nyina hwehwee daadze no, metsee ndze bi a ɔrekasa kyerɛ me wɔ Hebriw kasa mu dɛ, Saul, Saul, ɔyɛ dɛn na etaa mo do yi? Ɔyɛ dzen ma wo dɛ ebɔwɔ dadzepoma ano ntsia.", ""
"ACT.26.15", "Na mesee dɛ, Woana nye wo, Ewuradze? Na Ewuradze see dɛ, Emi nye Jesus a etaa no do no.", ""
"ACT.26.16", "Na soɛr gyina w’anan do: na iyi ntsi na meyi moho akyerɛ wo, dɛ mibeyi wo ato hɔ dɛ ndzɛmba a ehu yi nye dza miribeyi moho akyerɛ wo wɔ mu no ho somfo nye dasefo;", ""
"ACT.26.17", "na mibeyi wo wɔ ɔman no nye amanaman a morosoma wo wɔ hɔn hɔ no nsamu,", ""
"ACT.26.18", "dɛ kobue hɔn enyi na kɛdan hɔn fi sum mu bra kan mu, ma woeefi Satan tum mu aba Nyankopɔn hɔ, na woeenya bɔnfakyɛ nye egyapadze wɔ hɔn a wɔnam gyedzi a ɔwɔ mo mu do enya ahotsewee no mu.", ""
"ACT.26.19", "Dɛm ntsi, Ɔhen Agrippa, mannyɛ enyido adzehu a ofi sor no ho asoɔdzen:", ""
"ACT.26.20", "na midzii kan kyerɛɛ hɔn a wɔwɔ Damaskɔs, nye hɔn a wɔwɔ Jerusalɛm so, nye Judea asaase do nyina, nye amanaman no, dɛ wonnu hɔnho na wɔnsan mbra Nyankopɔn hɔ, na wɔnyɛ ndwuma a ɔfata nnuho.", "#Ndwu 9.20, 28, 29"
"ACT.26.21", "Iyi ntsi na Jewfo no bɛkyeer me wɔ asɔrfi mu, hwehwɛɛ dɛ woku me.", ""
"ACT.26.22", "Na dɛ minyaa Nyankopɔn hɔ mboa ntsi, na migyina hɔ dze ebodu ndɛ, na midzi dase kyerɛ akɛse nye nkakraba nyina, na mennka asɛm biara gyedɛ dza nkɔnhyɛfo nye Moses nyina kaa dɛ ɔbɛba mu no nkotsee;", ""
"ACT.26.23", "mbrɛ otwar dɛ Kraest bohu amandze, na oedzi kan nam ewufosoɛr mu aka kan ho asɛm akyerɛ ɔman no nye amanamamfo.", "#1 Kor 15.20; Isa 42.6; 49.6"
"ACT.26.24", "Na oyii n’ano dɛm no, Festus dze ndze kɛse tseaa mu dɛ, Paul, egyim: nwomasua dodow robɔ wo dam.", ""
"ACT.26.25", "Na Paul see dɛ, Mommbɔɔ dam bi, onyimnyamfo Festus, na meka nokwar nye enyidahɔ nsɛm.", ""
"ACT.26.26", "Na ɔhen a medze ndam kasa kyerɛ no yi nyim nsɛm yi mu: na megye dzi dɛ iyinom mu biara nnsuma no; na wɔannyɛ yi wɔ kukua mu.", ""
"ACT.26.27", "Ɔhen Agrippa, egye nkɔnhyɛfo no dzi anaa? Minyim dɛ egye dzi.", ""
"ACT.26.28", "Na Agrippa see Paul dɛ, Ana edwen dɛ ber kakraabi yi ibotum ama maayɛ Kristiannyi?", ""
"ACT.26.29", "Na Paul see dɛ, Mepɛ wɔ Nyankopɔn mu dɛ, aka kakraabi o, aka pii o, nkyɛ nnyɛ wo nko, na hɔn a woritsie me ndɛ nyina aayɛ dɛ mara, gyedɛ nkyehoma yi nko.", ""
"ACT.26.30", "Na ɔhen no, nye ambrado no, nye Bernise, nye hɔn a wɔnye hɔn tse hɔ no soɛree;", ""
"ACT.26.31", "na wɔkɔr nkyɛn beebi no, wɔkae wɔ hɔn mu dɛ, Nyimpa yi nnyɛɛ biribi a ɔsɛ owu anaadɛ nkyehoma.", ""
"ACT.26.32", "Na Agrippa see Festus dɛ, Sɛ nyimpa yi ammfa n’asɛm annkɛdan Kaesar a, nkyɛ woegyaa no.", ""
