"ACT.28.1", "Na yenyaa hɛn tsir dzidzii mu no, nna yehun dɛ supruw no wɔfrɛ no Malta.", ""
"ACT.28.2", "Na nyimpa a wɔwɔ hɔ no yɛɛ hɛn adɔyɛ kɛse: na ɔnam nsu a ɔrotɔ na awɔw no ntsi, wokuaa gya na wɔgyee hɛn nyina fɛfɛɛfɛw.", ""
"ACT.28.3", "Na Paul boaboaa mbabaaba ano guu gya no do no, ehurutsia fi hyew no mu bae bɛbrabraa ne nsa ho.", ""
"ACT.28.4", "Na asaase no do mba yi hun abowa no dɛ ɔsɛn ne nsa ho no, wɔsesee hɔnho nkorkor dɛ, Ampaara nyimpa yi yɛ owudzifo a oefi po mu enya nkwa dze, naaso awerdzi amma no kwan dɛ ɔtsena ase.", ""
"ACT.28.5", "Na ɔpetsee abowa no kyeen gya mu, naaso hwee annyɛ no.", ""
"ACT.28.6", "Na hɔn dze, hɔn enyi daa kwan dɛ ɔrobɔhonhon, anaa ɔrobɔhwe ase ewu awerɛfir mu; na wɔhwɛe hwɛe na wohun dɛ biribiara annyɛ no no, wɔsesaa hɔn adwen dɛ gyama ɔyɛ onyame bi.", ""
"ACT.28.7", "Na apaamu hɔ ara na supruw no mu otsitsir a ne dzin dze Publius n’asaase wɔ; ɔno na ɔgyee hɛn yɛɛ hɛn hɔho ndaansa hwɛɛ hɛn yie.", ""
"ACT.28.8", "Na ɔbaa dɛ nna Publius n’egya da hɔ yar papu nye akokɔr: ɔno na Paul kɔr ne nkyɛn kɔbɔɔ mpaa, na ɔdze ne nsa too no do saa no yarba.", ""
"ACT.28.9", "Na ɔyɛɛ dɛm no, nkaa no so a wɔyar wɔ supruw no mu no bae, na wɔsaa hɔn yar;", ""
"ACT.28.10", "hɔn so na wɔdze enyidzi pii dzii hɛn, na yerubotu no, wɔdze ndzɛmba a ohia hɛn guu hɛn no mu.", ""
"ACT.28.11", "Na abosoom ebiasa ekyir no, yɛfoow Alɛksandria hɛn bi a oedzi awɔwber wɔ supruw no mu a n’asɛnkyerɛdze nye Ntafo no kɔree.", ""
"ACT.28.12", "Na yedur Sirakuse no, yedzii hɔ ndaansa.", ""
"ACT.28.13", "Na hɔ na yefii kwanee baa Rehegium; na da kor ekyir no, pomu mframa bɔe, na n’adzekyee no yekodur Puteoli;", ""
"ACT.28.14", "hɔ na yehun enuanom bi a wɔserɛɛ hɛn dɛ yɛntsena hɔn nkyɛn nda esuon; na mbrɛ yɛdze kodur Rome nye no.", ""
"ACT.28.15", "Hɔ na enuanom no, wɔtsee hɛn nka no, twaa kwan tsentsen baa bea bi a wɔfrɛ no Apius Guado, na binom so baa bea a wɔfrɛ no Nsadan Ebiasa a ɔno bɛn Rome; behyiaa hɛn, na Paul hun hɔn no, ɔdaa Nyankopɔn ase na ɔhyɛɛ dzen.", ""
"ACT.28.16", "Na yedur Rome mu no, ɔhamupanyin no dze mpokyerɛfo no maa Annkɔbea Safohen no, na Paul dze, ɔmaa no ho kwan dɛ ɔnye sordaanyi a ɔhwɛ no no nkɛtsena mbrɛ ɔpɛ.", ""
"ACT.28.17", "Na ɔbaa dɛ ndaansa ekyir no, ɔfrɛfrɛɛ Jewfo etsitsir no boaa ano; na wobehyiae no, ɔsee hɔn dɛ, Enuanom, mannyɛ biribi enntsia ɔman no anaa hɛn egyanom amambra, naaso woyii me dɛ daduanyi fii Jerusalɛm hyɛɛ Romefo nsa;", ""
"ACT.28.18", "hɔn na wɔhwehwɛɛ mu no, wɔpɛɛ dɛ wogyaa me, osiandɛ woennhu biribiara ɔfata mo wu.", ""
"ACT.28.19", "Na Jewfo kasae tsiae no, ɔbaa dɛ medze m’asɛm kɛdaan Kaesar: nnyɛ dɛ mowɔ biribi a medze bɔtoa me man bi a.", ""
"ACT.28.20", "Na iyi ntsi na meserɛɛ hom dɛ hom mbohu me na hom akasa akyerɛ me: na osian Israel enyidado ntsi na wɔdze nkɔnsɔnkɔnsɔn yi ato me yi.", ""
"ACT.28.21", "Na wɔsee no dɛ, Hɛn dze yennyaa wo ho nwoma bi mmfii Judea, eso enuanom no mu biara mmbaa ha mmbɔbɔɔ kasee anaa ɔmmbɛkaa wo ho asɛm bɔn bi.", ""
"ACT.28.22", "Na yɛpɛ dɛ yehu dza edwen fa fɛkuw yi ho, osiandɛ yenyim dɛ wɔkasa tsia no wɔ mbea nyina.", ""
"ACT.28.23", "Na wɔhyɛɛ no da no, piinara baa ne nkyɛn wɔ mbrɛ ɔsoɛe no; hɔn na ɔkyerɛɛ hɔn ase dzii Nyankopɔn ahenman no ho dase, na ofitsi Moses mbra nye nkɔnhyɛfo no do kyerɛɛ hɔn Jesus ho asɛm mu fi anapa kesii ewimbir.", ""
"ACT.28.24", "Na binom gyee dza ɔkae no dzii, na binom so anngye enndzi.", ""
"ACT.28.25", "Na hɔn adwen annsaa wɔ dza ɔreka no ho no, wɔkɔree, na Paul kaa asɛm kor bi dɛ, Sunsum Krɔnkrɔn no nam nkɔnhyɛnyi Isaia do kaa no yie kyerɛɛ hɛn egyanom dɛ,", ""
"ACT.28.26", "Kɔ ɔman yi hɔ na se dɛ, Ɔtse dze hom bɛtse, naaso hom renntse ase; Na ɔhwɛ dze hom bɔhwɛ, naaso hom runnhu:", "#Isa 6.9, 10"
"ACT.28.27", "Osiandɛ ɔman yi akoma epirim, Na hɔn asowa esiw ɔtse ho, Na woemuamua hɔn enyiwa; Amma wɔaammfa hɔn enyiwa ennhu adze, Na wɔaammfa hɔn asowa anntse asɛm, Na wɔaammfa hɔn akoma anntse ase, Ma wɔaanndan ammba me nkyɛn ma maannsa hɔn yarba.", ""
"ACT.28.28", "Dɛm ntsi, hom nhu dɛ wɔasoma Nyankopɔn no nkwagye no akɛma amanamamfo: na hɔn so wɔbɛtse.", ""
"ACT.28.29", "[Na ɔkaa dɛm no, Jewfo no kɔree, na wɔgyegyee ekyingye wɔ hɔn mu.]", "#28.29 Tsetse akyerɛwfo binom mmfa nkyekyɛmu 29 yi nnka ho."
"ACT.28.30", "Na Paul tsenaa nankasa ne fi a otua kaw mu mfe ebien, na ɔgyee hɔn a wɔbaa ne nkyɛn nyina,", ""
"ACT.28.31", "kaa Nyankopɔn ahenman no ho asɛm, na ɔdze ndamyɛ nyina kyerɛkyerɛɛ ndzɛmba a ɔfa Ewuradze Jesus Kraest ho, na obi ennsiw no kwan.", ""
