"AMO.8.1", "Dɛm na EWURADZE Nyankopɔn dze kyerɛɛ me: na, hwɛ, ɔpɛber mu eduaba kɛntsɛn ma.", ""
"AMO.8.2", "Na obisaa me dɛ, Amos, ebɛnadze na ihu yi? Na mesee dɛ, Ɔpɛber eduaba kɛntsɛn ma. Nna EWURADZE see me dɛ, Ewiei no aba me man Israel do; merennda ho mmpa hɔn ho bio.", ""
"AMO.8.3", "Na asɔrfi mu ndwom bɛdan ewuotwa wɔ da no mu, EWURADZE Nyankopɔn na ɔse: efun bɔdɔɔ so; wɔnam dzinn bɔtotow hɔn egugu mbea nyina.", ""
"AMO.8.4", "Hom ntsie yi, hom a hom repɛ ehiafo amemen hɔn, na wɔama abɔbɔfo asa asaase no do,", ""
"AMO.8.5", "na hom bisa dɛ, Dabɛn na bosoom fofor no bɔkɔ, ma yaatɔn eburow? Na ahomgyeda no, ma yeetue ewifua ano? Na yaayɛ efa ketseaba, na dwetɛbona kɛse, na yɛdze akɔhwi nsɛn eesisi", ""
"AMO.8.6", "ama yɛdze dwɛɛtɛɛ aatɔ ɔbɔbɔfo, na yɛdze mpaboa ha na ha, atɔ ohianyi, na yaatɔn ewifua ntɔmpamu no.", ""
"AMO.8.7", "EWURADZE aka Jakob n’ahopɔw ho ntam, dɛ, Ampaara mo werɛ rimmfir hɔn ndwuma no mu biara da.", ""
"AMO.8.8", "Aso asaase no nnkɔwosow wɔ iyi ntsi, ma obiara a ɔtse do edzi nkɔmbɔ? Ɛhɛɛ, obeyir dɛ Esutsen Nael; na wɔbɔfon no na ɔatwe bio, dɛ Egypt Esutsen.", ""
"AMO.8.9", "Na ɔbɛba wɔ da no mu, EWURADZE Nyankopɔn na ɔse, dɛ mebɛma wi atɔ ewiaber, na mahyɛ asaase do sum adzekyee petee.", ""
"AMO.8.10", "Na mebɛdan hom afahyɛ nkɔmbɔdzi, na hom ndwom nyina ewuotwa; na mebɛma eyitam akyekyer asen nyina, na etsipaa aba tsir nyina do; na mebɛma ɔayɛ dɛ bakor ho ewuotwa, na n’ewiei ayɛ dɛ da a ɔyɛ wen.", ""
"AMO.8.11", "Hwɛ, nda reba, EWURADZE Nyankopɔn na ɔse, dɛ mebɛma ɔkɔm aba asaase no do, nnyɛ edzibankɔm, anaa nsukɔm, na EWURADZE n’asɛntsie ho kɔm a.", ""
"AMO.8.12", "Na wobekyima fi po ho ekesi po ho, na wofi kwaamu afamu ekesi boka afamu; wobedzi akɔnaaba dɛ wɔrohwehwɛ EWURADZE n’asɛm ekyir kwan, na worunnhu.", ""
"AMO.8.13", "Da no mu no mbaabun fɛɛfɛw na mberantsɛ bɔtotɔ bitsi wɔ nsukɔm ntsi.", ""
"AMO.8.14", "Hɔn a wɔka Samaria bɔn ne ntam, na wɔse dɛ, Ao Dan, dɛ wo nyame tse ase yi; na dɛ Beer-seba nyame tse ase yi; hɔn mpo wɔbɔtɔr, na wɔronnsoɛr bio ara da.", ""
