"COL.1.1", "Paul a ɔnam Nyankopɔn pɛ do yɛ Kraest Jesus somafo, nye hɛn nua Timoti,", ""
"COL.1.2", "dze krataa yi kɛma enuanom ahotseweefo nye agyedzifo wɔ Kraest mu a wɔwɔ Kolosae: Adom nye asomdwee a ofi hɛn Egya Nyankopɔn hɔ nka hom.", ""
"COL.1.3", "Daa yɛbɔ mpaa ma hom a, yɛdze ndaase ma Nyankopɔn, hɛn Ewuradze Jesus Kraest n'Egya no,", ""
"COL.1.4", "osiandɛ yɛatse hom gyedzi a ɔwɔ Kraest Jesus mu, nye ɔdɔ a hom dze dɔ ahotseweefo no nyina,", ""
"COL.1.5", "osian enyidado a ɔda hɔ ma hom wɔ sor no; iyi na hom nam asɛmpa no mu nokwasɛm do edzi kan atse.", ""
"COL.1.6", "Ɔno na aba hom hɔ dɛ mbrɛ ɔwɔ wiadze nyina so; rosow aba na ɔrodɔɔ so dɛ mbrɛ ɔtse wɔ hom so hom mu, ofitsi da a hom tsee na hom hun Nyankopɔn adom no nokwar mu no.", ""
"COL.1.7", "dɛ mbrɛ hom suaa no wɔ hɛn ewurakowaa dɔfo Epafras a ɔyɛ Kraest no somfo nokwafo wɔ hɛn afamu no nkyɛn,", "#Kol 4.12; Fael 23"
"COL.1.8", "ɔno so na oebeyi hom dɔ a ɔwɔ Sunsum no mu akyerɛ hɛn.", ""
"COL.1.9", "Iyi ntsi na hɛn so ofitsi da no a yɛtsee no yenngyaa dɛ yɛbɔ mpaa, na yɛserɛ ma hom, dɛ ne pɛ ho nyimdzee nhyɛ hom ma, wɔ sunsum mu nyansa nye ntseasee nyina mu;", ""
"COL.1.10", "ama hom aanantsew dɛ ɔfata Ewuradze na ɔsɔ enyi koraa, na hom aasow edwuma pa nyina mu aba, na hom eenyin wɔ Nyankopɔn ho nyimdzee mu.", ""
"COL.1.11", "Na wɔdze tum nyina aahyɛ hom dzen, dɛ mbrɛ ahoɔdzen a ɔwɔ n'enyimnyam tumdzi no mu no tse, dze aakɔ abotar, nye penkyɛr nye dɛw nyina mu;", ""
