"COL.4.1", "Ewuranom, hom mfa dza ɔtsen na ɔfa kwan mu mma hom nkowaa, osiandɛ hom so wɔ owura wɔ sor.", "#Efe 6.9"
"COL.4.2", "Hom nkura asɔryɛ mu dzen ara, na hom mfa ndaase nweɔn wɔ mu;", ""
"COL.4.3", "na hom mbɔ mpaa mma hɛn so, ma Nyankopɔn mbue asɛm no ano mma hɛn; ma yɛnka Kraest esumasɛm a osian ntsi ma meda nkyehoma mu no;", ""
"COL.4.4", "ama meeyi ato gua dɛ mbrɛ ɔsɛ me dɛ mekasa.", ""
"COL.4.5", "Hom nnantsew nyansa mu wɔ hɔn a wɔwɔ nkyɛn no afamu, na mma hom nsɛɛ hom ber kwa.", "#Efe 5.16"
"COL.4.6", "Hom mma hom kasaa nyɛ dza adom nkyen wɔ mu daa, ama hom eehu dza ɔsɛ dɛ hom dze bua obiara.", ""
"COL.4.7", "Mo ho nsɛm nyina dze, Tikikus, onua dɔfo a ɔyɛ ɔsomfo nokwafo nye m’ewurakowaa wɔ Ewuradze mu no bɛka akyerɛ hom.", "#Ndwu 20.4; 2 Tim 4.12   #Efe 6.21, 22"
"COL.4.8", "Ɔno na iyiara ntsi masoma no hom nkyɛn, ama hom eehu hɛn asetsena mu, na ɔaaka hom akoma ato hom yamu.", ""
"COL.4.9", "Onɛsimɔs, onua nokwafo dɔfo a ofi hom mu no ka no ho: hɔn na wɔbɛma hom ehu ha nsɛm nyina.", "#Fael 10-12"
"COL.4.10", "Aristarkus a ɔyɛ me nyɛnko mpokyerɛnyi no kyia hom, nye Mark, Barnabas n’awɔfase a hom enya no ho nkra dada dɛ, (sɛ ɔba hom nkyɛn a, hom ngye no no;)", "#Ndwu 19.29; 27.2; Fael 24; Ndwu 12.12, 25; 13.13; 15.37-39"
"COL.4.11", "nye Jesus a wɔfrɛ no Justus no kyia hom. Woyinom nko nye hɔn a wofi twatsiatwa mu nye me ayɛ edwuma wɔ Nyankopɔn ahendzi no ho; na wɔakyekye mo werɛ pii.", ""
"COL.4.12", "Kraest n’akowaa Epafras a ofi hom mu no kyia hom, odzi aper ma hom daa wɔ mpaabɔ mu, dɛ hom ngyina hɔ pi, na hom nhyɛ ma wɔ Nyankopɔn ne pɛ nyina mu.", "#Kol 1.7; Fael 23"
"COL.4.13", "Na midzi no dase dɛ ɔbɔɔ mbɔdzen pii maa hom nye hɔn a wɔwɔ Laodikea nye hɔn a wɔwɔ Hierapolis.", ""
"COL.4.14", "Luke, oduyɛfo dɔfo no, nye Demas kyia hom.", ""
"COL.4.15", "Hom nkyia enuanom a wɔwɔ Laodikea nye Nimfas nye asɔr a ɔwɔ ne fie no.", ""
"COL.4.16", "Na sɛ wɔkenkan nwoma yi wɔ hom mu wie a, hom mma wɔnkɛkenkan no Laodikea asɔr mu so, na hom so nkenkan dza ofi Laodikea no.", ""
"COL.4.17", "Na hom nse Arkipus dɛ, Hwɛ ɔsom a wo nsa aka no Ewuradze mu no yie, na aayɛ no pɛpɛɛpɛr.", "#Fael 2"
"COL.4.18", "Nkyia a emi mara Paul medze me nsa kyerɛwee nye yi. Hom nkaa mo mpokyerɛ no. Adom nka hom nyina.", ""
