"DAN.6.1", "Ɔsɔɔ Darius enyi dɛ ɔdze amansin ahemfo ɔha eduonu sisi ahendzi no do wɔ ahenman no nyina mu;", ""
"DAN.6.2", "na hɔn do etsitsir baasa a hɔn mu baako nye Daniel; dɛ amansin ahemfo no mbu nkontaa nkyerɛ hɔn, amma ɔhen ne biribi aannsɛɛ.", ""
"DAN.6.3", "Na Daniel yi gyee dzin seen etsitsir na amansin ahemfo no, osiandɛ sunsum kyɛnee bi wɔ no mu; na ɔhen no dween dɛ ɔdze no besi ahenman no nyina do.", ""
"DAN.6.4", "Na etsitsir na amansin ahemfo no hwehwɛɛ dɛ wobenya asɛm bi etsia Daniel wɔ ahendzi no afamu; na woennya asɛm anaa bɔn biara; osiandɛ odzii nokwar, eso woennhu no ho mfom anaa bɔn biara.", ""
"DAN.6.5", "Nna mbanyin yi kaa dɛ, Yerinnya asɛm biara nntsia Daniel yi, gyedɛ yenya no wɔ ne Nyankopɔn mbra afamu.", ""
"DAN.6.6", "Nna etsitsir na amansin ahemfo yinom boaa hɔn ano baa ɔhen no nkyɛn bɛsee no dɛ, Ɔhen Darius, nya nkwa daa.", ""
"DAN.6.7", "Ahenman yi mu etsitsir, abakomafo na amansin ahemfo, apamfo na ambradofo, abɔ mu etu egyina dɛ wɔdze ɔhen ne dzin bɛhyɛ mbra dzendzen, na wɔabra ketsee dɛ, obiara a obebisa bosom anaa nyimpa bi hɔ biribi adaduasa yi, gyedɛ ɔwo, ɔhen, hɔ no, wɔbɔtow no akyen ngyatabɔn mu.", ""
"DAN.6.8", "Afei, ɔhen, ma mbra no ntsim, na fa nsa hyɛ kyerɛwee no ase, ma wɔnnsakyer no, dɛ mbrɛ Mediafo na Persiafo mbra wɔnndan enyi no tse.", ""
"DAN.6.9", "Dɛm ntsi ɔhen Darius dze ne nsa hyɛɛ kyerɛwee no na mbra no ase.", ""
"DAN.6.10", "Na Daniel hun dɛ wɔdze nsa ahyɛ kyerɛwee no ase no, ɔkɔr ne fie; (eso ne pia no ntokura ebuebue kyerɛ Jerusalɛm do); na ɔkotoow n’anankoroma enyim mprɛnsa da kor, na oyii mpaa, na ɔdaa ase, wɔ ne Nyankopɔn enyim, dɛ mbrɛ ɔyɛɛ no nkan no ara.", ""
"DAN.6.11", "Nna mbanyin yi boaboaa hɔn ano, na wɔkɔtoo Daniel dɛ oribisa adze rokotow serɛ wɔ ne Nyankopɔn enyim.", ""
"DAN.6.12", "Nna wɔkɔree kɛkaa ɔhen no ne mbra no ho asɛm wɔ ɔhen no enyim dɛ; Ana ɔwo ennhyɛɛ mbra dɛ nyimpa biara a obebisa bosom anaa nyimpa hɔ adze adaduasa yi, gyedɛ ɔwo, ɔhen, hɔ no, wɔbɔtow no akyen gyatabɔn no mu? Ɔhen no buaa dɛ, Ɔyɛ nokwar, dɛ mbrɛ Mediafo na Persiafo mbra a wɔnndan enyi no tse.", ""
"DAN.6.13", "Nna wɔsee ɔhen no dɛ, Daniel no a ofi Judafo ndɔmmummba mu no, ommbu ɔwo, ɔhen na wo mbra a ahyɛ bi, na ɔbɔ mpaa bisa adze mprɛnsa da kor.", ""
"DAN.6.14", "Na ɔhen no, tsee asɛm yi no, ɔyɛɛ no awerɛhow dodow, na osuaa n’akoma mu dɛ ɔbɛgye no, na ɔbɔɔ mbɔdzen araa kodur ewimbir dɛ nkyɛ ɔbɛgye no efi mu.", ""
"DAN.6.15", "Nna mbanyin yi boaa hɔn ano baa ɔhen no nkyɛn na wɔsee ɔhen no dɛ, Ɔhen, hu dɛ ɔyɛ Mediafo na Persiafo mbra dɛ, mbra anaa ahyɛdze biara a ɔhen ahyɛ no wɔnndan no.", ""
"DAN.6.16", "Na ɔhen no hyɛe ma wɔdze Daniel bae, na wɔtoow no kyeen ngyatabɔn no mu. Na ɔhen no kasaa berɛww kyerɛɛ Daniel dɛ, Wo Nyankopɔn a esom no daa daa no ɔnoara ɔbɛgye wo.", ""
"DAN.6.17", "Nna wɔdze ɔbo bae, na wɔdze hiin bɔn no ano; na ɔhen no dze nankasa ne mpɛtsea na ebirɛmpɔmfo mpɛtsea sɔɔw ano; amma wɔaannsakyer Daniel ho adze biara.", ""
"DAN.6.18", "Nna ɔhen no kɔr n’aban mu, na odzii mbuada anadwe no: eso ɔamma wɔammfa enyigyedze bi ammba n’enyim: na ne nda guanee fii no ho.", ""
"DAN.6.19", "Nna ɔhen no soɛɛr anapahema, na ɔdze ntsɛntsɛm kɔr ngyatabɔn no ano.", ""
"DAN.6.20", "Na ɔbɛɛn bɔn no wɔ Daniel nkyɛn no, ɔdze awerɛhow ndze tseaa mu: ɔhen no kasae see Daniel dɛ, Daniel, Nyankopɔn tseasefo n’akowaa, ana wo Nyankopɔn a esom no daa daa no etum agye wo efi ngyata no anomu anaa?", ""
"DAN.6.21", "Nna Daniel see ɔhen no dɛ, Ɔhen, nya nkwa daa.", ""
