"DAN.9.1", "Ahasuerus ne ba Darius a n’ase fi Mediafo mu a wɔyɛɛ no Kaldeafo ahenman do ɔhen no,", ""
"DAN.9.2", "n’ahendzi afe a odzi kan no mu no nna emi Daniel metsee ase wɔ nwoma no mu, mfe dodow a EWURADZE asɛm baa nkɔnhyɛnyi Jeremia hɔ dɛ ɔbɛma Jerusalɛm amamfoyɛ ewie du wɔ mfe eduosuon mu no ho.", ""
"DAN.9.3", "Medze m’enyi tsiim EWURADZE Nyankopɔn do, dɛ medze mbuada, na eyitam, na nso, na nkotoserɛ bɔbɔ mpaa.", ""
"DAN.9.4", "Na mobɔɔ EWURADZE me Nyankopɔn mpaa, na mekaa mo bɔn, mesee dɛ, Ao EWURADZE, Nyankopɔn kɛse a no ho yɛ hu a osie ahyɛmudzi na mbɔbɔrhu ma hɔn a wɔdɔ no na wosie ne mbrasɛm;", ""
"DAN.9.5", "yɛayɛ bɔn, na yɛabɔ ɔbrakyew, na yɛayɛ emumuyɛ, na yɛatsew etua, dɛ yɛaman efi w’ahyɛdze na w’atsɛmbudze ho mpo;", ""
"DAN.9.6", "na yenntsie wo nkowaa nkɔnhyɛfo no a wɔdze wo dzin kasaa kyerɛɛ hɛn ahemfo, hɛn asafohemfo, na hɛn egyanom, na asaase no do nkorɔfo no nyina no.", ""
"DAN.9.7", "EWURADZE, ɔwo na ndzeyɛtsenenee dzi wɔ wo, na hɛn dze, enyimguase dzi wɔ hɛn, dɛ mbrɛ ɔtse ndɛ da yi; na Judafo, na Jerusalɛm atsefo, na Israel nyinara a wɔbɛn, na hɔn a wɔwɔ ekyir, wɔ nkurow nkurow a hɔn mfom a wɔafom wo ntsi etu hɔn akɔ hɔ no do.", ""
"DAN.9.8", "EWURADZE, hɛn na enyimguase dzi wɔ hɛn, hɛn ahemfo, hɛn asafohemfo, na hɛn egyanom, osiandɛ yɛayɛ bɔn etsia wo.", ""
"DAN.9.9", "EWURADZE hɛn Nyankopɔn na mbɔbɔrhu na fakyɛ dzi wɔ no; na hɛn dze, yɛatsew no do etua;", ""
"DAN.9.10", "eso yeenntsie EWURADZE hɛn Nyankopɔn ndze, dɛ yɛbɛnantsew ne mbra a ɔnam no nkowaa nkɔnhyɛfo do dze sii hɛn enyim no mu.", ""
"DAN.9.11", "Nyew, Israel nyina ato wo mbra, na wɔaman nkyɛn, dɛ wɔrennyɛ setsie mma wo ndze; dɛm ntsi na woehue ndom no egu hɛn do, na ntam no a wɔakyerɛw no Nyankopɔn akowaa Moses mbra mu no; osiandɛ yɛayɛ bɔn etsia no.", ""
"DAN.9.12", "Na ɔahyɛ ne nsɛm a ɔkasae tsiaa hɛn, na hɛn atsɛmbufo a wobuu hɛn atsɛn no dzen, dɛ ɔdze mbusu kɛse yi aba hɛn do: na wɔnnyɛɛ bi pɛn wɔ wi ase nyina dɛ mbrɛ wɔayɛ no wɔ Jerusalɛm no.", ""
