"DAN.11.1", "Na emi dze, Medianyi Darius n'afe a odzi kan no mu no migyinaa dɛ murusuo no mu mahyɛ no dzen.", ""
"DAN.11.2", "Na afei na mebɛkyerɛ wo nokwar no. Hwɛ, ahemfo baasa bɛda ho asoɛr wɔ Persia; na dza otsia anan no benya noho asen nkaa no nyinara; na sɛ n'ahonya ma no ho yɛ dzen a, obekenyan adze nyina etsia Griis ahenman.", ""
"DAN.11.3", "Na ɔhen tumfo bi bɔsoɛr a ɔdze tumdzi kɛse bedzi hen, na ɔayɛ dza ɔpɛ.", ""
"DAN.11.4", "Na oetsim, no n'ahendzi bɔbɔ, na wɔakyekyɛ mu afa ɔsor mframa anan afamu; na wɔremmfa mma n'asefo, eso ɔrennyɛ dɛ mbrɛ no tumdzi a ɔdze dzii hen no tse; na wobotutu n'ahendzi, woekwetsi yinom na wɔdze ama binom.", ""
"DAN.11.5", "Na pomu afamu hen no no ho bɛyɛ dzen, na n'asafohemfo no mu baako; na no ho bɛyɛ dzen asen no, na oenya tumdzi; no tumdzi bɛyɛ tumdzi kɛse.", ""
"DAN.11.6", "Na mfe bi ekyir no, wɔbɛfefa hɔnho anyɛnko; na pomu afamu hen ne babaa bɛba kwaamu afamu hen nkyɛn dɛ ɔnye no rebɛyɛ asomdwee: na ɔremma ne basa ahoɔdzen no nka no ho; na ɔno na ne basa rinngyina; na obeyi ɔbaa no, na hɔn a wɔdze no bae no, na nyia ɔwoo no no, na nyia ɔhyɛɛ no dzen wɔ mber no mu no ama.", ""
"DAN.11.7", "Na ɔbaa no no ndwow mu mfɛwee bi mu na obi bɔsoɛr esuo n'ananmu a ɔbɛba dɔm no nkyɛn, na ɔahɛn kwaamu afamu ɔhen n'abankɛse no mu, na ɔnye hɔn ako, na oedzi konyim:", ""
"DAN.11.8", "na ɔbɔsoa hɔn abosom, nye hɔn ehonyi a woegu, na hɔn dwetɛ na sika nkɔɔpow fɛɛfɛw no, ndɔmmum akɔ Egypt; na ɔbɔtwe no ho mfe bi efi kwaamu afamu ɔhen no ho.", ""
"DAN.11.9", "Na ɔbɛba pomu afamu ɔhen no n'ahenman mu dze, naaso ɔbɛsan akɔ nankasa n'asaase do.", ""
"DAN.11.10", "Na ne mba bedzi ako, na wɔaboa dɔm akɛse pii ano a wobeyir apram do dɛ nsu: na wɔbɛsan ebedzi ako ekodu n'abankɛse no ho mpo.", ""
"DAN.11.11", "Na pomu afamu hen n'enyi bɛber, na oepue nye kwaamu afamu hen no akɔko; na kwaamu afamu hen no dze nyimpadodow kɛse begyina hɔ, naaso wobedzi nkogu.", ""
