"DEU.13.1", "Sɛ nkɔnhyɛnyi bi, anaa ɔdaasonyi bi soɛr wɔ wo mu, na ɔma wo asɛnkyerɛdze anaa anwanwadze bi,", ""
"DEU.13.2", "na asɛnkyerɛdze anaa anwanwadze a ɔkasaa ho kyerɛɛ wo no ba mu, dɛ, Ma yɛnkɔ nkedzi enyame fofor a ɔwo nnyim hɔn no ekyir, na yɛnkɔsom no a;", ""
"DEU.13.3", "mma nntsie nkɔnhyɛnyi no anaa ɔdaasonyi no nsɛm no: na EWURADZE hom Nyankopɔn rosɔ hom ahwɛ, dze ehu kyerɛ dɛ hom dze hom akoma nyinara nye hom kra nyinara dɔ EWURADZE hom Nyankopɔn.", ""
"DEU.13.4", "Hom nnantsew ndzi EWURADZE hom Nyankopɔn ekyir, na hom nsuro no, na hom ndzi ne mbransɛm do, na hom ntsie ne ndze, na hom nsom no; na hom ntakyer no ho.", ""
"DEU.13.5", "Na nkɔnhyɛnyi no, anaa ɔdaasonyi no, wonku no; osiandɛ wɔaka etuatsew ho asɛm etsia EWURADZE hom Nyankopɔn a oyii hom fii Egypt asaase do, na ɔpoon wo fii nkowaasom ofi mu no, dɛ ɔdze rotwetwe wo efi ɔkwan a EWURADZE wo Nyankopɔn hyɛɛ wo dɛ nantsew mu no do esi nkyɛn. Ama eetu bɔn no efi wo mu.", ""
"DEU.13.6", "Sɛ wo nuabanyin, wo na ne babanyin, anaa wo babanyin, anaa wo babaa, anaa wo yer a ɔda wo bo mu, anaa wo nyɛnko a ɔtse dɛ wankasa wo kra, daadaa wo nsumaa mu, dɛ, Ma yɛnkɔ nkɔsom enyame fofor a ɔwo nye w’egyanom nnyim no;", ""
"DEU.13.7", "aman a woetwa hom ho ehyia a wɔbɛn wo, anaa wɔnye wo ntamu twe, ofi asaase ano kor ara kodu asaase ano kor so hɔn enyame mu bi a;", ""
"DEU.13.8", "mma mmpen no, na nntsie no so; nkyii so mma w’enyiwa nnhu no mbɔbɔr, na nkora no do, na nnhuntsa no do so;", ""
"DEU.13.9", "na oku na ku no; wo nsa na ondzi kan ntɔ no do dɛ woboku no, na n’ekyir no na ɔman no nyinara nsa.", ""
"DEU.13.10", "Na siw no abo ma onwu; osiandɛ ɔhwehwɛɛ dɛ ɔtwetwe wo fi EWURADZE wo Nyankopɔn a oyii wo fii Egypt asaase do, wɔ nkowaasom ofi mu no ho.", ""
"DEU.13.11", "Na Israel nyinara ntse, na wonsuro, na wɔannda ho ara annyɛ dɛm ndzebɔn a ɔtse dɛ mbrɛ iyi tse yi wɔ wo mu.", ""
"DEU.13.12", "Na sɛ etse dɛ wɔreka wɔ wo nkurow a EWURADZE wo Nyankopɔn dze rema wo dɛ tsena mu hɔ no kor bi ho, dɛ,", ""
"DEU.13.13", "Ebusuyɛfo bi efi wo mu asoɛr, na wɔadaadaa hɔn kurow mu atsefo dɛ, Hom mma yɛnkɔ nkɔsom enyame fofor a hom nnyim hɔn a;", ""
"DEU.13.14", "ɔno hwehwɛ mu, na bisabisa mu yie; na hwɛ, sɛ ɔyɛ nokwar, na asɛm no yɛ ampa dɛ dɛm ekyiwadze yi wɔayɛ no wɔ wo mu a:", ""
"DEU.13.15", "oku na fa nkrantsee ano ku kurow no mu atsefo no, na fa nkrantsee ano sɛɛ no, nye dza ɔwɔ mu nyinara nye no mu fiembowa so pasapasa.", ""
"DEU.13.16", "Na boaboa no mu asadze nyinara ano wɔ no brɔn finimfin, na fa gya hyew kurow no, nye no mu asadze no nyinara dɛ ɔhyew afɔr mu, fa ma EWURADZE wo Nyankopɔn: na ɔnyɛ ɔmamfo daa; mma wɔnnkyekyer no bio.", ""
"DEU.13.17", "Na mma ebusudze no mu bi mmfam wo nsa ho: ama EWURADZE aadan efi n’ebufuhyew no ho, na oeehu wo mbɔbɔr, na oennya ayamuhyehye ama wo, na ɔaama adɔr dɛ mbrɛ ɔaka ntam akyerɛ w’egyanom;", ""
"DEU.13.18", "sɛ a itsie EWURADZE wo Nyankopɔn ndze, dɛ idzi ne mbransɛm a merehyɛ wo ndɛ da yi nyinara do, na eyɛ dza ɔtsen wɔ EWURADZE wo Nyankopɔn enyiwa do a.", ""
