"DEU.22.1", "Mma nnhu wo nua ne nantwi anaa no guan dɛ ɔatɔ gon, na mmfi hɔn ho nnkosuma: fa hɔn san brɛ wo nua.", ""
"DEU.22.2", "Na sɛ wo nua no mmbɛn wo, anaa sɛ innyim no a, ɔno fa no bra wo fie wo, na ɔnko wo nkyɛn nkodu dɛ wo nua no bɔhwehwɛ no, na aadan no ama no bio.", ""
"DEU.22.3", "Na dɛmara so na fa yɛ n’asoaso; anaa wo nua n’adze biara a ayew no a ehu no: mma nnguan mmfi ho.", ""
"DEU.22.4", "Mma nnhu wo nua n’asoaso anaa ne nantwi dɛ ɔahwe ase wɔ ɔkwan mu, na mmfi ho nnkosuma: boa no ma ɔmma hɔn do bio.", ""
"DEU.22.5", "Mma ɔbaa nnhyɛ adze a ɔyɛ ɔbanyin dze, nkyii so ɔbanyin nnhyɛ ɔbaa n’atar: na obiara a ɔyɛ iyinom no ɔyɛ ekyiwadze ma EWURADZE wo Nyankopɔn.", ""
"DEU.22.6", "Sɛ ikopue anoma ne birebuw bi do awerɛfir mu wɔ ɔkwan mu, wɔ dua biara do anaa famu, mba anaa nkyirefuwa wɔ mu, na na no butuw na mba no, anaa nkyirefuwa no do a, mma nnkyer na no nnka mba no ho;", ""
"DEU.22.7", "ɔno ma na no nkɔ, na fa mba no; na eesi wo yie, na ama wo nda aawar.", ""
"DEU.22.8", "Sɛ isi dan fofor a, ɔno gye wo dan etsifi ban, ama sɛ obi fi do hwe ase a, aammfa bɔgya ammba wo dan no do.", ""
"DEU.22.9", "Mma mmfa aba horow ebien nndua wo wenyin ture mu: amma aannhwer nduadzewa no nyina, aba a edua no, nye wenyin ture no ndɔbaa no nyina.", ""
"DEU.22.10", "Mma mmfa ɔnantwi nye asoaso mmbɔ mu mmfuntum.", ""
"DEU.22.11", "Mma mmfura tam a wɔdze kuntu nye ndwera afora awen.", ""
"DEU.22.12", "Tu wo tam a edze kata wo do no ntoado anan no do ndwow.", ""
"DEU.22.13", "Sɛ ɔbanyin bi hyia yer, na ɔkɔ ne nkyɛn, na ɔtan no,", ""
"DEU.22.14", "na ɔdze enyimguasesɛm to no do, na ɔbɔ no dzin bɔn, se dɛ, Mihyiaa ɔbaa yi, na mokɔr ne nkyɛn no, mennhu no ho mbaabunyɛ nsɛnkyerɛdze no a:", ""
"DEU.22.15", "ɔno akataasia no n’egya nye ne na mfa akataasia no ne mbaabunyɛ nsɛnkyerɛdze no na wɔmfa mbra kurow no mu mpanyimfo nkyɛn wɔ kuropon no mu;", ""
"DEU.22.16", "na akataasia no n’egya nse mpanyimfo no dɛ, Medze me babaa maa ɔbanyin yi awar, na ɔtan no;", ""
"DEU.22.17", "na, hwɛ, ɔdze enyimguasesɛm ato no do, dɛ, Mennhu mbaabunyɛ nsɛnkyerɛdze wɔ wo babaa yi ho; naaso me babaa ne mbaabunyɛ nsɛnkyerɛdze nye yi. Na wɔntserɛw tam no mu wɔ kurow no mu mpanyimfo no enyim.", ""
"DEU.22.18", "Na kurow no mu mpanyimfo no mfa ɔbanyin no na wɔntwe n’aso;", ""
"DEU.22.19", "na wɔngye no mbratodze dwetɛ ɔha, na wɔmfa mma akataasia no n’egya, osiandɛ ɔabɔ Israel ɔbaabun dzin bɔn: na nwar no; mma ɔnnko no wɔ ne nda nyinara mu.", ""
"DEU.22.20", "Na sɛ asɛm yi yɛ nokwar, dɛ woennhu mbaabunyɛ nsɛnkyerɛdze wɔ akataasia no ho dze a:", ""
"DEU.22.21", "ɔno wonyi akataasia no mbra n’egya ne fi abowano, na no kurow no mu mbanyin nsiw no abo ma onwu: osiandɛ ɔayɛ nkwaseadze wɔ Israel, dɛ ɔagor ndwamangor wɔ n’egya fie: ama eeyi mbusu no efi wo mu.", ""
"DEU.22.22", "Sɛ wohu ɔbanyin bi dɛ ɔnye ɔbaa a ɔwɔ kun da a, ɔno hɔn beenu nyina nwu, ɔbanyin a ɔnye ɔbaa no dae no, nye ɔbaa no: ama eeyi mbusu no efi Israel.", ""
"DEU.22.23", "Sɛ wɔdze akataasia bi a ɔyɛ ɔbaabun ma banyin bi awar, na banyin bi hu no wɔ kurow mu, na ɔnye no da a;", ""
"DEU.22.24", "ɔno hom mfa hɔn emu ebien nyina mfir edzi nkɔ kurow no n’abotsen ekyir, na hom nsiw hɔn abo ma wonwuwu; akataasia no, dɛ ɔwɔ kurow mu na ɔannkeka mu ntsi; na ɔbanyin no, dɛ ɔabrɛ ne nyɛnko ne yer adze ntsi: ama eeyi mbusu no efi wo mu.", ""
"DEU.22.25", "Na sɛ banyin bi hu akataasia ɔwarfo bi yer no wɔ haban mu, na ɔbanyin no kyer no, na ɔnye no da a; ɔno ɔbanyin a ɔnye no dae no nko na onwu:", ""
"DEU.22.26", "na akataasia no dze mma nnyɛ no hwee; bɔn a ɔsɛ owu nnyi akataasia no do: na dɛ mbrɛ nyimpa soɛr ne nyɛnko do, na oku no no, dɛmara so na asɛm yi tse:", ""
"DEU.22.27", "na haban mu na ohun no; na akataasia a wɔagye no yer no kekaa mu, na nna obi nnyi hɔ a ɔbɛgye no.", ""
"DEU.22.28", "Sɛ banyin bi hu akataasia a ɔyɛ ɔbaabun a wɔnngyee no yer, na ɔkyer no, na ɔnye no da, na wohu hɔn a;", ""
"DEU.22.29", "ɔno banyin a ɔnye no dae no, mfa dwetɛ  dwetɛbona   eduonum mma akataasia no n’egya, na ɔnyɛ ne yer, osiandɛ ɔabrɛ no adze; mma ɔnnko no ne nda nyinara.", ""
"DEU.22.30", "Ɔbanyin bi nnwar n’egya ne yer, na onnyi n’egya n’akatado.", ""
