"DEU.23.1", "Nyia no ntɔhwɛbo abɔ, anaa ne banyin etwa no, mma ɔnnhɛn EWURADZE ne baguaa mu.", ""
"DEU.23.2", "Nyia wɔawo no wɔ edwaman bi nnhɛn EWURADZE ne baguaa mu; n'ebusuasantsen a otsia du mpo mu biara nnhɛn EWURADZE ne baguaa mu.", ""
"DEU.23.3", "Ammonnyi anaa Moabnyi nnhɛn EWURADZE ne baguaa mu; hɔn ebusuasantsen a otsia du mpo mu biara nnhɛn EWURADZE ne baguaa mu ara da:", ""
"DEU.23.4", "osiandɛ wɔammfa edziban na ɔnye nsu emmbehyia hom wɔ ɔkwan no mu, aber a hom fi Egypt reba no; na dɛ wɔkɔbɔɔ Beer ne babanyin Balaam a ofi Petor a ɔwɔ Mesopotemia no paa dɛ ɔmbɔdom wo ntsi.", ""
"DEU.23.5", "Naaso EWURADZE wo Nyankopɔn ammpɛ dɛ otsie Balaam; na EWURADZE wo Nyankopɔn daan ndom no nhyira maa wo, osiandɛ EWURADZE wo Nyankopɔn dɔɔ wo.", ""
"DEU.23.6", "Mma nnhwehwɛ hɔn asomdwee nye hɔn eyiedzi wo nda nyinara daa.", ""
"DEU.23.7", "Mma nnkyir Edomnyi; na ɔyɛ wo nua: mma nnkyir Egyptnyi; osiandɛ ekɛyɛɛ n'asaase do ɔhɔho.", ""
"DEU.23.8", "Ebusuasantsen a otsia ebiasa mba a wɔbɔwo hɔn ama hɔn no na wɔnhɛn EWURADZE ne baguaa mu.", ""
"DEU.23.9", "Sɛ ifir edzi kɛkyer w'atamfo ho nsera a, ɔno sie woho yie wɔ adze bɔn biara ho.", ""
"DEU.23.10", "Sɛ ɔbanyin bi wɔ hom mu a no ho nntsew wɔ no ha a ɔsen anadwe bi ntsi a, ɔno omfi nseraban no mu nkɔ ekyir, mma ɔmmba nseraban no mu;", ""
"DEU.23.11", "na ɔmbra dɛ orudu ewimbir no, onguar noho wɔ nsu mu: na sɛ wi kɔtɔ a, ɔmbra nseraban no mu.", ""
"DEU.23.12", "Nya beebi so wɔ nseraban no ekyir, mbrɛ ibefir edzi akɔ:", ""
"DEU.23.13", "na nya ɔsɔsɔw wɔ wo ndadzedze mu; na ɔmbra dɛ, sɛ ekɔkotow ekyir hɔ a, edze eefun, na aasan ekyir akata dza ofi wo mu ba no do:", ""
"DEU.23.14", "na EWURADZE wo Nyankopɔn nenam wo nseraban mu, dɛ ɔregye wo, na ɔdze w'atamfo ama wɔ w'enyim; dɛm ntsi wo nseraban nyɛ krɔnkrɔn: amma oeennhu efifidze bi wɔ wo mu, na ɔaanndan emmfi wo nkyɛn.", ""
"DEU.23.15", "Mma nnyi akowaa a oefi no wura nkyɛn eguan aba wo hɔ mma no wura:", ""
"DEU.23.16", "ma ɔnye wo ntsena, wɔ wo mu, wɔ beebi mbrɛ ɔbɛsan mu eyi no wɔ wo nkuropon no kor mu, mbrɛ ɔpɛ no dodow no: mma nnhyɛ no do.", ""
"DEU.23.17", "Mma Israel mbabaa mu biara nnyɛ edwaman, nkyii so mma Israel mbabanyin mu biara nndan edwaman.", ""
"DEU.23.18", "Mma mmfa ɔbaa edwaman apaabɔdze, anaa ɔkraman (banyin edwaman) n'akatua, mmba EWURADZE wo Nyankopɔn fie wɔ anohoba biara mu: na ebien yi nyina yɛ ekyiwadze ma EWURADZE wo Nyankopɔn.", ""
"DEU.23.19", "Mma mmbɔ wo nua bosa nngye nsiho:", ""
"DEU.23.20", "ɔnanaben na bɔ no bosa gye nsiho; na wo nua dze, mma mmbɔ no bosa nngye nsiho: na EWURADZE wo Nyankopɔn eehyira wo adze a edze wo nsa bɛka nyinara mu, wɔ asaase a erokɔ akɛfa no do.", ""
"DEU.23.21", "Sɛ ebɔ EWURADZE wo Nyankopɔn anohoba a, mma nnyɛ nyaa dɛ ebɔpon: na ampaara EWURADZE wo Nyankopɔn bɔhwehwɛ no wɔ wo hɔ; na ɔbɛdan wo bɔn.", ""
"DEU.23.22", "Na sɛ ema anohoba no ka a, ɔnnyɛ bɔn mma wo.", ""
"DEU.23.23", "Dza efi w'anofamfa do epue no dwen do na yɛ; dɛ mbrɛ abɔ EWURADZE wo Nyankopɔn anohoba, ayamuyi afɔr a edze w'ano aka no.", ""
"DEU.23.24", "Sɛ idu wo nyɛnko no wenyin ture mu a, ɔno dzi esikyireamba no bi mee; mbom mma mmfa bi nngu w'adze mu.", ""
"DEU.23.25", "Sɛ idu wo nyɛnko n'eburow a osisi hɔ mu a, ɔno fa wo nsa pempan mbɛtsem no bi; mbom mma mma dadze do wɔ wo nyɛnko n'eburow a osisi hɔ do.", ""
