"DEU.31.1", "Na Moses kɔree kɛkaa asɛm yi kyerɛɛ Israel nyinara.", ""
"DEU.31.2", "Na ɔsee hɔn dɛ, Ndɛ yi, medzi mfe ɔha eduonu; emi a munntum nnkɔ, emi so a munntum mmba: na eso EWURADZE ase me dɛ, Irunntwa Jordan yi.", ""
"DEU.31.3", "EWURADZE wo Nyankopɔn, ɔno na odzi w'enyim rukotwa; ɔno na ɔbɛsɛɛ amanaman yi efi w'enyim, na afa hɔn: na Josua na oridzi w'enyim ekotwa, dɛ mbrɛ EWURADZE aka no.", ""
"DEU.31.4", "Na EWURADZE bɛyɛ hɔn dɛ mbrɛ ɔyɛɛ Amorifo ahemfo, Sihon nye Ɔge a ɔsɛɛ hɔn, nye hɔn asaase no.", ""
"DEU.31.5", "EWURADZE beyi hɔn ama wɔ hom enyim, na hom ayɛ hɔn dɛ mbrɛ mbransɛm a mahyɛ hom nyinara tse.", ""
"DEU.31.6", "Hom nhyɛ dzen na hom nnya akokodur, mma hom nnsuro, mma hɔn ho nnyɛ hom hu so; na EWURADZE wo Nyankopɔn no, ɔno na ɔnye wo rokɔ, ɔremmpa wo, na ɔrommpow wo so.", ""
"DEU.31.7", "Na Moses frɛɛ Josua, na ɔsee no wɔ Israel nyinara enyim dɛ, Hyɛ dzen na nya akokodur; na ɔwo na edze ɔman yi bɔkɔ asaase a EWURADZE aka ho ntam akyerɛ hɔn egyanom dɛ ɔdze bɛma hɔn no do; na ɔwo na ebɛma woenya edzi.", ""
"DEU.31.8", "Na EWURADZE, ɔno nye nyia oridzi w'enyim akɔ; obedzi w'ekyir, ɔremmpa wo, nkyii so ɔrommpow wo; mma nnsuro, nkyii so mma w'akoma nntu.", ""
"DEU.31.9", "Na Moses kyerɛɛw mbra yi, na ɔdze maa asɔfo Levi mbabanyin no a wɔsoa EWURADZE ahyɛmudaka no, nye Israel mpanyimfo nyinara.", ""
"DEU.31.10", "Na Moses hyɛɛ hɔn dɛ, Mfe esuon biara n'ewiei, akwangya afe n'aber a wɔahyɛ no mu, ntamadan afahyɛ no mu,", ""
"DEU.31.11", "aber a Israel nyinara rubopue wɔ EWURADZE wo Nyankopɔn enyim wɔ beebi mbrɛ ɔbɛsan mu eyi no, kenkan mbra yi wɔ Israel nyinara enyim ma wɔntse.", ""
"DEU.31.12", "Boaboa ɔman no ano, mbanyin nye mbaa nye mbofraba, nye wo hɔhoe a ɔwɔ wo nkuropon mu, ma wontsie, na wonsua, na wonsuro EWURADZE hom Nyankopɔn, na wɔndwen do ndzi mbra yi mu nsɛm nyinara do;", ""
"DEU.31.13", "na hɔn mba a wonnyim no ntsie, na wonsua dɛ wonsuro EWURADZE hom Nyankopɔn, aber tsentsen nyina a hom tse asaase no do mbrɛ hom rukotwa Jordan akɛfa no.", ""
"DEU.31.14", "Na EWURADZE see Moses dɛ, Hwɛ, wo nda a ibowu abɛn: frɛ Josua, na wonkeyi homho nkyerɛ wɔ ehyiadzibuw no mu, ma menhyɛ no mbra. Na Moses nye Josua kɔree, na wokeyii hɔnho kyerɛe wɔ ehyiadzibuw no mu.", ""
"DEU.31.15", "Na EWURADZE nam mununkum dum mu yii noho edzi wɔ Buw no mu: na mununkum dum no begyinaa Buw no n'abowano.", ""
"DEU.31.16", "Na EWURADZE see Moses dɛ, Hwɛ, ɔwo, iribetsiw wo nananom wɔ samanadze na ɔman yi bɔsoɛr, na woekedzi asaase no do enyame ekyir wɔ ndwamangor mu, wɔ mbrɛ wɔrokɔ akɔforafora hɔn mu no, na wɔbɔpow me na wɔato m'ahyɛmu a menye hɔn edzi no.", ""
"DEU.31.17", "Ɔno na m'ebufuw bɛdzɛw wɔ hɔn do wɔ da no mu, na mapow hɔn, na medze m'enyim esuma hɔn, na wɔamen hɔn, na mbusu nye ɔfona pii bɛba hɔn do; ama wɔaaka wɔ da no mu dɛ, Ana nnyɛ hɛn Nyankopɔn a onnyi hɛn mu ntsi na mbusu yi aba hɛn do bi a?", ""
"DEU.31.18", "Na suma ara na medze m'enyim mubosuma wɔ da no mu wɔ mbusu a wɔabɔ no nyinara ntsi, wɔ dɛ wɔadan akɔ enyame fofor nkyɛn ntsi.", ""
"DEU.31.19", "Dɛm ntsi afei hom nkyerɛw ndwom yi mma hom ho, na fa kyerɛkyerɛ Israelmba: fa hyɛ hɔn anomu, ma ndwom yi ndzi me dase ntsia Israelmba.", ""
"DEU.31.20", "Na sɛ minya dze hɔn du asaase a mekaa ho ntam kyerɛɛ hɔn egyanom no a numfonsu nye ewo pem wɔ do no do a wobedzidzi amee, na wɔayɛ abran. Ɔno nna afei wɔbɛdan akɔ enyame fofor nkyɛn, na wɔakɔsom hɔn, na woebu me enyimtsia, na wɔato m'ahyɛmu.", ""
"DEU.31.21", "Na ɔbɛba dɛ, aber a mbusu nye ɔfona pii aba hɔn do no, ndwom yi bɛyɛ dɛ ɔdasefo edzi dase wɔ hɔn enyim; osiandɛ ɔnnkɛpa hɔn asefo anomu: na minyim hɔn adwendwen a wɔrodwendwen no seseiara mpo, ansaana medze hɔn bodu asaase a mekaa ho ntam no do.", ""
"DEU.31.22", "Nna Moses kyerɛɛw ndwom yi da no ara, na ɔdze kyerɛkyerɛɛ Israelmba.", ""
"DEU.31.23", "Na ɔhyɛɛ Nun ne babanyin Josua mbra, na ɔsee dɛ, Hyɛ dzen na nya akokodur: na ɔwo na edze Israelmba bɔkɔ asaase a mekaa ho ntam kyerɛɛ hɔn no do; na mibedzi w'ekyir.", ""
"DEU.31.24", "Na ɔbaa dɛ aber a Moses wiee mbra yi mu nsɛm kyerɛw wɔ nwoma mu no,", ""
"DEU.31.25", "Moses hyɛɛ Levifo a wɔsoa EWURADZE n'ahyɛmudaka no, dɛ,", ""
"DEU.31.26", "Hom mfa mbra nwoma yi, na hom mfa nto EWURADZE hom Nyankopɔn n'ahyɛmudaka no ho, ma ɔnko hɔ nyɛ dase ntsia hom.", ""
"DEU.31.27", "Na minyim hom etuatsew, nye hom asoɔdzen: hwɛ, meda ho ara menye hom tse ase ndɛ da yi mpo, na hom ayɛ etuatsewfo wɔ EWURADZE do yi; na afei mo wu ekyir ɛ?", ""
"DEU.31.28", "Hom mboaboa hom ebusuakuw ebusuakuw mu mpanyimfo nyinara, nye hom ahwɛdofo ano mbra me nkyɛn, ma menka nsɛm yi wɔ hɔn aso mu, na memfrɛ ɔsor nye asaase ma wondzi hɔn dase.", ""
"DEU.31.29", "Na minyim dɛ mo wu ekyir no ɔsɛɛ na hom bɛsɛɛ homho, na hom adan efi ɔkwan a mahyɛ hom no do; na mbusu bɛba hom do nda a odzi ekyir no mu; osiandɛ hom bɛyɛ dza omuo wɔ EWURADZE enyi do, dze nam hom nsaano edwuma do eyi no ebufuw.", ""
"DEU.31.30", "Na Moses kaa ndwom yi mu nsɛm wɔ Israel bagua no nyinara asomu dze kodur dɛ owiei.", ""
