"DEU.32.1", "Ɔsor, hom nyɛ aso, na merebɛkasa; Na wɔmma asaase ntsie m’anomu nsɛm:", ""
"DEU.32.2", "Me nkyerɛkyerɛ bɔsosɔ dɛ nyankom, Me kasaa bogugu dɛ ɔbɔsu; Dɛ nkyɛkyɛr do nsumpetsema, Nye haban do nsutɔree:", ""
"DEU.32.3", "Na mobɔbɔ EWURADZE dzin akyerɛ: Hom mfa kɛseyɛ mma hɛn Nyankopɔn,", ""
"DEU.32.4", "Ɔbotan no, n’edwuma dzi mu; Na n’akwan nyinara yɛ atsɛmbu: Nyankopɔn nokwardzifo a, na onnyi emumuyɛ, Ɔyɛ pɛrpɛr na ɔtsen.", ""
"DEU.32.5", "Woedzi no asɛmbɔn, wɔnnyɛ ne mba, hɔn dzɛmdzi a; Ebusuasantsen kɔntɔnkye a wɔakyea a.", ""
"DEU.32.6", "Ana EWURADZE na hom nye no dzi no dɛm yi, Ɔman nkwasea a wɔnnyɛ enyansafo? Ana nnyɛ ɔno nye w’egya a ɔawo wo bi a? Ɔno na ɔayɛ wo na oetsintsim wo.", ""
"DEU.32.7", "Kaa tsetsentserdee nda no, Dwen ebusuasantsen pii no hɔn mfe ho: Bisa w’egya, na ɔnkyerɛ wo; Wo mpanyimfo, na wɔnka nkyerɛ wo.", ""
"DEU.32.8", "Aber a Ɔsorsornyi no memaa amanaman hɔn egyapadze no, Aber a ɔpaapaa nyimpa mba mu no, Osisii aman hɔn ahe Dɛ mbrɛ Israelmba hɔn dodow tse.", ""
"DEU.32.9", "Na EWURADZE ne kyɛfa nye ne man; Jakob nye n’egyapadze kyɛfa.", ""
"DEU.32.10", "Ohun no wɔ sar asaase do, Na kwaa tuntum sar predede do nkekabowa mu; Otwaa no ho hyiae, ɔhwɛɛ no do yie, Ɔkoraa no do dɛ n’enyiwa kyesua:", ""
"DEU.32.11", "Dɛ mbrɛ ɔkɔr huenyan ne birebuw, Na otu bɔ ne ba do faafaa no, Ɔtserɛɛw ne ntsaban mu faa hɔn no, Ɔsoaa hɔn wɔ ne ntɛkyerɛ do:", ""
"DEU.32.12", "EWURADZE nkotoo na ogyaa no Na onyame fofor bi annka no ho,", ""
"DEU.32.13", "Ɔmaa ɔfaa asaase mbea sorɔnsorɔm do tutui kɔree, Na odzii haban mu ndɔbaa; Na ɔmaa ohwieew ewo fii ɔbotan mu, Nye ngo fii ɔtwerɛbo botan mu;", ""
"DEU.32.14", "Anantwi numfonsungo, nye nguan numfonsu, Nye nguambaa seradze, Nye Basan nnyɛmbowa mu nguannyin, nye mpɔnkye, Nye ewifua ntan mu seradze; Na enoom esikyireamba mu bɔgya wenyin.", ""
