"DEU.33.1", "Na iyi nye nhyira a Onyame nyimpa Moses dze hyiraa Israelmba ansaana oruwu.", ""
"DEU.33.2", "Na ɔsee dɛ, EWURADZE fi Sinai bae, Na ɔsoɛree fi Seir maa hɔn; Ɔhyerɛɛn fi bepɔw Paran do, Na ofi akrɔnkrɔmfo mpedu mpedu mu bae: Na n’enyimfa wɔ mbra a ɔyɛ ogya  ma hɔn.", " #33.2 MBRA A ƆYƐ OGYA: Ne ntseasee wɔ Hebriw kasa mu no nnda edzi yie."
"DEU.33.3", "Nyew, ɔdɔ aman; N’ahotseweefo nyinara wɔ wo nsamu: Na wɔtsenatsenaa famu wɔ w’anan ho; Obiara bɛgye wo nsɛm ato mu.", ""
"DEU.33.4", "Moses hyɛɛ hɛn mbra, Jakob bagua egyapadze.", ""
"DEU.33.5", "Na ɔyɛɛ ɔhen wɔ Jesurun , Aber a ɔman no mu etsitsir hyiae, Israel ebusuakuw ebusuakuw nyinara bɔ mu no.", "#33.5 JESURUN: Hwɛ Deut 32.15."
"DEU.33.6", "Ma Reuben nnya nkwa, na mma onnwu; Na eso mma n’ase nnhyew.", ""
"DEU.33.7", "Na iyi nye Juda nhyira: na ɔsee dɛ, EWURADZE, tsie Juda ne ndze, Na fa no kɔ fie no nkorɔfo nkyɛn: Ma ne nsa nso no so, Na yɛ ɔboafo fa tsia n’ayɛfo.", ""
"DEU.33.8", "Na Levi ho dze ɔsee dɛ, Wo Tummim nye wo Urim wɔ wo nyamesuronyi no hɔ, Nyia esɔɔ no hwɛe wɔ Massa no, Nye no hamee wɔ Meriba nsu ho no;", ""
"DEU.33.9", "Nyia ɔsee wɔ n’egya, nye ne na ho dɛ, Munnhun hɔn; Nkyii so ɔammpen no nuanom do no, Na woennhu nankasa ne mba so no: Na wɔadwen w’asɛm do: Na woedzi w’ahyɛmu do.", ""
"DEU.33.10", "Wɔdze w’atsɛmbu bɛkyerɛ Jakob, Na wo mbra akyerɛ Israel: Wɔdze eduhuam bɔto w’enyim, Na ɔhyew afɔr mu ato w’afɔrmbukyia do.", ""
"DEU.33.11", "EWURADZE, hyira n’ahoɔdzen, Na ma ne nsaano edwuma nsɔ w’enyi: Bobɔ hɔn a wɔsoɛr tsia no no hɔn ndwonku, Na hɔn a wɔtan no, amma wɔaannsoɛr bio.", ""
"DEU.33.12", "Benjamin ho dze ɔsee dɛ, EWURADZE no dɔfo bɛtsena ne nkyɛn dwudwoodwo; Ɔkata no do adzekyee tsentsen nyinara, Na ɔtse n’abatsir ntamu.", ""
"DEU.33.13", "Na Josef ho dze, ɔsee dɛ EWURADZE nhyira n’asaase; Ɔmma ɔsor ndzepa, ɔbɔsu, Nye bun a ɔda daadzetsirmu ne dze,", ""
"DEU.33.14", "Nye ewia no nduadzewa mu ndzepa, Nye dza abosoom ma ofifir mu ndzepa, Nye tsetse mbepɔw do adze tsitsir,", ""
"DEU.33.15", "Nye daa daa nkoko do ndzepa,", ""
"DEU.33.16", "Nye asaase nye ne mayɛ mu ndzepa, Nye nyia ɔtsenaa kwaa mu n’enyisɔ: Ma nhyira no ɔmbra Josef n’etsifi, Nye no nuanom mu nyia woeyi no esi nkyɛn no n’etsifi pampamu.", ""
"DEU.33.17", "Ne nantwisaa abakan, tumdzi dzi wɔ no; Na n’ambɛn yɛ eko ambɛn: Ɔno na ɔdze bosunsun aman nyinara, mekyerɛ asaase n’ano n’ano: Na hɔn nye Efraim mpedu mpedu no, Na hɔn nye Manaasɛ mpempem no,", ""
"DEU.33.18", "Na Zebulun, ho dze ɔsee dɛ, Zebulun, ma w’enyi ngye wɔ w’edzifir mu; Na, Isakar, wɔ w’asesee mu.", ""
"DEU.33.19", "Wɔbɛfrɛ aman akɔ bepɔw do; Hɔ na wɔbɔbɔ tsenenee okum afɔr: Na woehwiew epo no mbordo no, Nye anhwea mu akoradze a ohuntsa no.", ""
"DEU.33.20", "Na Gad ho dze ɔsee dɛ, Nhyira aka nyia ɔtserɛw Gad mu: Ɔtsena hɔ dɛ ogyataber, Ɔtsetsew abasa, nyew, etsifi pampamu.", ""
"DEU.33.21", "Na osiesiee dza odzi kan no maa noho, Na hɔ na wɔakora mbrahyɛfo ne kyɛfa; Na ɔnye ɔman no mu etsitsir bae, Na ɔyɛɛ EWURADZE ne tseneneedze, Nye ne ntsɛmbu wɔ Israel nkyɛn.", ""
"DEU.33.22", "Na Dan ho dze ɔsee dɛ, Dan yɛ ogyata ne ba a Ohuruw fi Basan.", ""
"DEU.33.23", "Na Naftali ho dze ɔsee dɛ, Naftali a enyisɔ amee no, EWURADZE ne nhyira ahyɛ no ma: Fa anee nye pomu afamu asaase no fa,", ""
"DEU.33.24", "Na Aser ho dze ɔsee dɛ, Wɔmfa mba nhyira Aser; Wɔmma ɔnyɛ nyia ɔsɔ enyi mma no nuanom, Na wɔmma ɔmfa n’anan mbɔ ngo mu.", ""
"DEU.33.25", "W’adaban nyɛ dadze nye boran; Na dɛ mbrɛ wo nda tse no, dɛmara so na w’ahoɔdzen nyɛ.", ""
"DEU.33.26", "Jesurun, obi nnyi hɔ a ɔtse dɛ Onyame a Otutu nam sor dzi boa wo, Na n’akɛseyɛ wɔ wimu.", ""
"DEU.33.27", "Ɔdomankoma Nyankopɔn nye wo tsenabew: Na n’ase na daa daa abasa wɔ: Na ɔpaam ɔtamfo no wɔ w’enyim, Na ɔsee dɛ, Sɛɛ hɔn.", ""
"DEU.33.28", "Na Israel retsena dwudwoodwo, Jakob nsubura no nkotoo, Wɔ eburow nye nsa asaase do; Nyew, no sor so sosɔw ɔbɔsu.", ""
