"ECC.1.1", "Ɔsɛnkafo, David ne ba, Jerusalɛmhen no, ne nsɛm nye yi.", ""
"ECC.1.2", "Egyangyandze mu egyangyandze, Ɔsɛnkafo no na ɔse; egyangyandze mu egyangyandze, ne nyinara egyangyandze a.", ""
"ECC.1.3", "Mfaso bɛn na ɔdasanyi nya wɔ ne berɛ a ɔberɛ wɔ wi ase yi mu?", ""
"ECC.1.4", "Ebusuasantsen kor kɔ, na ebusuasantsen fofor so ba; naaso asaase dze otsim hɔ daa.", ""
"ECC.1.5", "Ewia so pue, na ewia kɔtɔ, na ɔgye ntsɛm kɔ bea a ofi do pue no do.", ""
"ECC.1.6", "Mfar bɔ kɔ pomu afamu, na ɔdan dze fa kwaamu afamu; odzi adandan daa wɔ ne nkyekyɛmu mu: na mfar san bio kɔ n'aprɔwbɔmu.", ""
"ECC.1.7", "Esutsen nyinara pem kɔ po mu, naaso po nnyɛ ma ara da; fakor a esutsen pem kɔ no, hɔ ara so na ɔkɔ bio.", ""
"ECC.1.8", "Abrabɔ nyinara mu wɔ ɔberɛ ma; ɔdasanyi nnkotum ka: enyiwa mmee adzehwɛ, na asowa so nnhyɛ asɛntsie ma.", ""
"ECC.1.9", "Dza aba no, ɔnoara na ɔbɛba; na dza wɔayɛ noara na wɔbɛyɛ: na adze fofor biara nnyi wi yi ase.", ""
"ECC.1.10", "Ana biribi wɔ hɔ a adasa ka wɔ ho dɛ, Hwɛ, iyi dze fofor a? Ɔaba dada ana, wɔ tsetseber a abɛsen kɔ no mu.", ""
"ECC.1.11", "Nkaa bi nnyi hɔ ma ndzɛmba a asen kɔ no; na daakye ndzɛmba ɔbɛba a no so, nnkenya nkaa biara efi dza obesi ekyir aba no hɔ.", ""
"ECC.1.12", "Emi, mara Ɔsɛnkafo, midzii Israel do hen wɔ Jerusalɛm.", ""
"ECC.1.13", "Na medze m'akoma nyinara tsiim do dɛ mobɔhwehwɛ na mehu dza wɔyɛ no asaase do nyinara mu: mekyerɛ ɔberɛ edwuma a Nyankopɔn dze ama adasamba dɛ wɔmfa mu no.", ""
"ECC.1.14", "Mehu dwuma a wodzi no wi ase nyinara; na, hwɛ, ne nyinara yɛ egyangyandze nye ɔberɛ gyan.", ""
"ECC.1.15", "Dza akyea no, wonnkotum atsen no: na dza efi mu no, wonnkotum dze afora akan.", ""
"ECC.1.16", "Modwendween wɔ m'akoma mu dɛ, Hwɛ, menya nyansa kɛse akyɛn hɔn a wodzii m'enyim nyinara wɔ Jerusalɛm: nyew, m'akoma enya nyansa nye nyimdzee nhunii.", "#1 Ahe 4.29-31"
"ECC.1.17", "Na medze m'akoma nyina hwehwɛɛ nyansa na nyimdzee mu, na maahwehwɛ abɔdam nye nkwaseasɛm so mu: na iyi so muhun dɛ ɔyɛ ɔberɛ gyan.", ""
"ECC.1.18", "Na nyansa mbordo mu wɔ awerɛhow dodow: na nyia ɔdɔr nyimdzee no, ɔdɔr awerɛhow.", ""
