"ECC.3.1", "Adze biara wɔ ne hyɛber, na asɛm biara wɔ n’aber, wɔ wi yi ase:", ""
"ECC.3.2", "awoo n’aber, na owu n’aber; aber a wɔtsɛw, na aber a wotu dza wɔatsɛw no;", ""
"ECC.3.3", "aber a woku, na aber a wɔsa yarba; aber a wobubu gu famu, na aber a wɔma do si;", ""
"ECC.3.4", "aber a wosu, na aber a wɔserew; aber a wogyam, na aber a wɔsaw;", ""
"ECC.3.5", "aber a wɔtotow abo gu, na aber a wɔboaboa ano; aber a wɔyɛ etuu, na aber a wogyaa etuuyɛ mu;", ""
"ECC.3.6", "aber a wɔhwehwɛ adze, na aber a wɔyew adze; aber a wosie adze, na aber a wɔtow adze kyen;", ""
"ECC.3.7", "aber a wosunsuan mu, na aber a wɔpempam; aber a wɔyɛ komm, na aber a wɔkasa;", ""
"ECC.3.8", "aber a wɔdɔ, na aber a wɔtan; ɔsa n’aber, na asomdwee n’aber.", ""
"ECC.3.9", "Mfaso bɛn na nyia ɔyɛ edwuma nya no wɔ dza ɔberɛ ho no mu?", ""
"ECC.3.10", "Mehu ɔberɛ edwuma a Nyankopɔn dze ama adasamba dɛ wɔmfa mu.", ""
"ECC.3.11", "Ɔayɛ adze nyina fɛɛfɛw wɔ ne ber mu: eso ɔdze mber ahorow ho adwen ahyɛ hɔn akoma mu, naaso nyimpa nntum nnhu edwuma a Nyankopɔn ayɛ mu, ofitsi ahyɛse araa dze kodu ewiei mpo.", ""
"ECC.3.12", "Minyim dɛ biribi papa biara nnyi hɔ ma adasamba, sen dɛ wobedzi ehurusi, na wɔayɛ dza oye aber a wɔdze tse ase nyina.", ""
"ECC.3.13", "Na eso dɛ nyimpa biara bedzidzi na ɔanom, na oenya ne ber nyinara mu ndzepa oedzi no, ɔyɛ Nyankopɔn akyɛdze.", ""
"ECC.3.14", "Minyim dɛ biribiara a Nyankopɔn yɛ no, ɔnoara na ɔbɛtsena hɔ daa: wɔnnkɛfa hweeara aka ho, eso wonnkeyi do biribiara, na Nyankopɔn ayɛ no dɛm, ama adasa eesuro wɔ n’enyim.", ""
"ECC.3.15", "Dza ɔwɔ hɔ yi, ɔwɔ hɔ dadaada ana; na dza ɔbɛba no, oenya aba dadaada ana: na Nyankopɔn hwehwɛ dza etwa mu asen no bio.", ""
"ECC.3.16", "Na nkyii so muhun wɔ wi ase, wɔ atsɛmbu bea do, dɛ emumuyɛ wɔ hɔ; na ndzeyɛtsenenee bea do, dɛ emumuyɛ wɔ hɔ.", ""
"ECC.3.17", "Mekae wɔ m’akoma mu dɛ, Nyankopɔn bobu atseneneefo na emumuyɛfo nyina atsɛn, osiandɛ ɔahyɛ da bi ama tsirmpɔw na ndzeyɛɛ biara.", ""
"ECC.3.18", "Mekae wɔ m’akoma mu faa adasamba ho dɛ, Nyankopɔn rosɔ hɔn ahwɛ, na ama woeehu dɛ hɔnankasa wɔtse dɛ mbowa ara.", ""
"ECC.3.19", "Na dza ɔba adasamba do no ara na ɔba mbowa do; adze kor pɛr ara na ɔba hɔn do: mbrɛ ɔbaako wu no, mbrɛ ɔbaako so wu ara nye no; nyew, ahom kor na hɔn nyinara wɔwɔ; na nyimpa nnyi biribiara a ɔdze kyɛn mbowa: na ne nyinara so mpo, egyangyandze a.", ""
"ECC.3.20", "Hɔn nyinara wɔkɔ bea kor do; hɔn nyinara wofi huntuma mu, na hɔn nyinara wɔsan kɔ huntuma mu bio.", ""
"ECC.3.21", "Woana nyim ɔdasanyi no sunsum dɛ ɔfow kɔ sor na abowa sunsum dɛ osian kɔ asaase do famu?", ""
"ECC.3.22", "Dɛm ntsi muhun dɛ adze papa biara nnyi hɔ, sen dɛ dasanyi bedzi n’edwuma mu ehurusi; osiandɛ ne kyɛpɛn ara nye no: na woana dze no bɛsan aba ma oebohu dza obesi wɔ n’ekyir?", ""
