"ECC.6.1", "Mbusu bi wɔ hɔ a mehu wɔ wi yi ase, na ɔhyɛ adasa do:", ""
"ECC.6.2", "nyimpa a Nyankopɔn ma no ahonya, ahodze, nye enyidzi, na dza ɔyɛ no akɔndɔ mu biara mmbɔ ne kra, naaso Nyankopɔn mma no tum a ɔdze bedzi bi, mbom ɔhɔho na odzi; iyi egyangyandze a, na ɔyɛ yarba bɔn.", ""
"ECC.6.3", "Sɛ nyimpa wo ɔha, odzi mfe pii araa ma ne mfe dɔɔ so, na mbom papa ammee ne kra, na nkyii so oennya efunsie pa a; meka, dɛ ɔba a owuu ne na yamu mpo ye sen no:", ""
"ECC.6.4", "na ɔno dze, ɔba no egyangyandze mu, na ɔkɔ no sum mu, na sum kata ne dzin do;", ""
"ECC.6.5", "nkyii so oennhu ewia na onnyim so; oyi mpo, ɔwɔ ahomgye sen dɛm nyimpa no:", ""
"ECC.6.6", "nyew, kaansa odzi mfe apem mbɔho mpo a, onnya mu yiedzi biara: aso nnyɛ fakor na hɔn nyinara wɔkɔ?", ""
"ECC.6.7", "Nyimpa ne berɛ nyinara, n'anomu ntsi a, naaso n'akɔndɔ mmee.", ""
"ECC.6.8", "Na mfaso bɛn na onyansafo wɔ ma ɔkyɛn ɔkwasea, anaadɛ ebɛnadze na hianyi a onyim atseasefo enyim nantsew wɔ?", ""
"ECC.6.9", "Ɔfanyim enyiwa n'adzehu sen akɔndɔ a okyin: iyi so egyangyandze na ɔberɛ gyan.", ""
"ECC.6.10", "Dza ɔaba biara, wɔato no dzin dada ana, na wonnyim no dɛ nyimpa a: eso onnkotum ɔnye nyia no ho yɛ dzen sen no efimfen.", ""
"ECC.6.11", "Ɔnam dɛ ndzɛmba pii wɔ hɔ a wɔma egyangyandze dɔr ntsi, nyimpa ne mfaso wɔ hen?", ""
"ECC.6.12", "Na woana na onyim dza oye ma nyimpa wɔ no nkwa mu, no nkwa huhuw ne nda a ɔhwer no dɛ sunsuma? Na woana botum aka akyerɛ nyimpa dza obesi n'ekyir wɔ wi yi ase?", ""
