"EPH.3.1", "Iyi ntsi na emi Paul, meyɛ Kraest Jesus daduanyi ma hom amanamamfo,", ""
"EPH.3.2", "ɔbɛyɛ dɛ hom atse ofihwɛ edwuma a hom ntsi wɔdze ama me no ho asɛm,", ""
"EPH.3.3", "mbrɛ wɔnam nyikyerɛ do yii esumasɛm no kyerɛɛ me, dɛ mbrɛ makyerɛw no nsɛm tsiabaa bi mu abrɛ hom no.", ""
"EPH.3.4", "Ɔno na, sɛ hom kenkan a, hom dze bohu me ntseasee a ɔwɔ Kraest esumasɛm no mu a", "#Kol 1.26, 27"
"EPH.3.5", "mbersantsen bi mu wɔamma nyimpa mba ennhu, dɛ mbrɛ afei woeyi akyerɛ n'asomafo nye nkɔnhyɛfo krɔnkrɔn wɔ Sunsum mu no.", ""
"EPH.3.6", "Ɔno nye dɛ amanamamfo so bɛyɛ adzedzifo bi, nye nyimpadua kor no ara bi, na wɔnam asɛmpa no do eenya kyɛfa wɔ anohoba no ho bi, wɔ Kraest Jesus mu.", ""
"EPH.3.7", "Ɔno no ho ɔsomfo na mebɛyɛe, dɛ mbrɛ Nyankopɔn adom akyɛdze a wɔdze akyɛ hɛn no tum edwumayɛ tse no.", ""
"EPH.3.8", "Emi a musuar sen ahotseweefo nyina no na wɔdze adom yi adom me, dɛ menka Kraest ahonya a onnyi nhwehwɛmu no ho asɛm nkyerɛ amanamamfo;", ""
"EPH.3.9", "na memma nyimpa nyina nhu esumasɛm no ho dwumadzi a ofi tsetseetse nyina oesuma wɔ Nyankopɔn a ɔbɔɔ ndzɛmba nyina no mu no.", ""
"EPH.3.10", "Ama afei ɔnam asɔr no do ama mpanyindzi nye etum horow a wɔwɔ sor hɔ eehu Nyankopɔn nyansaa horow pii no,", ""
"EPH.3.11", "dɛ mbrɛ tsetse tsirmpɔw a ɔbɔe wɔ hɛn Ewuradze Kraest Jesus mu no tse.", ""
"EPH.3.12", "No mu na yɛnam no ho gyedzi do enya ndamyɛ nye kwan wɔ awerɛhyɛmu mu.", ""
"EPH.3.13", "Dɛm ntsi meserɛ dɛ mma hom abaw mu mmbu wɔ amandze a hom ntsi muruhu no ho, osiandɛ iyi yɛ hom enyimnyam.", ""
"EPH.3.14", "Iyi ntsi na mubu ntwɛr wɔ Egya no enyim,", ""
"EPH.3.15", "ɔno a wofi no mu na egyamba a wɔwɔ sor nye asaase nyina no nya hɔn dzin.", ""
"EPH.3.16", "Dɛ mbrɛ n'enyimnyam ahonya tse no, ɔmma hom ndua no Sunsum do nnya tum mu ahoɔdzen wɔ hom mu nyimpasu no mu.", ""
"EPH.3.17", "Ɔmma Kraest ndua gyedzi do ntsena hom akoma mu; ama sɛ hom gye ndwow na hom tsintsim wɔ dɔ mu a,", ""
"EPH.3.18", "hom eenya ahoɔdzen nye ahotseweefo no nyina eehu Kraest no dɔ no ne tɛtɛr, ne tsentsen, no krɔn no nye no bun no.", ""
"EPH.3.19", "Nyew, nkyɛ hom eehu Kraest no dɔ a ɔbor ntseasee nyina do no, na Nyankopɔn amayɛ nyina aahyɛ hom ma.", ""
"EPH.3.20", "Na afei, onyia no a otum dɛ ɔyɛ ma ɔtra mbordo kyɛn adze nyina a yebisa anaa yɛdwen, dɛ mbrɛ tum a ɔyɛ hɛn mu edwuma no tse,", ""
"EPH.3.21", "ɔno na enyimnyam nka no asɔr no mu, nye Kraest mu, nkɔ mbersantsen mfesantsen nyina mu. Amen.", ""
