"EPH.4.1", "Dɛm ntsi, emi a meyɛ Ewuradze ne daduanyi no, mutu hom fo dɛ hom nnantsew dɛ mbrɛ ɔfata ɔfrɛ a wɔdze afrɛ hom,", ""
"EPH.4.2", "wɔ ahobrɛadze nye ɔdwe nyina mu, nye penkyɛr. Hom mfa ɔdɔ mboaboa homho,", "#Kol 3.12, 13"
"EPH.4.3", "na hom mbɔ mbɔdzen mfa asomdwee nsuo koryɛ a Sunsum no dze ma hom no mu.", ""
"EPH.4.4", "Na hom yɛ nyimpadua kor nye Sunsum kor, dɛ mbrɛ wɔafrɛ hom wɔ hom frɛ enyidado kor mu;", ""
"EPH.4.5", "Ewuradze kor, gyedzi kor, enuma kor,", ""
"EPH.4.6", "hɛn nyina hɛn Nyankopɔn nye Egya kor a ɔbɔ hɛn nyina do, ɔnam hɛn nyina mu, na ɔwɔ hɛn nyina mu no.", ""
"EPH.4.7", "Na wɔdze adom adom hɛn nyina nkorkor dɛ mbrɛ Kraest akyɛdze nsusui tse.", ""
"EPH.4.8", "Dɛm ntsi ɔse, Ɔfowee kɔr sor no, ɔfaa ndɔmmum nara kɔr ndɔmmum, Na ɔmaa nyimpa akyɛdze.", "#Dwom 68.18"
"EPH.4.9", "(Na sɛ ɔka dɛ, Ɔfowee kɔr sor a, nna nnyɛ dza ɔrekyerɛ ara nye dɛ, osianee so kɔr asaase ase?", ""
"EPH.4.10", "Ampaara, nyia osianee no, ɔnoara so nye nyia ɔfowee bɔɔ ɔsorsor nyina do, ama ɔaahyɛ ndzɛmba nyina ma.)", ""
"EPH.4.11", "Na ɔama binom ayɛ asomafo, binom nkɔnhyɛfo, binom asɛmpakafo, binom ahwɛfo nye akyerɛkyerɛfo;", ""
"EPH.4.12", "dɛ ahotseweefo bedzi mu wɔ ɔsom edwuma ho ntsi, dɛ ɔdze bɔtow Kraest nyimpadua no ntsi:", ""
"EPH.4.13", "ma ekodu dɛ hɛn nyina yebodu Nyankopɔn Ba no ho gyedzi nye no ho nyimdzee mu koryɛ mu, ayɛ nyimpa a oewie nyin, yeedu Kraest amayɛ esusudze no pɛn do;", ""
"EPH.4.14", "amma yaannda ho annyɛ mbofraba a nkyerɛkyerɛ mframa biara tum bɔ hɛn begyabegya dze hɛn dzi akɔnaaba wɔ mbradatofo a wɔdze enyitsew na ndaadaa dzɛfɛdzɛfɛw nyimpa no.", ""
"EPH.4.15", "Mbom yeedzi nokwar wɔ dɔ mu, na yeenyin ndzɛmba nyinara mu akɔto Kraest a ɔyɛ hɛn tsir no;", ""
"EPH.4.16", "ofi no mu, na nyimpadua no nyina, ɔnam dza akwaa nyina dze ma no do, atoatoa mu na akoakoa mu ayɛ kor, dɛ mbrɛ hɔn mu biara n’adzeyɛ nsusui tse no, nyimpadua no nyina nyin nya no ho esiyie wɔ dɔ mu.", "#Kol 2.19"
"EPH.4.17", "Dɛm ntsi, meka iyi, na misi do wɔ Ewuradze ne dzin mu, dɛ mma hom nnantsew bio dɛ mbrɛ amanamamfo nantsew wɔ adwenhun mu no,", ""
"EPH.4.18", "sum ahyɛ hɔn adwen mu, wɔyɛ Nyankopɔn nkwa no ho ananaben, osian nkwaseasɛm a ɔwɔ hɔn mu, nye hɔn akoma a epirim ntsi;", ""
"EPH.4.19", "hɔn enyi nnto hwee ntsi, wɔdze hɔnho ama enyimguasebra, na wɔyɛ efifidze nyina enyiberdo.", ""
"EPH.4.20", "Na hom dze, nnyɛ dɛm na hom suaa no Kraest hɔ;", ""
"EPH.4.21", "sɛ ɔtse dɛm ampa dɛ hom atse no ho asɛm, na wɔakyerɛkyerɛ hom dɛ mbrɛ Kraest mu nokwar no tse no a:", ""
"EPH.4.22", "hom nyi hom abrabɔ dadaw no nngu, nyimpa dadaw no a ɔroprɔw wɔ ndaadaa akɔndɔ mu no a;", "#Kol 3.9"
"EPH.4.23", "na mbom hom nyɛ fofor wɔ hom adwen sunsum mu,", ""
"EPH.4.24", "na hom nhyɛ nyimpa fofor no a wɔabɔ no Nyankopɔn do wɔ tsenenee nye ahotsew mu no.", "#Kol 3.10; Gye 1.26"
"EPH.4.25", "Dɛm ntsi hom nyi atorsɛm ngu, na obiara nkasa nokwar nkyerɛ ne nyɛnko; osiandɛ yɛyeyɛ akwaa ma hɛnho nkorkor.", "#Zek 8.16"
"EPH.4.26", "Ma hom bo mfuw na mma hom nnyɛ bɔn. Mma wi nntɔ hom ebufuw do:", "#Dwom 4.4"
"EPH.4.27", "eso mma hom mma abɔnsam kwan.", ""
"EPH.4.28", "Mma owifo nnwia adze bio: na mbom ɔmbɔ mbɔdzen mfa ne nsa nyɛ edwuma pa, ama oeenya dza ɔdze bɛkyɛ nyia oehia.", ""
"EPH.4.29", "Mma kasa fun biara mmfi hom anomu, na mbom dza oye ma ntowdo a ohia a ɔdze adom bɛma hɔn a wɔtse.", ""
"EPH.4.30", "Na mma hom nnhow Nyankopɔn no Sunsum Krɔnkrɔn a wɔdze asɔw hom ano ama ɔgye da no no werɛ.", ""
"EPH.4.31", "Hom mma wonyi anoɔwen nyina, nye akomabɔn, nye ebufuw, nye ndzebɔ, nye etwitwanantsir nye adwembɔn nyina mfi hom mu:", ""
"EPH.4.32", "na hom nkyerɛ ayamuyie nye ayamuhyehye mma homho nkorkor; hom mfa nkyekyɛ homho dɛ mbrɛ Nyankopɔn so dze akyɛ hom wɔ Kraest mu.", ""
