"EPH.6.1", "Mba, hom ntsie hom awofo wɔ Ewuradze mu: na iyi na ɔtsen.", ""
"EPH.6.2", "Dzi w’egya nye wo na nyi (ɔno nye mbra a odzi kan a anohoba ka ho),", ""
"EPH.6.3", "ama eesi wo yie, na wo nda awar wɔ asaase do.", ""
"EPH.6.4", "Na hom egyanom, mma hom nnhyɛ hom mba ebufuw; mbom hom ntsetse hɔn wɔ Ewuradze setsie nye kasakyerɛ mu.", "#Kol 3.21"
"EPH.6.5", "Nkowaa, hom mfa suro nye ahopopo nye akomakor ntsie hom honam afamu ewuranom asɛm, dɛ hom yɛ ma Ewuradze;", "#Kol 3.22-25"
"EPH.6.6", "nnyɛ enyiwado som a, dɛ hɔn a wɔsɔ nyimpa enyi, na mbom dɛ Kraest nkowaa a wofi akoma mu reyɛ Nyankopɔn ne pɛ;", ""
"EPH.6.7", "na wɔdze ɔpɛ pa rosom dɛ wɔdze rema Ewuradze na nnyɛ nyimpa a:", ""
"EPH.6.8", "na hom nyim dɛ papa a obiara bɛyɛ no, ɔdehye o, akowaa o, ɔnoara ho akatua na obenya no wɔ Ewuradze hɔ.", ""
"EPH.6.9", "Hom, ewuranom, hom nyɛ dɛmara mma hom nkowaa, na hom ngyaa mpuwbɔ; na hom nyim dɛ hɔn wura nye hom wura wɔ sor, na ɔno, nyimpa enyimhwɛ biara nnyi n’afamu.", "#Kol 4.1; Deut 10.17; Kol 3.25"
"EPH.6.10", "Dza medze wie nye dɛ, hom nyɛ dzen wɔ Ewuradze nye no tum ahoɔdzen no mu.", ""
"EPH.6.11", "Hom nhyɛ Nyankopɔn akodze no nyina, ama hom eetum egyina abɔnsam ndaadaa no enyim.", ""
"EPH.6.12", "Osiandɛ nnyɛ yɛnye honam nye bɔgya na enya ntokwadzi, na yɛnye mpanyindzi, tumdzi, nye wiadze yi sum mu etumfo, nye emumuyɛ esunsum a wɔwɔ sorsor no.", ""
"EPH.6.13", "Dɛm ntsi, hom mfa Nyankopɔn akodze no nyina mmia, ama hom eetum egyina wɔ da bɔn no mu, na hom ewie akodzi yi nyina no, hom eetum egyina hom anan do.", ""
"EPH.6.14", "Dɛm ntsi, hom ngyina hɔ dɛ hom dze nokwar abɔ hom asen, na hom ahyɛ tsenenee akatabo no,", ""
"EPH.6.15", "na hom dze asomdwee asɛmpa no ho ahosiesie ahyehyɛ hom anan;", ""
"EPH.6.16", "na no korakoraa no, hom nkitsa gyedzi kokyɛm no a hom dze botum edum ɔbɔn no n’egyen ndua a ogya wɔ ano no.", ""
"EPH.6.17", "Na hom mfa nkwagye dadzekyɛw no, nye Sunsum afona a ɔyɛ Nyankopɔn asɛm no:", ""
"EPH.6.18", "na hom mfa mpaabɔ nye nkotoserɛ nyina nsɔr aber nyina wɔ Sunsum mu. Na hom iyi ara ntsi, hom mbɔ mbɔdzen nweɔn, ntotɔ nserɛ mma ahotseweefo no nyina,", ""
"EPH.6.19", "nye mo so, dɛ sɛ mubue m’ano a, Nyankopɔn mma me ɔkasahom ma memfa ndam nka asɛmpa no nda no mu esumasɛm no edzi,", ""
"EPH.6.20", "ɔno ho ɔsomafo na meyɛ wɔ mpokyerɛ mu yi, ama maakasa ndam do wɔ mu, dɛ mbrɛ ɔsɛ dɛ mekasa.", ""
"EPH.6.21", "Na afei, mbrɛ ɔbɛyɛ ma hom ehu mo ho asɛm no, onua dɔfo nye Ewuradze mu somfo nokwafo, Tikikus, bɛka ne nyina akyerɛ hom:", "#Ndwu 20.4; 2 Tim 4.12   #Kol 4.7, 8"
"EPH.6.22", "ɔno na iyiara ntsi masoma no hom nkyɛn, ma hom eehu mbrɛ hɛn asetsena mu tse, na ɔaaka hom akoma ato hom yamu.", ""
"EPH.6.23", "Asomdwee nye ɔdɔ, nye gyedzi a ofir Egya Nyankopɔn nye Ewuradze Jesus Kraest no, nka enuanom no.", ""
"EPH.6.24", "Adom nka hɔn a wɔdze ɔdɔ a odzi mu dɔ Ewuradze Jesus Kraest no nyina.", ""
