"EST.4.1", "Afei aber a Modekai hun dza aba nyinara no, nna ɔtsetseew ne ntar mu, na ɔdze eyitam nye nso kataa noho, na ofiir edzi kɔr kurow no ne finimfin, na ɔdze nkekamu dzendzen a ɔyɛ wen sui:", ""
"EST.4.2", "na ɔkɔr ɔhen no no kuropon no enyim mpo: osiandɛ obiara nnyi ho kwan dɛ ofura eyitam dze hɛn ɔhen no no kuropon mu.", ""
"EST.4.3", "Na ɔmansin biara mu beebiara mbrɛ ɔhen ne mbrasɛm no durii no, nkɔmbɔdzi kɛse baa hɔ wɔ Jewfo no mu, na mbuadadzi, na osu, na osukwadwom, na dodowara dedaa eyitam na nso mu.", ""
"EST.4.4", "Na Ester ne mbabaawa na ne mpiafo no bae bɛkaa kyerɛɛ no; na ɔhembaa no no werɛ hoow mbordo: na ɔsomaa dɛ wɔmfa atar nkɛhyɛ Modekai, na wonyi eyitam wɔ no ho: naaso ɔanngye.", ""
"EST.4.5", "Nna Ester kɛfrɛɛ Hatihak, ɔhen n'epiafo no mu baako a woeyi no dɛ ɔnhwɛ no no, na ɔsomaa no dɛ ɔnkɔ Modekai nkyɛn.", ""
"EST.4.6", "Nna Hatihak fiir edzi kɔr Modekai nkyɛn wɔ kurow no ne bea tɛtɛr no a ɔwɔ ɔhen no kuropon enyim no do.", ""
"EST.4.7", "Na Modekai kaa dza aba no do nyinara kyerɛɛ no, na sika dodow a Haman abɔ anohoba dɛ osian Jewfo ntsi obeker egu ɔhen n'akoradze mu, ma wɔaasɛɛ hɔn no.", ""
"EST.4.8", "Eso ɔdze mbra no a wɔhyɛɛ no wɔ Susa dɛ wɔnsɛɛ hɔn no ne kyerɛw saso maa no, dɛ ɔmfa nkyerɛ Ester na ɔnka nkyerɛ no; na ɔnhyɛ no dɛ ɔnkɔ ɔhen nkyɛn, nkɔtotɔ nserɛ no na ombisa adze wɔ n'enyim mma ne man.", ""
"EST.4.9", "Na Hatihak bae bɛkaa Modekai ne nsɛm no kyerɛɛ Ester.", ""
"EST.4.10", "Nna Ester kasaa kyerɛɛ Hatihak, na ɔmaa no nkra wɔ Modekai nkyɛn, dɛ;", ""
"EST.4.11", "Ɔhen no nkowaa nyinara, na ɔhen n'amansin mu nkorɔfo nyinara, nyim dɛ obiara, ɔbarimba o, ɔbaa o, ɔbɛba ɔhen nkyɛn wɔ fie afamu abanguado a wɔammfrɛ no no, mbra kor pɛr na ɔwɔ hɔ ma no, dɛ wonku no, gyedɛ nyia ɔhen bɛtsen sika ahempoma akyerɛ no dɛ ɔntsena ase no: na wɔmmfrɛɛ me dɛ monkɔ ɔhen nkyɛn adaduasa yi.", ""
"EST.4.12", "Na wɔkɛkaa Ester ne nsɛm no dze kyerɛɛ Modekai.", ""
"EST.4.13", "Nna Modekai hyɛɛ hɔn dɛ wɔmfa mbuae nsan nkɛma Ester dɛ, Mma nsusu wo tsirmu dɛ ɔwo befi mu efi wɔ ahemfie, asen Jewfo no nyinara.", ""
"EST.4.14", "Na sɛ ɔwo imua w'ano koraa wɔ aber yi mu a, ɔnodze mboa na ɔgye bɔsoɛr efi beebi fofor so ama Jewfo, na ɔwo na w'egya fi dze wɔbɛsɛɛ: na woana na onyim dɛ aber a ɔtse dɛm yi ntsi na wo nsa aka ahendzi no?", ""
"EST.4.15", "Nna Ester kaa kyerɛɛ hɔn dɛ wonkobua Modekai dɛ,", ""
"EST.4.16", "Kɔ, kɔpon Jewfo a wohu hɔn wɔ Susa nyinara hyia, na hom ndzi mbuada wɔ me ntsi, na mma hom nndzidzi na wɔnnom so ndaansa, adzesaa na adzekyee: emi so na me mbabaawa so bedzi mbuada dɛmara; na medze no dɛm akɔ ɔhen nkyɛn a ɔnnam mbra kwan do: na sɛ muwu a, nna mewu.", ""
"EST.4.17", "Nna Modekai sii mu kɔr no kwan, na ɔkɛyɛɛ dɛ mbrɛ Ester hyɛɛ no no nyinara.", ""
