"EXO.1.1", "Na Israel mbabanyin a wɔbaa Egypt no hɔn edzin nye yi; ɔbanyin biara nye ne fifo kaa Jakob ho bae.", "#Gye 46.8-27"
"EXO.1.2", "Reuben, Simeon, Levi, nye Juda;", ""
"EXO.1.3", "Isakar, Zebulun, nye Benjamin;", ""
"EXO.1.4", "Dan nye Naftali, Gad nye Aser.", ""
"EXO.1.5", "Na akra a wofi Jakob n’asen mu nyinara yɛ eduosuon: nna Josef wɔ Egypt dada.", ""
"EXO.1.6", "Na Josef, nye no nuanom nyinara, nye ebusuasantsen no nyinara, wuwui.", ""
"EXO.1.7", "Na Israelmba no wowoe, na wɔdɔɔr menyamenya, na hɔn dodow dɔɔ so, na hɔn ho yɛɛ dzen papaara; na wɔhyɛɛ asaase no do ma.", "#Ndwu 7.17"
"EXO.1.8", "Na ɔhen fofor bi soɛree wɔ Egypt a nna onnyim Josef.", ""
"EXO.1.9", "Na ɔkaa kyerɛɛ ne man dɛ, Hwɛ, Israelmba no dɔɔ so, na hɔn ho yɛ dzen sen hɛn:", ""
"EXO.1.10", "hom mbra ma yɛnye hɔn ndzi no nyansa mu, amma wɔaanndɔɔ so, na aammba dɛ sɛ ɔsa bi ba a, wɔaannkɛka hɛn atamfo ho nye hɛn ammbɔko, na woeenntu emmfi asaase yi do annkɔ.", "#Ndwu 7.19"
"EXO.1.11", "Dɛm ntsi wɔhyehyɛɛ abɔmbaafo wɔ hɔn do dɛ wɔmma hɔn ndzesoadze nhyɛ hɔn do. Na wɔkyekyeer adzekora nkurow, Pitom nye Raamses, maa Farao.", ""
"EXO.1.12", "Na mber dodow a wɔtseetsee hɔn kɛse no mbom na wɔdɔɔr kɛse na wɔtrɛe. Na Israelmba ho nketsenketse kyeer hɔn.", ""
"EXO.1.13", "Na Egyptfo yɛɛ Israelmba ma wodzii suhia:", ""
"EXO.1.14", "na wɔmaa hɔn asetsena foon hɔn wɔ ndwumadzen mu, wɔ dɛtse nye ntayaa, nye hamudwuma ahorow nyinara mu. Na wɔmaa wodzii suhia wɔ hɔn som nyinara mu.", ""
"EXO.1.15", "Na Egypthen no kasaa kyerɛɛ Hebriwfo awogyefo a hɔn mu kor ne dzin dze Sifra, na ɔbaako so ne dzin dze Pua no:", ""
"EXO.1.16", "na ɔsee dɛ, Sɛ hom regye Hebriwfo mbaa no awoo, na hom hu wɔ awoo egua no do dɛ ɔyɛ ɔbanyin a, ɔno hom nku no; na sɛ ɔyɛ ɔbabaa a, ɔno ɔntsena ase.", ""
"EXO.1.17", "Na awogyefo no suroo Nyankopɔn, na wɔannyɛ dɛ mbrɛ Egypthen no hyɛɛ hɔn no, na mbom wɔgyee mbanyimba no nkwa.", ""
"EXO.1.18", "Na Egypthen no frɛɛ awogyefo no, na obisaa hɔn dɛ, Ɔyɛ dɛn ntsi na hom ayɛ dɛm adze yi, na hom agye mba mbanyimba no nkwa yi?", ""
"EXO.1.19", "Na awogyefo no see Farao dɛ, Osiandɛ Hebriwfo mbaa no wɔnntse dɛ Egyptfo mbaa; na hɔn dze, wɔyɛ pirim pirim, na awogyefo nnyae nndur hɔn nkyɛn mpo nna wɔawo dada.", ""
"EXO.1.20", "Na Nyankopɔn nye awogyefo no dzii no yie: na nkorɔfo no hɔn dodow dɔɔ so, na hɔn ho yɛɛ dzen pii.", ""
"EXO.1.21", "Na osiandɛ, awogyefo no suroo Nyankopɔn ntsi, ɔkyekyeer efi maa hɔn.", ""
"EXO.1.22", "Na Farao hyɛɛ no nkorɔfo nyinara dɛ, Ɔbabanyin biara a wɔbɔwo no no, hom nkɔtow no nkyen esutsen no mu, na ɔbabaa biara dze, hom mma ɔntsena ase.", "#Ndwu 7.19"
