"EXO.2.1", "Na ɔbanyin bi fi Levi fie kɔwaar Levi babaa bi.", ""
"EXO.2.2", "Na ɔbaa no nyinsenii, na ɔwoo ɔbabanyin: na ohun dɛ ɔyɛ abofra a no ho yɛ fɛw no, ɔdze no sumaa abosoom ebiasa.", "#Ndwu 7.20; Heb 11.23"
"EXO.2.3", "Na ɔdze no suma bio a ɔnnyɛ yie no, ɔfaa mbɛw adakaba, na ɔdze hua na aman seraam ho: na ɔdze abofra no too mu, na ɔdze kesii atsen  no mu wɔ esutsen no no nkɔkɔnoa.", "#2.3 ATSEN: Nkyɛkyɛr atsentsen."
"EXO.2.4", "Na n’akyerɛbaa gyinaa ekyirekyir, dɛ ɔrohwɛ dza ɔbɛyɛ no.", ""
"EXO.2.5", "Na Farao ne babaa sianee baa esutsen no ho dɛ oruboguar; na ne mbaawa pasaar esutsen no nkyɛn. Ber a ohun adaka no wɔ atsen no mu no, ɔsomaa n’abaawa dɛ ɔnkɛfa mbra.", ""
"EXO.2.6", "Na obuee do, na ohun abofra no: na, hwɛ, akɔkowaba no sui. Na ohun no mbɔbɔr, na ɔsee dɛ, Hebriwfo mba no kor nye yi.", ""
"EXO.2.7", "Nna abofra no n’akyerɛbaa no bisaa Farao babaa no dɛ, Ana monkɔ nkɛfrɛ Hebriwfo mbaa no mu onufomafo mbrɛ wo, ma ɔmma abofra no enumfo mma wo anaa?", ""
"EXO.2.8", "Na Farao ne babaa no see no dɛ, Kɔ. Na akataasia no kɔree kɛfrɛɛ abofra no ne na.", ""
"EXO.2.9", "Na Farao ne babaa no see no dɛ, Fa abofra yi kɔ, na kɛma no enumfo ma me, na medze w’akatua bɛma wo. Na ɔbaa no faa abofra no, na ɔkɛmaa no enumfo.", ""
"EXO.2.10", "Na abofra no nyinii, na ɔdze no brɛɛ Farao ne babaa no, na ɔbɛyɛɛ ne babanyin. Na ɔtoo no dzin Moses, na ɔsee dɛ, Osiandɛ mefaa no nsu mu.", "#Ndwu 7.21"
"EXO.2.11", "Na ɔbaa dɛ nda no mu no, aber a Moses nyinii no, ofiir edzi kɔr no nuanom nkyɛn, na ɔkɔhwɛɛ hɔn ndzesoadze. Ohun dɛ Egyptnyi bi robor Hebriwnyi bi, no nuanom mu baako.", "#Ndwu 7.23-28#Heb 11.24"
"EXO.2.12", "Na ɔhwɛɛ ha hwɛɛ ha, na ohun dɛ nyimpa bi nnyi hɔ no, ɔbɔɔ Egyptnyi no kum no, na ɔdze no hyɛɛ anhwea mu.", ""
"EXO.2.13", "Na n’adzekyee no ofiir edzi, na, hwɛ, Hebriwfo beenu roko: na obisaa nyia odzi fɔ no dɛ, Ɔyɛ dɛn ntsi na ebɔ wo nyɛnko yi?", ""
"EXO.2.14", "Na obuaa no dɛ, Woana yɛɛ wo ɔpanyin nye ɔsɛndzifo wɔ hɛn do? Edwen dɛ iruboku me dɛ mbrɛ ikum Egyptnyi no anaa? Na Moses suroi, na ɔsee dɛ, Ampaara asɛm no epue.", ""
"EXO.2.15", "Ber a Farao tsee asɛm yi no, ɔhwehwɛɛ dɛ nkyɛ oboku Moses. Na Moses guanee fii Farao enyim, na ɔkɛtsenaa Midian asaase do: na ɔkɔkoo nsubura bi ho.", "#Ndwu 7.29; Heb 11.27"
"EXO.2.16", "Nna Midian ɔsɔfo no wɔ mbabaa beesuon; na wɔbae bɔtoow nsu, na wɔdze hyehyɛɛ ndaasee no amaama dɛ wɔrema hɔn egya no nguan anom.", ""
"EXO.2.17", "Na nguanhwɛfo bi bae beyii hɔn edzi: na Moses soɛree boaa hɔn, na ɔmaa hɔn nguan no nomee.", ""
"EXO.2.18", "Na wɔbaa hɔn egya Reuel nkyɛn no, obisaa hɔn dɛ, Ɔyɛ dɛn na ndɛ hom aba ntsɛm dɛm yi?", ""
"EXO.2.19", "Na wɔsee dɛ, Egyptnyi bi na oyii hɛn fii nguanhwɛfo no nsamu, na ɔtoow nsu mpo maa hɛn, na ɔmaa nguan no nomee.", ""
"EXO.2.20", "Na obisaa ne mbabaa no dɛ, Na ɔwɔ hen? Ɔyɛ dɛn ntsi na hom adan ɔbanyin no egya yi? Wɔnkɛfrɛ no ma ombedzidzi.", ""
"EXO.2.21", "Na Moses peen dɛ ɔnye ɔbanyin no bɛtsena: na ɔpanyin no dze ne babaa Zipora maa Moses awar.", ""
"EXO.2.22", "Na ɔwoo ɔbabanyin, na ɔtoo no dzin Gersom: na ɔsee dɛ, Osiandɛ mayɛ ɔmamforanyi wɔ ananaben asaase do.", ""
"EXO.2.23", "Na ɔbaa dɛ nda pii guu mu no, Egypthen no wui: na nkowaasom no ntsi Israelmba pempenee, na wosui, na hɔn su fowee kɔr Nyankopɔn nkyɛn.", ""
"EXO.2.24", "Na Nyankopɔn tsee hɔn nkrumsi, na Nyankopɔn kaa n’ahyɛmu a ɔnye Abraham, Isaak, na Jakob dzii no.", "#Gye 15.13, 14"
"EXO.2.25", "Na Nyankopɔn hwɛɛ Israelmba no, na ohun hɔn haw.", ""
