"EXO.13.1", "Na EWURADZE kaa kyerɛɛ Moses dɛ,", ""
"EXO.13.2", "Tu mbakan nyinara si nkyɛn ma me, adze biara a obue yafun mu, wɔ Israelmba mu, wɔ onyimpa nye abowa mu nyinara; yɛ medze.", "#Nka 3.13; Luk 2.23"
"EXO.13.3", "Na Moses see ɔman no dɛ, Hom nkaa da yi a hom dze fii Egypt firii, fii nkowaasom fi mu no; na nsa a ɔyɛ dzen na EWURADZE dze yii hom fii bea no do: mma wonndzi mbɔrkaw boodoo.", ""
"EXO.13.4", "Ndɛ da yi na hom rifir edzi wɔ bosoom Abib mu.", ""
"EXO.13.5", "Na ɔbɛba dɛ sɛ EWURADZE nya dze wo du Keenanfo, Hitifo, Amorifo, Hivifo, nye Jebusfo asaase a ɔkaa ho ntam kyerɛɛ w'egyanom dɛ ɔdze bɛma wo no, asaase a numfonsu nye ewo pem wɔ do no do a, ɔno som ɔsom yi wɔ bosoom yi mu.", ""
"EXO.13.6", "Nda esuon na dzi epitsi boodoo, na da a otsia esuon no bɛyɛ afahyɛ ama EWURADZE.", ""
"EXO.13.7", "Wondzi epitsi boodoo nda esuon no mu nyina; na mma wonnhu mbɔrkaw boodoo wɔ wo nkyɛn, nkyii so mma wonnhu mbɔrkaw wɔ wo nkyɛn, wɔ wo ntoaado nyinara mu.", ""
"EXO.13.8", "Na da no kyerɛ mu kyerɛ wo ba dɛ, Osian dza EWURADZE yɛe maa me wɔ ber a mirifi Egypt aba no ntsi a.", ""
"EXO.13.9", "Na ɔbɛyɛ wo wo nsa do asɛnkyerɛdze, na w'enyiwa ntamu nkaadze, ama EWURADZE mbra no aako w'anomu: na nsa a ɔyɛ dzen na EWURADZE dze eyi wo efi Egypt.", ""
"EXO.13.10", "Dɛm ntsi dzi mbra yi do wɔ ne ber mu afrenhyia daa.", ""
"EXO.13.11", "Na ɔbɛba dɛ sɛ EWURADZE dze wo du Keenanfo asaase do, dɛ mbrɛ ɔkaa ntam kyerɛɛ ɔwo nye w'egyanom no, na ɔdze ma wo a,", ""
"EXO.13.12", "ɔno yi dza obue yafun mu nyinara si nkyɛn ma EWURADZE, na abakan biara a ewɔ a ofi abowa mu: enyin no nyɛ EWURADZE dze.", ""
"EXO.13.13", "Na asoasopɔnkɔ abakan biara fa eguambaa sesa; na sɛ annsesa a, ɔno bu no kɔn mu; na nyimpa mbakan a wɔwɔ wo mbabanyin mu nyinara dze sesa gye hɔn.", ""
"EXO.13.14", "Na ɔbɛba dɛ sɛ ndaamba bi wo ba bisa wo dɛ, Ebɛnadze nye yi a, ase no dɛ, Nsa a ɔyɛ dzen na EWURADZE dze yii hɛn fii Egypt, fii nkowaasom fi no mu.", ""
"EXO.13.15", "Na ɔbaa dɛ, aber a nna Farao mmpen dɛ ɔbɛma yɛakɔ no, EWURADZE kunkum Egypt asaase do mbakan nyinara, nyimpa abakan, nye mbowa abakan nyina: dɛm ntsi na mo so medze enyin nyinara a wobue yafun mu no mobɔ EWURADZE afɔr; na me mbabanyin mu mbakan nyinara dze medze mbowa sesa gye hɔn.", ""
"EXO.13.16", "Na ɔbɛyɛ wo nsa do asɛnkyerɛdze, nye w'enyiwa ntamu nkaadze: na nsa a ɔyɛ dzen na EWURADZE dze yii hɛn fii Egypt.", ""
"EXO.13.17", "Na ɔbaa dɛ, Farao maa ɔman no kwan no, Nyankopɔn ammfa hɔn annkɛfa Filistiafo asaase do kwan do, kaansa ɔno ɔbɛn mpo a; na Nyankopɔn see dɛ, Bi a bɛyɛ na ɔman no ekehyia ɔsa, na woenu hɔnho, na wɔasan akɔ Egypt:", ""
"EXO.13.18", "mbom Nyankopɔn dze ɔman no danee faa Mbɛw Po no ho sar do ɔkwan do; na Israelmba no miae fii Egypt asaase do kɔree.", ""
"EXO.13.19", "Na Moses faa Josef mbiew no kaa no ho: osiandɛ ɔaka Israelmba ntam dɛ, Ampaara Nyankopɔn bɛba abɛsera hom; na hom mfa me mbiew nka hom ho mfi ha nkɔ.", "#Gye 50.25; Jos 24.32"
"EXO.13.20", "Na wotuu hɔn kwan fii Sukɔt, na wɔkɛkyeer nsera wɔ Etam, wɔ sar no ano.", ""
"EXO.13.21", "Na EWURADZE dzii hɔn enyim ewimbir wɔ mununkum dum mu, dɛ ɔrekyerɛ hɔn kwan; na anadwe wɔ gya dum mu, dɛ ɔrema hɔn kan; ama wɔaanantsew ewiaber nye anadwe:", ""
"EXO.13.22", "ewiaber mununkum dum no, nye anadwe gya dum no, wɔanntwe hɔnho emmfi ɔman no enyim.", ""
