"EXO.19.1", "Bosoom a otsia ebiasa a Israelmba sii mu fii Egypt asaase do no, da no ara na wɔbaa Sinai sar do.", ""
"EXO.19.2", "Na aber a wotui fii Refidim, na wɔbaa Sinai sar do no, wɔkyeer nsera wɔ sar no do; na hɔ na Israel kyeer nsera wɔ bepɔw no enyim.", ""
"EXO.19.3", "Na Moses fowee kɔr Nyankopɔn nkyɛn, na EWURADZE fii bepɔw no do frɛɛ no see dɛ, Dɛm na se Jakob fi, na ka kyerɛ Israelmba;", ""
"EXO.19.4", "Hom ehu dza medze mayɛ Egyptfo, na mbrɛ mosoaa hom nkɔr ntsaban do, na medze hom baa mara me nkyɛn.", ""
"EXO.19.5", "Dɛm ntsi afei, sɛ hom betsie me ndze ara ampa, na woedzi m’ahyɛmu do a, ɔnodze, hom bɛyɛ egyapadze a ɔsom bo efi aman nyinara mu ama me: osiandɛ asaase nyinara yɛ medze:", "#1 Pet 2.9 #Deut 4.20; 7.6; 14.2; 26.18; Tit 2.14"
"EXO.19.6", "na hom bɛyɛ asɔfo ahendzi, nye ɔman krɔnkrɔn ama me. Iyinom nye nsɛm a fa ka kyerɛ Israelmba no.", "#Nyi 1.6; 5.10"
"EXO.19.7", "Na Moses bae na ɔbɛfrɛɛ ɔman mpanyimfo no, na ɔdze nsɛm yi a EWURADZE dze hyɛɛ no nyinara too hɔn enyim.", ""
"EXO.19.8", "Na ɔman no nyinara bɔɔ mu buae, na wɔsee dɛ, Dza EWURADZE aka nyinara, yɛbɛyɛ. Na Moses kɛkaa ɔman no hɔn nsɛm no kyerɛɛ EWURADZE.", ""
"EXO.19.9", "Na EWURADZE see Moses dɛ, Hwɛ, mereba wo nkyɛn wɔ mununkum kebii mu, ama sɛ menye wo kasa a ɔman no aatse, na eso wɔaagye wo edzi daa. Na Moses kaa ɔman no hɔn nsɛm no kyerɛɛ EWURADZE.", ""
"EXO.19.10", "Na EWURADZE see Moses dɛ, Kɔ ɔman no nkyɛn, na tsew hɔn ho ndɛ nye ɔkyena, na ma wɔnhohor hɔn ntar,", ""
"EXO.19.11", "na wonsiesie hɔnho nsie da a otsia ebiasa no: na da a otsia ebiasa no EWURADZE besian wɔ ɔman no nyinara enyim aba bepɔw Sinai do.", ""
"EXO.19.12", "Na bɔ ɔman no ho ɔheban hyia, se dɛ, Hom nhwɛ homho yie, ma hom aammfow bepɔw no, anaa hom annkɛka ne he: obiara a ɔbɛka bepɔw no oku na woboku no:", "#Heb 12.18-20"
"EXO.19.13", "nsa biara nnka no, mbom abo na wonsiw no, anaa tow na wɔntow no ma onhwira mu; sɛ abowa o, nyimpa o, orinnya nkwa: sɛ abɛn no hɛn kyɛr a, wɔmfow bepɔw no.", ""
"EXO.19.14", "Na Moses sianee fi bepɔw no do kɔr ɔman no nkyɛn, na ɔtseew ɔman no ho; na wɔhohoor hɔn ntar.", ""
"EXO.19.15", "Na ɔsee ɔman no dɛ, Hom nsiesie homho nsie da a otsia ebiasa no: mma wɔnnkɔ ɔbaa biara ho.", ""
"EXO.19.16", "Na ɔbaa dɛ da a otsia ebiasa no, anapa no, asenaman nye enyinam, nye mununkum kebii baa bepɔw no do, na abɛn ndze dzendzen mbordo; na ɔman a wɔwɔ nseraban no mu nyinara ho popoe.", "#Nyi 4.5 #Deut 4.11, 12"
"EXO.19.17", "Na Moses dze ɔman no fir edzi fii nseraban no mu dɛ worikehyia Nyankopɔn; na wokegyinagyinaa bepɔw no ase afamu.", ""
"EXO.19.18", "Na bepɔw Sinai no nyinara rupun wusiw, osiandɛ EWURADZE nam gya mu sianee baa do: na no wusiw no tui kɔr sor dɛ fononoo mu wusiw, na bepɔw no nyinara wosoow kɛsenara.", ""
"EXO.19.19", "Na abɛn no ne ndze yɛɛ dzendzenndzen dodow no, Moses kasae, na Nyankopɔn dze ndze gyee no do.", ""
"EXO.19.20", "Na EWURADZE sianee baa bepɔw Sinai do, wɔ bepɔw no etsifi: na EWURADZE frɛɛ Moses dɛ ɔnkɔ bepɔw no etsifi: na Moses fowee kɔree.", ""
"EXO.19.21", "Na EWURADZE see Moses dɛ, Sian famu behyia ɔman no, amma wɔaanntsetsew mu ammba EWURADZE nkyɛn ammbɔhwɛ, ma hom mu pii aanntotɔ.", ""
"EXO.19.22", "Na ma asɔfo no so a wɔba EWURADZE nkyɛn no ntsew hɔnho, amma EWURADZE eenntu annhyɛ hɔn do.", ""
"EXO.19.23", "Na Moses see EWURADZE dɛ, Ɔman no runntum mmfow mmba bepɔw Sinai do: osiandɛ woara hyɛɛ hɛn dɛ, Bɔ bepɔw no ho ɔheban hyia, na tsew ho.", ""
"EXO.19.24", "Na EWURADZE see no dɛ, Kɔ, sian famu; na fow bra, ɔwo, nye Aaron ka wo ho: na mma asɔfo no nye ɔman no nntsetsew mu mmfow mmba EWURADZE nkyɛn, amma oeenntu annhyɛ hɔn do.", ""
"EXO.19.25", "Nna Moses sianee kɔr ɔman no nkyɛn, na ɔkɛkaa kyerɛɛ hɔn.", ""
