"EXO.20.1", "Na Nyankopɔn kaa nsɛm yi nyinara, see dɛ,", ""
"EXO.20.2", "Emi nye EWURADZE wo Nyankopɔn a miyii wo wɔ Egypt asaase do, wɔ nkowaasom fi mu no.", ""
"EXO.20.3", "Mma nnya enyame fofor nnka mo ho.", ""
"EXO.20.4", "Mma nnyɛ ohonyi bi, anaa adze a ɔwɔ wimu wɔ sor, anaa dza ɔwɔ asaase do wɔ famu, anaa dza ɔwɔ nsu mu wɔ asaase ase, ne saso mma woho:", "#Eks 34.17; Lev 19.4; 26.1; Deut 4.15-18; 27.15"
"EXO.20.5", "mma mmbɔ wo mu adze mma hɔn, na nnsom hɔn: na emi EWURADZE wo Nyankopɔn meyɛ Nyame nyinkufo a medze egyanom hɔn emumuyɛ bɔhwɛ mba, ekodu ebusuasantsen ebiasa nye anan a wɔtan me do;", "#Eks 34.6, 7; Nka 14.18; Deut 7.9, 10"
"EXO.20.6", "na muhu mpempem a wɔdɔ me na wodzi me mbransɛm do mbɔbɔr.", ""
"EXO.20.7", "Mma mmbɔ EWURADZE wo Nyankopɔn dzin gyangyan, na EWURADZE nnkɛma nyia no a ɔbɔ ne dzin gyangyan afa noho tɔtrɔtɔ.", "#Lev 19.12"
"EXO.20.8", "Kaa ahomgyeda no na sie no krɔnkrɔn.", "#Eks 16.23-30; 31.12-14"
"EXO.20.9", "Nda esia na yɛ edwuma, na dzi wo dwuma nyinara:", "#Eks 23.12; 31.15; 34.21; 35.2; Lev 23.3"
"EXO.20.10", "na da a otsia esuon no yɛ EWURADZE wo Nyankopɔn ahomgyeda: mma nnyɛ edwuma biara wɔ mu, ɔwo o, wo babanyin o, wo babaa o, w'akowaa o, w'afonabaa o, wo mbowa o, wo hɔho a ɔwɔ wo kuropon mu o:", ""
"EXO.20.11", "na nda esia na EWURADZE bɔɔ sor nye asaase, po, nye dza ɔwɔ mu nyinara, na ɔhoom da a otsia esuon no: dɛm ntsi na EWURADZE hyiraa ahomgyeda no, na ɔyɛɛ no krɔnkrɔn.", "#Gye 2.1-3; Eks 31.17"
"EXO.20.12", "Dzi w'egya nye wo na nyi: ama wo nda aawar wɔ asaase a EWURADZE wo Nyankopɔn dze rema wo no do.", "#Deut 27.16; Mat 15.4; 19.19; Mar 7.10; 10.19; Luk 18.20; Efe 6.2; Efe 6.3"
"EXO.20.13", "Mma nndzi ewu.", "#Gye 9.6; Lev 24.17; Mat 5.21; 19.18; Mar 10.19; Luk 18.20; Rom 13.9; Jas 2.11"
"EXO.20.14", "Mma nnto awar.", "#Lev 20.10; Mat 5.27; 19.18; Mar 10.19; Luk 18.20; Rom 13.9; Jas 2.11"
"EXO.20.15", "Mma nnwia adze.", "#Lev 19.11; Mat 19.18; Mar 10.19; Luk 18.20; Rom 13.9"
"EXO.20.16", "Mma nngye wo nyɛnko ho dasewia.", "#Eks 23.1; Mat 19.18; Mar 10.19; Luk 18.20"
"EXO.20.17", "Mma w'enyi mmber wo nyɛnko fi, mma w'enyi mmber ne yer, anaa n'akowaa, anaa n'afonabaa, anaa ne nantwi, anaa n'asoaso, anaa biribiara a ɔyɛ wo nyɛnko dze.", "#Rom 7.7; 13.9"
"EXO.20.18", "Na aber a ɔman no nyinara hun asenaman no, nye enyinam no, nye bepɔw a orupun wusiw no, na wɔtsee abɛn ndze no, hɔn ho popoe, na wokegyinaa ekyirekyir.", "#Heb 12.18, 19"
"EXO.20.19", "Na wɔsee Moses dɛ, Woara nye hɛn nkasa, na yebetsie: na mma Nyankopɔn nnye hɛn nnkasa, ɔno yebowuwu.", ""
"EXO.20.20", "Na Moses see ɔman no dɛ, Mma hom nnsuro: na Nyankopɔn aba dɛ ɔrobɔsɔ hom ahwɛ, ama no ho suro aaba hom enyi do, ma hom aannyɛ bɔn.", ""
"EXO.20.21", "Na ɔman no gyinaa ekyirekyir, na Moses twee bɛɛn sum kadoo no mbrɛ Nyankopɔn wɔ no.", ""
"EXO.20.22", "Na EWURADZE see Moses dɛ, Mbrɛ se Israelmba nye yi, Homara hom ehu dɛ mifi ɔsor na menye hom akasa.", ""
"EXO.20.23", "Mma hom nnyɛ me saso enyame bi mma hom ho; dwetɛ enyame, anaa sika enyame o, mma hom nnyɛ.", ""
"EXO.20.24", "Dɛtse afɔrmbukyia na yɛ ma me, na dze wo hyew afɔr, nye w'asomdwee afɔr, wo nguan, nye w'anantwi no bɔ do afɔr: beebiara a mebɛma wɔakaa me dzin no, mebɛba wo nkyɛn na mebehyira wo.", ""
"EXO.20.25", "Na sɛ ereyɛ abo afɔrmbukyia ama me: mma mmfa abo a woetwa nnsia osiandɛ sɛ ema w'edwindadze do bɔ do a, egu ho fi.", "#Deut 27.5-7; Jos 8.31"
"EXO.20.26", "Nkyii so mma mmfow atwer nnkɔ afɔrmbukyia do, amma w'adagyaw aannda edzi wɔ do.", ""
