"EXO.21.1", "Na iyinom nye ntsɛmbusɛm a fa to hɔn enyim.", ""
"EXO.21.2", "Sɛ etɔ akowaa a ɔyɛ Hebriwnyi a, mfe esia na ɔnsom: na dza otsia esuon no mu ɔmfa no ho ndzi nkɔ kwa.", "#Lev 25.39-46"
"EXO.21.3", "Sɛ noara nko na ɔbae a, noara nko nkɔ: sɛ ɔawar a, ɔno ne yer nye no nkɔ.", ""
"EXO.21.4", "Sɛ no wura ma no yer, na ɔwo mbabanyin anaa mbabaa ma no a, yer no nye ne mba nyɛ ɔbaa no no wura dze, na noara nko nkɔ.", ""
"EXO.21.5", "Na sɛ akowaa no ka no petee dɛ, Modɔ mo wura, me yer, nye me mba; mennkɛfa moho edzi akɔ a:", ""
"EXO.21.6", "ɔno no wura no mfa no mbra Nyankopɔn enyim, na ɔmfa no mbra ɔpon ho, anaa ɔpon dua ho; na no wura no mfa fitsii mfitsi n’asomu; na ɔnsom no daa.", ""
"EXO.21.7", "Na sɛ ɔbanyin bi tɔn ne babaa ma ɔkɛyɛ afonabaa a, ɔnodze mma ɔmmfa noho nndzi nnkɔ dɛ mbrɛ akowaa no yɛ.", ""
"EXO.21.8", "Sɛ ɔnnsɔ no wura a noara ɔagye no ayewar no enyi a, ɔnodze wɔmma wɔmbɔpon no: onnyi tum dɛ ɔtɔn no ma ɔnanaben bi, osiandɛ ɔadaadaa no.", ""
"EXO.21.9", "Na sɛ ɔgye no ayewar ma ne babanyin a, ɔnyɛ no dɛ mbrɛ wɔdze yɛ mbabaa.", ""
"EXO.21.10", "Sɛ ɔgye yer fofor ma no a; mma onnkuw n’edziban, n’akataho, nye n’awar edwuma do.", ""
"EXO.21.11", "Na sɛ ɔannyɛ iyinom ebiasa yi amma no a, ɔnodze ɔmfa noho ndzi nkɔ kwa, sika bi nnyi mu.", ""
"EXO.21.12", "Nyia ɔbɔ nyimpa ma owu no, oku na wonku no.", "#Lev 24.17"
"EXO.21.13", "Na sɛ nyimpa annkɔ atsɛwee, na Nyankopɔn na ɔama ne nsa apa dze a; ɔno mibeyi beebi mama wo na oeeguan akɔ hɔ.", "#Nka 35.10-34; Deut 19.1-13; Jos 20.1-9"
"EXO.21.14", "Na sɛ nyimpa bi ba ne nyɛnko do enyidaho mu dze ndaadaa ku no a; yi no fi m’afɔrmbukyia ho, ma onwu.", ""
"EXO.21.15", "Na nyia ɔbɔ n’egya, anaa ne na no, oku na wonku no.", ""
"EXO.21.16", "Na nyia owia nyimpa, na ɔtɔn no no, anaa sɛ wohu no wɔ ne nsamu a, oku na wonku no.", "#Deut 24.7"
"EXO.21.17", "Na nyia ɔdom n’egya, anaa ne na no, oku na wonku no.", "#Lev 20.9; Mat 15.4; Mar 7.10"
"EXO.21.18", "Na sɛ nyimpa bi woridzi aper, na kor bɔ kor no ɔbo, anaa kutuku, na oennwu, na ɔka no to ne mpa do a:", ""
"EXO.21.19", "sɛ ɔsoɛr bio, na osuo no poma mu nantsew fir edzi a, ɔnodze nyia ɔbɔɔ no no no ho nyɛ no tɔtrɔtɔ: ne mber a asɛɛ no nko na ontua kaw, na ɔmma wɔnsa no yarba koraa.", ""
"EXO.21.20", "Na sɛ nyimpa bobɔ n’akowaa, anaa n’afonabaa abaa, ma owu ne nsaano a; ɔno wondzi no wer.", ""
"EXO.21.21", "Naaso sɛ ɔtsena hɔ da kor anaa nda ebien a, mma wonndzi no wer: osiandɛ ɔyɛ ne sika.", ""
"EXO.21.22", "Na sɛ mbanyin roko, na wopira onyinsemfo, ma ɔpon ɔba, na mbusu bi ammba ekyir dze a: brabo na wɔngye no, dɛ mbrɛ ɔbaa no no kun dze bɔto no do no; na ontua no dɛ mbrɛ ntsɛmbuafo no bɛkyerɛ no.", ""
"EXO.21.23", "Na sɛ mbusu bi ba ekyir a, ɔnodze fa nkwa hyɛ nkwa ananmu,", ""
