"EXO.23.1", "Mma nntsie atorsɛm: mma nnye omumuyɛfo nndzi nsawosow dɛ ebɛyɛ ɔdasefo ɔkontompɔnyi.", "#Eks 20.16; Lev 19.11, 12; Deut 5.20"
"EXO.23.2", "Mma nndzi ɔdodow ekyir nnkɛyɛ bɔn; nkyii so mma nnkasa asɛm bi mu nnkedzi ɔdodow ekyir nndan atsɛmbu enyi:", ""
"EXO.23.3", "nkyii so mma nndzi nnkɔ ohianyi afa wɔ n'asɛm mu.", "#Lev 19.15"
"EXO.23.4", "Sɛ ekɔto wo tamfo ne nantwi anaa n'asoaso dɛ ɔatɔ gon a, fa no san ekyir brɛ no bio.", "#Deut 22.1-4"
"EXO.23.5", "Sɛ ihu nyia okyir wo n'asoaso dɛ ɔhyɛ n'adzesoa ase, na nkyɛ ennkɛpɛ dɛ eboa no a, boa na nye no mboa no.", ""
"EXO.23.6", "Mma nndan wo hianyi n'atsɛmbu enyi wɔ n'asɛm mu.", "#Lev 19.15; Deut 16.19"
"EXO.23.7", "Twe woho fi atorsɛm ho kɔ ekyirekyir; na mma nnku nyia odzi bem na ɔtsen: osiandɛ murummbu omumuyɛfo bem.", ""
"EXO.23.8", "Na mma nngye akyɛdze: osiandɛ akyɛdze ma hɔn a wɔwɔ enyiwa fura, na ɔkyeakyea atseneneefo nsɛm.", ""
"EXO.23.9", "Na mma nnhaw ɔhɔho: osiandɛ hom nyim ɔhɔho n'akoma, ɔnam dɛ hom yɛɛ ahɔho wɔ Egypt asaase do ntsi.", "#Eks 22.21; Lev 19.33, 34; Deut 24.17, 18; 27.19"
"EXO.23.10", "Na mfe esia na pe w'asaase do aba, na boaboa no ndɔbaa ano sie:", "#Lev 25.1-7"
"EXO.23.11", "na afe a otsia esuon no dze ma ɔngye n'ahom na ɔnda hɔ kwa; ma wo man mu ehiafo ndzi: na dza wobegya no, hamu abowa ebedzi. Dɛmara na yɛ wo wenyin ture, nye wo ngodua ture.", ""
"EXO.23.12", "Nda esia na fa yɛ w'edwuma, na da a otsia esuon no fa hom: na wo nantwi nye w'asoasopɔnkɔ eenya ahomgye: na w'afonabaa ba, nye ɔhɔho no so eenya ahomgye.", "#Eks 20.9-11; 31.15; 34.21; 35.2; Lev 23.3; Deut 5.13, 14"
"EXO.23.13", "Na hom nhwɛ yie wɔ ndzɛmba a maka akyerɛ hom nyinara ho: na mma hom mmbobɔ enyame afofor bi dzin, nkyii so mma mma wɔnntse no wɔ w'anomu.", ""
"EXO.23.14", "Mpɛn ebiasa na hyɛ fa ma me wɔ afrenhyia mu.", ""
"EXO.23.15", "Sie epitsi afahyɛ no: nda esuon na dzi epitsi boodoo, dɛ mbrɛ mehyɛɛ wo no, wɔ mber a wɔahyɛ no wɔ bosoom Abib mu no (osiandɛ no mu na ifii Egypt bae); na mma obiara mmfa nsapan mmbefir m'enyim:", "#Eks 12.14-20; Lev 23.6-8; Nka 28.17-25"
"EXO.23.16", "na otwaber afahyɛ no, w'edwumadze a eyɛ no wɔ haban mu no mu nduadzewakan no: na anoboaboa afahyɛ no wɔ afe no ewiei, aber a eboaboa wo ndwumadze ano fi haban mu no.", "#Lev 23.15-21; Nka 28.26-31; Lev 23.39-43"
"EXO.23.17", "Wo mbanyin nyinara mbefir EWURADZE Nyankopɔn enyim mpɛn ebiasa wɔ afrenhyia mu.", ""
"EXO.23.18", "Mma mmfa mbɔrkaw nnka m'afɔrbɔ bɔgya no ho mmbɔ afɔr; nkyii so mma m'afahyɛ mu seradze no ɔnnko hɔ anadwe nyinara ma onnkodu adzekyee.", ""
"EXO.23.19", "Wo daadze mu nduadzewakan mu kan dze no fa bra EWURADZE wo Nyankopɔn fie. Mma nnoa apɔnkyeba wɔ ne na no numfonsu mu.", "#Deut 26.2; Eks 34.26; Deut 14.21"
"EXO.23.20", "Hwɛ, morosoma ɔbɔfo ma oeedzi w'enyim akɔhwɛ wo wɔ ɔkwan no mu, na ɔdze wo ekodu bea a mesiesie no do.", ""
"EXO.23.21", "Hom nhwɛ yie wɔ no ho, na wontsie ne ndze; mma wonnyi no ebufuw: na ɔnnkɛfa hom mbrato akyɛ hom; osiandɛ me dzin wɔ no mu.", ""
"EXO.23.22", "Na sɛ itsie ne ndze ara ampa, na eyɛ dza meka nyinara a; ɔnodze, mebɛyɛ ɔtamfo ama w'atamfo, nye ɔhohiahianyi mama w'ahohiahiafo.", ""
"EXO.23.23", "Na mo bɔfoe no bedzi w'enyim akɔ, na ɔdze wo ekodu Amorifo, Hitifo, Perizfo, Keenanfo, Hivifo, nye Jebusfo nkyɛn: na mubotwa hɔn egu.", ""
"EXO.23.24", "Mma mmbɔ wo mu adze mma hɔn enyame, na nnsom hɔn, na nnyɛ hɔn ndzeyɛɛ so: na butuw na butuw hɔn, na bubu hɔn edum mu esinesin.", ""
"EXO.23.25", "Na hom nsom EWURADZE hom Nyankopɔn, na obehyira w'edziban, nye wo nsu do; na mibeyi yarba mefi wo mu.", ""
"EXO.23.26", "Obiara nnkɔpon ɔba, na ɔnnkɛyɛ ɔbɔnyin so, wɔ w'asaase do: mebɛma wo nda no dodow ano edu.", ""
"EXO.23.27", "Mebɛma mo ho hu edzi w'enyim, na mebɛka aman a ebɛba hɔn do nyinara megu, na mama w'atamfo nyinara adan hɔn ekyir ama wo.", ""
"EXO.23.28", "Na mobɔsoma nkotokrodo ma woeedzi w'enyim, apam Hivifo, Keenanfo, nye Hitifo no wɔ w'enyim.", ""
"EXO.23.29", "Mennkɛpam hɔn wɔ w'enyim wɔ afe kor mu; ɔno bɛyɛ na asaase no adan amamfo, na hamu mbowa adɔɔ so wɔ wo do.", ""
"EXO.23.30", "Nkakrankakra na mebɛpam hɔn wɔ w'enyim, ekodu dɛ ebɔdɔr, na enya asaase no.", ""
"EXO.23.31", "Na mubotwa wo he efi Mbɛw Po no ho araa ekodu Filistiafo po no ho, na medze mefi sar no ano ekodu Esutsen no ho: na mibeyi asaase no do mba mahyɛ wo nsa; na ebɛpam hɔn wɔ w'enyim.", ""
"EXO.23.32", "Mma nnye hɔn nye hɔn enyame so nndzi ahyɛmu.", ""
"EXO.23.33", "Mma wɔnntsena w'asaase do, ɔno bɛyɛ na wɔama ayɛ bɔn etsia me: na sɛ esom hɔn enyame a, ampaara ɔbɛyɛ efir ama wo.", ""
