"EXO.30.1", "Na yɛ afɔrmbukyia a wɔhyew do eduhuam: akeesia dua na fa yɛ.", ""
"EXO.30.2", "Ne tsentsen nyɛ anamɔn kor nye fa, na ne tɛtɛr nyɛ anamɔn kor nye fa; ɔnyɛ etwaanan: na no krɔn nyɛ basafa kor: ne mmbɛn mfi sin kor no ara mu.", ""
"EXO.30.3", "Na fa sika mapa dura ho, n’etsifi, nye ne nkyɛn nkyɛnmu hyia, nye ne mmbɛn no; na yɛ ho sika hankra fa hyia.", ""
"EXO.30.4", "Na yɛ ho sika nkaba ebien wɔ ne hankra no ase, wɔ ne mparba ebien do, ne nkyɛnmu ebien no na yɛ no wɔ do; na ɔnyɛ mpoma anan mu na wɔdze aasoa.", ""
"EXO.30.5", "Na fa akeesia dua sinsian mpoma no, na duradura ho sika.", ""
"EXO.30.6", "Na fa si ntwamutam a ɔwɔ dase adaka no ho no enyim, wɔ mbɔbɔrhu egua no a ɔwɔ dase no do no enyim, mbrɛ menye wo behyia no.", ""
"EXO.30.7", "Na Aaron nhyew do eduhuam: anapa nyinara, sɛ orisiesie nkandzea no ho a, ɔnhyew.", ""
"EXO.30.8", "Na sɛ Aaron sosɔ nkandzea no ewimbir a, ɔnhyew, ɔnyɛ daa eduhuam wɔ EWURADZE enyim nkɔ hom mbasantsen nyina mu.", ""
"EXO.30.9", "Mma hom nnhyew do eduhuam fofor bi, anaa ɔhyew afɔr, anaa edzidzi afɔr; na mma hom nnhue nom afɔr nngu do.", ""
"EXO.30.10", "Na Aaron mpata wɔ ne mmbɛn do afrenhyia mu prɛko: bɔn ho afɔr mpata bɔgyaa no na ɔmfa mpata ne tsir afrenhyia mu prɛko wɔ hom mbasantsen nyina mu: ɔyɛ krɔnkrɔn mu krɔnkrɔn ma EWURADZE.", ""
"EXO.30.11", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"EXO.30.12", "Sɛ erohwehwɛ Israelmba hɔn dodow ano ebu, dɛ mbrɛ hɔn mu hɔn a wɔkan hɔn no tse a, ɔno nyimpa biara mma ne kra tsir apondze mma EWURADZE, sɛ erekan hɔn a; ama sɛ erekan hɔn a, ɔyardɔm bi eennsi hɔn mu.", ""
"EXO.30.13", "Iyi na wɔmma, obiara a otwa mu kɔ hɔn a wɔkan hɔn no mu no, dwetɛbona fa dɛ krɔnkrɔnbea dwetɛbona: (dwetɛbona yɛ gera eduonu:) dwetɛbona fa nyɛ EWURADZE afɔrbɔdze.", "#Eks 38.25, 26; Mat 17.24"
"EXO.30.14", "Obiara a otwa mu kɔ hɔn a wɔkan hɔn no mu no na oedzi mfe eduonu na ekyir no, ɔmma EWURADZE afɔrbɔdze no.", ""
"EXO.30.15", "Sɛ wɔrema EWURADZE afɔrbɔdze no dze aayɛ hom akra tsir mpatadze a, mma obirɛmpɔn mma kɛse, na ohianyi so mma kakraba, nnkyɛn dwetɛbona fa no.", ""
"EXO.30.16", "Na gyegye mpata sika no wɔ Israelmba no hɔ, na fa ma ehyiadzibuw no mu som no; ma ɔaayɛ nkaa ama Israelmba no wɔ EWURADZE enyim, dze aayɛ hɔn akra tsir mpatadze.", ""
"EXO.30.17", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"EXO.30.18", "Fa boran yɛ eguarsɛn so, na n’ase nyɛ boran, ma wɔdze eeguar; na fa si ehyiadzibuw no nye afɔrmbukyia no ntamu, na fa nsu gu mu.", "#Eks 38.8"
"EXO.30.19", "Na Aaron nye ne mbabanyin no mfa nhohor hɔn nsa ho nye hɔn anan ho wɔ hɔ:", ""
"EXO.30.20", "sɛ wɔrekɛhɛn ehyiadzibuw no mu a, wɔmfa nsu nhohor hɔnho, mma woeennwuwu; anaa sɛ wɔrebɛn afɔrmbukyia no ho abɔsom, ma wɔaahyew afɔrbɔdze a wɔdze gya hyew ma EWURADZE a:", ""
