"EXO.31.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"EXO.31.2", "Hwɛ, mabɔ Bezalel, Uri ba no, Hur ba no a ofi Juda ebusuakuw mu no ne dzin mafrɛ no:", ""
"EXO.31.3", "na medze Nyankopɔn sunsum ahyɛ no ma, wɔ nyansa, nye ntseasee, nye nyimdzee, nye edwindzi ahorow nyinara mu,", ""
"EXO.31.4", "dɛ ɔmfa ndwen ne tsir mu ndzi sika, nye dwetɛ, nye boran,", ""
"EXO.31.5", "nye nsisimu abo ntwitwae, nye ndua sian mu edwin, ma oeedzi edwin horow nyinara.", ""
"EXO.31.6", "Na, hwɛ, mara mafa Oholiab, Ahisamak ba a ofi Dan ebusuakuw mu, aka no ho; na hɔn a wɔwɔ nyansa akoma nyinara medze nyansa ahyɛ hɔn akoma mu ma wɔaayɛ dza mahyɛ wo nyinara:", ""
"EXO.31.7", "ehyiadzibuw no, nye dasedaka no, nye mbɔbɔrhu egua a ɔwɔ do no, nye Buw no no ho ndzɛmba nyinara;", ""
"EXO.31.8", "na ɔpon no nye no ho ndzɛmba, nye kandzeadua mapa no ɔnye no ho ndzɛmba nyinara, nye eduhuamhyew afɔrmbukyia no;", ""
"EXO.31.9", "na ɔhyew afɔr afɔrmbukyia no ɔnye no ho ndzɛmba nyinara, nye eguarsɛn no nye ne ntaease no;", ""
"EXO.31.10", "na ntar fɛɛfɛw a wɔapempam no, nye ɔsɔfo Aaron ne ntar krɔnkrɔn no, nye ne mbabanyin no hɔn ntar no a wɔdze bedzi m’asɔfoe no;", ""
"EXO.31.11", "nye ɔserango no, nye bea krɔnkrɔn nduhuanhuam a wɔahyew no: wɔnyɛ no dɛ mbrɛ mahyɛ wo no nyinara.", ""
"EXO.31.12", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"EXO.31.13", "Eso kasa kyerɛ Israelmba no dɛ, Ampaara, m’ahomgyenda no na hom nsie: osiandɛ ɔyɛ emi nye hom ntamu asɛnkyerɛdze wɔ hom mbasantsen nyina mu; ma hom eehu dɛ emi nye EWURADZE a metsew hom ho no.", ""
"EXO.31.14", "Dɛm ntsi hom nsie ahomgyeda no; osiandɛ ɔyɛ krɔnkrɔn ma hom: obiara a ohura ho no, oku na wonku no: na obiara a ɔyɛ edwuma wɔ mu no, wobotwa dɛm ɔkra no efi no nkorɔfo mu akyen.", ""
"EXO.31.15", "Nda esia na wɔmfa nyɛ edwuma; na da a otsia esuon no ɔyɛ ahomgye mu ahomgyeda a ɔyɛ krɔnkrɔn ma EWURADZE: obiara a ɔyɛ edwuma biara wɔ ahomgyeda no mu no, oku na wonku no.", "#Eks 20.8-11; 23.12; 34.21; 35.2; Lev 23.3; Deut 5.12-14"
"EXO.31.16", "Dɛm ntsi Israelmba no nsie ahomgyeda no, dɛ wɔrodwen ahomgyeda no do wɔ hɔn mbasantsen nyina mu, dɛ daa ahyɛmu.", ""
"EXO.31.17", "Ɔyɛ emi nye Israelmba ntamu daa daa asɛnkyerɛdze: na nda esia na EWURADZE dze yɛɛ ɔsor nye asaase, na da a otsia esuon no ɔhomee na ɔdwedwee noho.", "#Eks 20.11"
"EXO.31.18", "Na aber a ɔnye Moses wiee nkɔmbɔ twetwe wɔ bepɔw Sinai do no, ɔdze dasepon ebien no maa no, abopon a, wɔdze Nyankopɔn nsatseaba akyerɛw do.", ""
