"EXO.40.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"EXO.40.2", "Bosoom a odzi kan no ne da a odzi kan no si ehyiadzibuw no ne ntamadan no.", ""
"EXO.40.3", "Na fa ahyɛmudaka no si mu, na fa ntwamutam no kata adaka no enyim.", ""
"EXO.40.4", "Na fa ɔpon no kɔ mu, na siesie ndzɛmba a wɔdze sisi do no; na fa kandzeadua no kɔ mu, na sosɔ ne nkandzea no.", ""
"EXO.40.5", "Na fa sika eduhuamhyew afɔrmbukyia no kesi ahyɛmudaka no enyim, na fa ntamadan no n'abowano nsensɛnho no sɛn.", ""
"EXO.40.6", "Na fa ɔhyew afɔr afɔrmbukyia no si ehyiadzibuw no ne ntamadan no n'abow enyim.", ""
"EXO.40.7", "Na fa eguarsɛn no si ehyiadzibuw no nye afɔrmbukyia no ntamu, na fa nsu gu mu.", ""
"EXO.40.8", "Na sisi dampan no hyia, na fa dampan no n'abotsenano nsensɛnho no sɛn.", ""
"EXO.40.9", "Na fa ɔserango no, na fa sera ntamadan no, nye no mu adze nyinara, na yɛ no krɔnkrɔn, ɔnye no ho ndzɛmba nyinara; na ɔnyɛ krɔnkrɔn.", ""
"EXO.40.10", "Na sera ɔhyew afɔr afɔrmbukyia no, nye no ho ndzɛmba nyinara ngo, na yɛ afɔrmbukyia no krɔnkrɔn: na afɔrmbukyia no nyɛ krɔnkrɔndze mu adzekrɔnkrɔn.", ""
"EXO.40.11", "Na sera eguarsɛn no nye ne ntaease no ngo, na yɛ no krɔnkrɔn.", ""
"EXO.40.12", "Na fa Aaron nye ne mbabanyin no bra ehyiadzibuw no n'abowano, na fa nsu hohor hɔn ho.", ""
"EXO.40.13", "Na fa ntar krɔnkrɔn hyɛ Aaron; na sera no ngo, na yɛ no krɔnkrɔn ma ondzi mo sɔfoe.", ""
"EXO.40.14", "Na fa ne mbabanyin no bra, na hyehyɛ hɔn sorntar:", ""
"EXO.40.15", "na sera hɔn ngo dɛ mbrɛ eseraa hɔn egya ngo no, ma wondzi m'asɔfoe: na hɔn sera no nyɛ hɔn daadaa asɔfodzi nkɔ hɔn ebusuasantsen nyina mu.", ""
"EXO.40.16", "Dɛm na Moses yɛe: dɛ mbrɛ EWURADZE hyɛɛ no no nyinara.", ""
"EXO.40.17", "Na ɔbaa dɛ afe a otsia ebien no mu bosoom a odzi kan no mu, da a odzi bosoom no ne kan no, na wosii ntamadan no.", ""
"EXO.40.18", "Na Moses sii ntamadan no, na ɔhyehyɛɛ ne ngyinangyinado no, na osisii ne ntaabow no, na ɔdze ne mbeabeamu no beabeaa mu, na ogyinagyinaa n'edum no.", ""
"EXO.40.19", "Na ɔtserɛɛw buw no mu kataa ntamadan no do, na ɔdze ɔsor buw no ne nkatado no kataa do; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.20", "Na ɔfaa dase no dze hyɛɛ adaka no, na ɔdze mpoma no hyehyɛɛ adaka no ho, na ɔdze mbɔbɔrhu egua no sii adaka no do ɔsor;", ""
"EXO.40.21", "na ɔdze adaka no kɔr ntamadan no mu, na ɔdze nsensɛnho ntwamutam no sensɛnee, na ɔdze kataa ahyɛmudaka no enyim; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.22", "Na ɔdze ɔpon no sii ehyiadzibuw no mu, wɔ ntamadan no nkyɛn mu kwaamu afamu, wɔ ntwamutam no ekyir.", ""
"EXO.40.23", "Na osiesiee edziban no wɔ do wɔ EWURADZE enyim; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.24", "Na ɔdze kandzeadua no sii ehyiadzibuw no mu, wɔ ɔpon no tsentsendo, wɔ ntamadan no nkyɛn mu pomu afamu.", ""
"EXO.40.25", "Na ɔsosɔɔ nkandzea no wɔ EWURADZE enyim; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.26", "Na ɔdze sika afɔrmbukyia no sii ehyiadzibuw no mu wɔ ntwamutam no enyim:", ""
"EXO.40.27", "na ɔhyeew nduhuam wɔ do; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.28", "Na ɔdze nsensɛnho no sɛɛn ntamadan no n'abow no ano.", ""
"EXO.40.29", "Na ɔdze ɔhyew afɔr afɔrmbukyia no sii ehyiadzibuw ntamadan no n'abow no ano, na ɔbɔɔ do ɔhyew afɔr nye edziban afɔr; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.30", "Na ɔdze eguarsɛn no sii ehyiadzibuw no nye afɔrmbukyia no ntamu, na ɔdze nsu guu mu dɛ wɔmfa nhohor hɔnho.", ""
"EXO.40.31", "Na Moses nye Aaron nye ne mbabanyin no hohoor hɔn nsa ho nye hɔn anan ho wɔ hɔ;", ""
"EXO.40.32", "aber a wɔrokɔ ehyiadzibuw no mu, na aber a wɔrebɛbɛn afɔrmbukyia no, wɔhohoor hɔnho: dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"EXO.40.33", "Na osii dampan no dze twaa ntamadan no nye afɔrmbukyia no ho hyiae, na ɔdze dampan no n'abotsenano nsensɛnho no sɛnee. Nna Moses wiee edwuma no yɛ.", ""
"EXO.40.34", "Nna mununkum no bɛkataa ehyiadzibuw no do, na EWURADZE enyimnyam bɛhyɛɛ ntamadan no ma.", "#1 Ahe 8.10, 11; Isa 6.4; Eze 43.4, 5; Nyi 15.8"
"EXO.40.35", "Na Moses enntum annhɛn ehyiadzibuw no mu, osian mununkum no a ɔtse do, na EWURADZE enyimnyam a ahyɛ ntamadan no ma ntsi.", ""
"EXO.40.36", "Na aber a wɔama mununkum no do wɔ ntamadan no do no, nna Israelmba etu kɔ kan, wɔ hɔn akwantutu no nyina mu;", ""
"EXO.40.37", "na sɛ mununkum no wɔamma do a, ɔnodze wonntu kwan araa kodur da a wɔama do no.", ""
"EXO.40.38", "Osiandɛ EWURADZE no mununkum no wɔ ntamadan no do adzekyee, na ogya wɔ mu adzesaa, wɔ Israel fi no nyinara enyim, wɔ hɔn akwantutu no nyina mu.", ""
