"EZK.3.1", "Na ɔsee me dɛ, Onyimpa ba, dzi dza ihu no; dzi nwoma mbobɔwee yi, na kɔ, kɛkasa kyerɛ Israel fifo.", "#Nyi 10.9, 10"
"EZK.3.2", "Nna mubuee m’anomu, na ɔmaa midzii nwoma mbobɔwee no.", ""
"EZK.3.3", "Na ɔsee me dɛ, Onyimpa ba, dzi nwoma mbobɔwee a medze rema wo yi, na fa hyɛ wo nson ma. Nna midzii; na ne dɛw yɛɛ dɛ ewo wɔ m’anomu.", ""
"EZK.3.4", "Na ɔsee me dɛ, Onyimpa ba, si mu, kɔ Israel fifo nkyɛn, na kɛka me nsɛm yi kyerɛ hɔn.", ""
"EZK.3.5", "Na nnyɛ ɔman a hɔn kasaa yɛ ananakasa, na hɔn kasaa yɛ dzen, na wɔasoma wo hɔn nkyɛn, na mbom Israel fifo a;", ""
"EZK.3.6", "nnyɛ aman pii a hɔn kasaa yɛ ananakasa, na hɔn kasaa yɛ dzen a enntse hɔn nsɛm ase no bi a. Ampaara sɛ mosomaa wo hɔn nkyɛn a, nkyɛ wobetsie wo.", ""
"EZK.3.7", "Na Israel fifo dze, worinntsie wo; osiandɛ worinntsie me; na Israel fifo nyina hɔn momapɔw do ayɛ dzen na hɔn akoma epirim.", ""
"EZK.3.8", "Hwɛ, mayɛ w’enyim dzendzen wɔ hɔn enyim, na wo momapɔw do dzendzen wɔ hɔn mmomapɔw do.", ""
"EZK.3.9", "Dɛ dɛnkyɛmbo a ɔyɛ dzen sen twerɛbo na mayɛ wo momapɔw: mma nnsuro hɔn, eso mma hɔn enyim nntu wo bo, kaansa wɔyɛ etuatsew fi mpo a.", ""
"EZK.3.10", "Bio so ɔsee me dɛ, Onyimpa ba, me nsɛm a mebɛka akyerɛ wo nyina gye no w’akoma mu, na fa w’asowa tsie.", ""
"EZK.3.11", "Na si mu, kɔ ndɔmmumkɔfo no nkyɛn, wo man ne mba no nkyɛn, na kɛkasa kyerɛ hɔn, na se hɔn dɛ, Mbrɛ EWURADZE Nyankopɔn se nye yi; sɛ wobetsie o, sɛ wonnketsie o.", ""
"EZK.3.12", "Nna sunsum no maa me do, ma metsee twiradada kɛse bi wɔ m’ekyir, dɛ, Nhyira mfi ne bea do nka EWURADZE n’enyimnyam.", ""
