"EZK.4.1", "Ɔwo so, onyimpa ba, fa ntaayaa, na fa to w’enyim, na sensan kurow wɔ do, Jerusalɛm a:", ""
"EZK.4.2", "na kɔ ho ntuae, na tow ho aban, na hɔr ho pempe; kyer ho nsera so hyia, na fa afasubu ndadzefir sisi ho hyia.", ""
"EZK.4.3", "Na ɔwoara fa dadzesɛn, na fa si dadze fasu wɔ ɔwo na kurow no ntamu: na fa w’enyi si do, na wɔbɔkɔ no ntuae, na akɔ no ntuae. Iyi bɛyɛ sɛnkyerɛdze ama Israel fifo.", ""
"EZK.4.4", "Bio so, da w’abankum do, na fa Israel fi emumuyɛ to do: nda dodow a ebɛda do no, ebɔsoa hɔn emumuyɛ.", ""
"EZK.4.5", "Na mahyɛ hɔn emumuyɛ mfe no dɛ ɔnyɛ nda dodow mma wo, mekyerɛ nda ahaasa eduokron: mbrɛ ebɔsoa Israel fi emumuyɛ nye no.", ""
"EZK.4.6", "Na bio, sɛ iwie iyinom yɛ a, da w’enyimfa do, na asoa Juda fi emumuyɛ: adaduanan, da kor afe kor, na mahyɛ ama wo.", ""
"EZK.4.7", "Na fa w’enyi si Jerusalɛm ntuae no do, wo nsa ho nda hɔ; na hyɛ nkɔm gu no do.", ""
"EZK.4.8", "Na, hwɛ, medze nkyehoma bogu wo do, na irunntwa adafa, dze ekodu dɛ ewie wo ntuae nda no ana.", ""
"EZK.4.9", "Na woara fa ewifua pa, na atoko, na eduwa, na asaduwa, na ewifua, na ewi, na fa hyɛ ɔsan kor mu, na fa yɛ edziban; nda dodow a edze bɛda w’afa no, mekyerɛ nda ahaasa eduokron, na ibedzi.", ""
"EZK.4.10", "Na w’edziban a ibedzi no ne nkerii bɛyɛ dwetɛbona eduonu da kor: ofi ber to ber na dzi.", ""
"EZK.4.11", "Na nom nsu a woesusu no susutoa nkyɛmu esia mu kor: ofi ber to ber na nom.", ""
"EZK.4.12", "Na dzi no dɛ atoko tatar, na fa egyanan a ofi nyimpa mu no to hɔn enyim.", ""
"EZK.4.13", "Na EWURADZE see dɛ, Dɛmara so na Israelmba bedzi hɔn edziban a ɔyɛ nkɔw, wɔ amanaman a mebɛpam hɔn makɔ hɔ no mu.", ""
"EZK.4.14", "Nna mesee dɛ, Ao, EWURADZE Nyankopɔn! Hwɛ, me kra ho nnguu fi: na ofitsi me mbafose besi sesei minndzii dza noara oewu, anaa mbowa atsetse no da; eso nam a wokyir bi nnkɔr m’anomu pɛn.", ""
"EZK.4.15", "Nna ɔsee me dɛ, Hwɛ, medze nantwibin mahyɛ wo nyimpa efikyir ananmu, na esiesie w’edziban wɔ do.", ""
"EZK.4.16", "Bio so, ɔsee me dɛ, Onyimpa ba, hwɛ, mubobu edziban dua mu wɔ Jerusalɛm: na wobedzi edziban nkerii do, na nhwɛyie mu; na wɔbɔnom nsu nsusui do, na ahobow mu:", ""
"EZK.4.17", "ama woeehia edziban na nsu, na hɔn ho abow hɔn, ɔbaako wɔ ɔbaako ho, na wɔaafomfɔn wɔ hɔn emumuyɛ mu.", ""
