"EZK.6.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.6.2", "Onyimpa ba, ma w’enyi ntsim Israel mbepɔw do, na hyɛ nkɔm kyerɛ hɔn,", ""
"EZK.6.3", "na se dɛ, Hom Israel mbepɔw, hom ntsie EWURADZE Nyankopɔn n’asɛm. Mbrɛ EWURADZE Nyankopɔn ka kyerɛ mbepɔw na nkokwaa, esuka na mbɔnsa no nye yi: Hwɛ, emi, emi mara, medze afona bɛba hom do, na masɛɛ hom sorɔnsorɔmbea.", ""
"EZK.6.4", "Na hom afɔrmbukyia bɛdan afo, na hom ewia ehonyi ebubu: na mobɔtotow hom atɔfoe no egu hom abosom enyim.", ""
"EZK.6.5", "Na medze Israelmba hɔn efun bogugu hɔn abosom enyim; na medze hom mbiew apetse hom afɔrmbukyia ho ehyia.", ""
"EZK.6.6", "Hom tsenabea nyinara mu nkurow no bɔbobɔ, na sorɔnsorɔmbea no ayɛ afoafo; ama hom afɔrmbukyia eedwurudwuruw, na wɔaayɛ afoafo, na hom abosom eebubu abobɔ adze, na woeetwitwa hom ewia ehonyi no egugu famu, na hom ndwuma no wɔaasɛɛ no.", ""
"EZK.6.7", "Na atɔfo no bɔhwehwe ase wɔ hom mu, na hom ehu dɛ emi nye EWURADZE.", ""
"EZK.6.8", "Naaso mibegyaa nkaase, wɔ dɛ hom benya obinom a wobefi afona nsa wɔ amanaman mu, ber a wɔbɔbɔ hom apetse nkurow nkurow do no.", ""
"EZK.6.9", "Na hom mu hɔn a wobefi nsa no wɔbɛkaa me wɔ amanaman a wɔbɔsoa hɔn akɔ hɔ ndɔmmum mu no mu, mbrɛ woedua na wɔdze hɔn ndwamanyɛ akoma a atwe efi mo ho na enyiwa a odzi hɔn abosom ekyir yɛ ndwamandze no egura me: na hɔnankasa hɔn ho bɛyɛ hɔn nkɔw wɔ hɔnankasa hɔn enyiwa do ɔnam mbusu a wɔabɔ wɔ hɔn ekyiwadze nyinara mu no ntsi.", ""
"EZK.6.10", "Na wobohu dɛ emi nye EWURADZE: nnyɛ gyan ara na maka dɛ mobɔbɔ hɔn mbusu yi.", ""
"EZK.6.11", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Bɔ wo nsamu, na fa w’anan pempem famu, na se dɛ, Ao, osian Israelfi ho ekyiwadze no mbusu ntsi a: na wɔbɔtotɔ afona, kɔm, na yardɔm ano.", ""
"EZK.6.12", "Nyia ɔwɔ ekyirekyir no bowu yardɔm ano; na nyia ɔbɛn bɔtɔ afona ano: na nyia ɔbɛka ma wɔakɔ no ntuae no, obowu kɔm ano: mbrɛ mibesi mewie m’ebufuhyew wɔ hɔn do nye no.", ""
"EZK.6.13", "Na hom bohu dɛ emi nye EWURADZE, ber a hɔn atɔfoe bɛdeda hɔn abosom ntamu etwa hɔn afɔrmbukyia ho ehyia no, wɔ koko tsentsen biara do wɔ mbepɔw etsifi nyinara, na ndua ebun ebun biara ase, na esudur kusuww biara ase, beebi mbrɛ wɔhyew eduhuam ma hɔn abosom no.", ""
"EZK.6.14", "Na mebɛtsen me nsa wɔ hɔn do, na mama asaase no ayɛ afo na ɔabɔ, ofitsi sar a odzi kɔ Dibla afamu no do, wɔ hɔn tsenambea nyinara do; na wobohu dɛ emi nye EWURADZE.", ""
