"EZK.7.1", "Bio so EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.7.2", "Na ɔwo, onyimpa ba, mbrɛ EWURADZE Nyankopɔn se Israel asaase no nye yi, Ewiei nye yi! Ewiei no aba asaase no ne mfɛndzanan no do.", ""
"EZK.7.3", "Afei na ewiei no aba wo do, na mobɔsoma m'ebufuw ma ɔaba wo do, na mebu wo atsɛn dɛ mbrɛ w'akwan no tse; na medze w'ekyiwadze nyina bɛba wo do.", ""
"EZK.7.4", "Na m'enyiwa rennkam wo do, eso murunnhu mbɔbɔr: na medze w'akwan bɛba wo do, na w'ekyiwadze aka wo mu: Na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.7.5", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Mbusu bi, mbusu kor pɛ bi; hwɛ, ɔreba.", ""
"EZK.7.6", "Ewiei aba, ewiei no aba, ɔasoɛr wo do; hwɛ, ɔreba.", ""
"EZK.7.7", "Asaase no do nkorɔfo, w'atsɛmbu aba wo do: ber no edu, da no abɛn; weɔɔweɔɔyɛ da a, na nnyɛ enyigye esebɔ wɔ mbepɔw no do bi a.", ""
"EZK.7.8", "Afei ɔrennkyɛr na mehue m'ebufuhyew egu wo do, na mewie m'ebufuw wɔ wo do mebu wo atsɛn dɛ mbrɛ w'akwan tse; na medze w'ekyiwadze nyina aba wo do.", ""
"EZK.7.9", "Na m'enyi rennkam, eso murunnhu mbɔbɔr: mobɔtwe w'aso, dɛ mbrɛ w'akwan tse, na w'ekyiwadze aka wo mu; Na hom bohu dɛ emi EWURADZE na mobɔbɔ.", ""
"EZK.7.10", "Hwɛ, da no, hwɛ, ɔreba! W'atsɛmbu efir edzi; abaa no abɔ nhyiren, ntsɛn abɔ nkukuduuduw.", ""
"EZK.7.11", "Akakabensɛm asoɛr ayɛ emumuyɛ abaa; hɔnara o, hɔn nyimpadodow o, hɔn ahonya o, hɔn mu biara rennka: eso abɔsoyɛ biara rennka hɔn mu.", ""
"EZK.7.12", "Ber no aba, da no rotwe bɛn: mma adzetɔnyi nndzi ehurusi, eso mma adzetɔnnyi nndzi nkɔmbɔ: osiandɛ ebufuw aba ne nyimpadodow no nyinara do.", ""
"EZK.7.13", "Na adzetɔnnyi rennsan nnkɔ dza wɔatɔn no ho, kaansa wɔda ho tse ase mpo a: na enyido adzehu no ɔfa ne nyimpadodow no nyinara ho, obiara rennsan; eso obiara rennhyɛ noho dzen wɔ ne bra n'emumuyɛ mu.", ""
"EZK.7.14", "Wɔabɔ akasamu no mu, na woesiesie adze nyina; naaso obiara nnkɔ ɔsa: osiandɛ m'ebufuw wɔ ne nyimpadodow no nyinara do.", ""
"EZK.7.15", "Afona wɔ mfikyir, na yardɔm na kɔm wɔ kurow mu: nyia ɔwɔ haban mu no obowu afona ano; na nyia ɔwɔ kurow mu no, kɔm na yardɔm bɛmen no.", ""
"EZK.7.16", "Na sɛ hɔn mu bi fi mu guan a, wobohu hɔn wɔ mbepɔw do, na wɔayɛ dɛ mbɔnsa mu mbubur, hɔn nyinara ridzi awerɛhow, obiara wɔ n'emumuyɛ mu.", ""
"EZK.7.17", "Nsa nyinara mu bɔgogow, na anankoroma nyinara ayeyɛ mberɛw dɛ nsu.", ""
"EZK.7.18", "Wobofurafura eyitam so, na nketsenketse akyekyer hɔn; na enyim nyinara bogugu ase, na hɔn etsir nyinara do apepa.", ""
"EZK.7.19", "Wɔbɔtow hɔn dwetɛ egu abrɔn mu, na hɔn sikakɔkɔɔ ayɛ dɛ efifidze; hɔn dwetɛ na hɔn sika runntum nngye hɔn wɔ EWURADZE n'ebufuw da no mu; wɔnnkɛmee hɔn akra, eso wɔrennhyehyɛ hɔn nson amaama: osiandɛ ɔno na ɔayɛ hɔn emumuyɛ ho fintsidua.", ""
"EZK.7.20", "Hɔn ahokadze ne fɛɛfɛw no dze, wɔdze dzii abakombasɛm: na wɔyɛɛ hɔn ekyiwadze na hɔn atantandze no mfonyi no wɔ mu: dɛm ntsi na mama adan hɔn efifidze no.", ""
"EZK.7.21", "Na medze bɛhyɛ ananaben nsa dɛ afonam, na asaase no do emumuyɛfo no nsa dɛ asadze; na wobogu ho fi.", ""
"EZK.7.22", "Mebɛdan m'enyim so efi hɔn do, na woegu mo sumabea ho fi: na edwotwafo bɛhɛn mu na wobogu ho fi.", ""
"EZK.7.23", "Yɛ nkɔnsɔnkɔnsɔn no: na asaase no do ayɛ ewudzi ma, na kurow no mu ayɛ akakabensɛm ma.", ""
"EZK.7.24", "Dɛm ntsi medze amanaman mu abɔn no bɛba, ma wɔabɛfa hɔn efiefi no ayɛ hɔndze: mebɛma ahoɔdzenfo nkontompɔ so abɔ adze; na wobogu hɔn krɔnkrɔn mbea so ho fi.", ""
"EZK.7.25", "Sɛ ɔsɛɛ ba a, wɔbɔhwehwɛ asomdwee, naaso wonnkenya bi.", ""
"EZK.7.26", "Mbusu bɔbɔ mbusu do, na huhuhuhu abɔ huhuhuhu do; na wɔbɔhwehwɛ nkɔnhyɛnyi hɔ enyido adzehu; na mbra no bɛhera efi asɔfo no ho, na apam efi mpanyimfo no ho.", ""
"EZK.7.27", "Ɔhen begyam, na bapɔmba no efura abagura, na asaase no do nkorɔfo no hɔn abaw mu etu: na mebɛyɛ hɔn dɛ mbrɛ hɔn kwan tse, na mebu hɔn atsɛn dɛ mbrɛ ɔfata hɔn; na wobohu dɛ emi nye EWURADZE.", ""
