"EZK.12.1", "EWURADZE n’asɛm baa mo hɔ so, dɛ,", ""
"EZK.12.2", "Onyimpa ba, etse etuatsew fi mu; hɔn a wɔwɔ enyi a wɔdze hu, na wonnhu; wɔwɔ aso a wɔdze tse, na wɔnntse; osiandɛ wɔyɛ etuatsew fi.", "#Isa 6.9, 10; Jer 5.21; Mar 8.18"
"EZK.12.3", "Dɛm ntsi ɔwo, onyimpa ba, siesie tukɔr ndzɛmba na tu ewiaber kɔ wɔ hɔn enyim; na tu fi mbrɛ ewɔ no kɔ beebi fofor wɔ hɔn enyim: bi a wɔbɔdwen ho, kaansa wɔyɛ etuatsew fi mpo a.", ""
"EZK.12.4", "Na yi wo ndzɛmba ewiaber fir edzi wɔ hɔn enyim, dɛ tukɔr ndzɛmba: na ɔwoara dze, si mu ewimbir wɔ hɔn enyim, dɛ aber a nkorɔfo rutu akɔ ndɔmmum.", ""
"EZK.12.5", "Bɔr fasu mu wɔ hɔn enyim, na soa adze dua mu pue.", ""
"EZK.12.6", "Bɔ no akɔnkɔn wɔ hɔn enyim, na fa dua sum mu fir edzi; kata w’enyim mma eennhu daadze: na medze wo mayɛ asɛnkyerɛdze mama Israelmba.", ""
"EZK.12.7", "Na meyɛɛ dɛ mbrɛ wɔhyɛɛ me no: medze me ndzɛmba fiir edzi ewiaber, dɛ tukɔr ndzɛmba, na ewimbir no, medze me nsa bɔɔr fasu no mu; medze nam sum mu fiir edzi, na mobɔɔ no akɔnkɔn wɔ hɔn enyim.", ""
"EZK.12.8", "Na adze kyee no, EWURADZE n’asɛm baa mo hɔ dɛ,", ""
"EZK.12.9", "Onyimpa ba, aso Israelmba, etuatsewfo no, nnsee wo dɛ, Ereyɛ dɛn nye yi?", ""
"EZK.12.10", "Se hɔn dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Adzesoa yi fi ɔhen a ɔwɔ Jerusalɛm no ho, na Israelmba nyina a wɔwɔ hɔn mu no ho.", ""
"EZK.12.11", "Ka dɛ, Emi nye hom asɛnkyerɛdze: dɛ mbrɛ mayɛ no, dɛmara na wɔdze bɛyɛ hɔn: wobotu akɔ ndɔmmum.", ""
"EZK.12.12", "Na ɔhen a ɔwɔ hɔn mu no bɔsoa adze wɔ no kɔn ho wɔ sum mu, na oefir edzi: wɔbɔbɔr fasu mu na wɔdze edua mu efir edzi: ɔbɛkata n’enyim, osiandɛ ɔremmfa n’enyiwa nnhu famu.", ""
"EZK.12.13", "Mobɔtow mo boa so megu no do, na wɔapa no wɔ m’efir mu: na medze no bɛba Babilɔn wɔ Kaldeafo asaase do; naaso orunnhu, kaansa hɔ na obowu mpo a.", "#2 Ahe 25.7; Jer 52.11"
"EZK.12.14", "Na hɔn a woetwa no ho ehyia dɛ wɔbɔboa no nyina, na n’asafo nyina, mobɔbɔ hɔn apetse mframa nyina mu; na mobɔtwe afona no etsiw hɔn.", ""
"EZK.12.15", "Na wobohu dɛ emi nye EWURADZE, ber a mobɔhotse amanaman mu, na mabɔ hɔn apetse nkurow nkurow do.", ""
"EZK.12.16", "Na mibegyaa hɔn mu nyimpa kumaabi efi afona, ɔkɔm na yardɔm nsa; ama waaka hɔn ekyiwadze nyina akyerɛ wɔ amanaman a wɔbɛba mu no mu; na wobohu dɛ emi nye EWURADZE.", ""
"EZK.12.17", "Bio so EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.12.18", "Onyimpa ba, fa ahohim dzi w’edziban, na fa ahopopo na nhwɛyie nom wo nsu;", ""
"EZK.12.19", "na se asaase no do nkorɔfo no dɛ, Mbrɛ EWURADZE Nyankopɔn se wɔ Jerusalɛmmba, na Israel asaase ho nye yi: Wɔdze nhwɛyie bedzi hɔn edziban, na wɔdze ahobow anom hɔn nsu, ama n’asaase ayɛ afo wɔ dza ɔwɔ mu nyinara ho, osian hɔn a wɔtse do nyina hɔn akakabensɛm ntsi.", ""
"EZK.12.20", "Na nkurow a wɔtsetse do nyina bɔbɔ, na asaase no adan afo; na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.12.21", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.12.22", "Onyimpa ba, ebɛn abɛbusɛm nye yi a hom wowɔ no Israel asaase do dɛ, Nda mu atwe na enyido adzehu biara yɛ kwa yi?", ""
"EZK.12.23", "Dɛm ntsi ka kyerɛ hɔn dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Mebɛma abɛbusɛm yi abɔ adze, na worummbu no dɛ bɛ bio wɔ Israel; na se hɔn dɛ, Nda no na enyido adzehu nyina no nsunsuando abɛn.", ""
"EZK.12.24", "Na enyido adzehu gyangyan anaa adzɛfɛdzɛfɛw mbusu nkɔnhyɛ biara remmba Israel fi mu ara bio.", ""
"EZK.12.25", "Na emi nye EWURADZE; mebɛkasa, na asɛm a mebɛka no, ɔbɛba mu; wɔronntwe nnkɔ ekyir bio: na, etuatsew fi e, hom nda mu na mebɛka asɛm no na mayɛ, EWURADZE na ɔse.", ""
"EZK.12.26", "EWURADZE n’asɛm baa mo hɔ bio dɛ,", ""
"EZK.12.27", "Onyimpa ba, hwɛ, hɔn a wɔwɔ Israel fie no se dɛ, Enyido adzehu a ohu no ayɛ nda pii a ɔreba nedze, na ɔhyɛ mber a ɔwɔ ekyirekyir ho nkɔm.", ""
"EZK.12.28", "Dɛm ntsi se hɔn dɛ, Mbrɛ EWURADZE Nyankopɔn se nye yi; Wɔronntwe me nsɛm mu biara nnkɔ ekyir bio, na asɛm a mebɛka no, ɔbɛba mu, EWURADZE Nyankopɔn na ɔse.", ""
