"EZK.17.1", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.17.2", "Onyimpa ba, ma abrɔme bi, na bu bɛ bi kyerɛ Israelmba;", ""
"EZK.17.3", "na se dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ɔkɔr kɛse bi, ne ntsaban akɛse akɛse, ne ntsaban ano nsorɔnsorɔmm, ntɛkyerɛ ntokowa ntokowa ayɛ no ho ma, baa Lebanon. Ɔbɛgyee nkyindur ndua etsifi,", ""
"EZK.17.4", "ɔpempaan no nkɔn mu mfefɛwee afor no, na ɔdze kɔr eguadzi asaase bi do; ɔdze kesii eguadzifo kurow bi mu.", ""
"EZK.17.5", "Ɔfaa asaase no do aba no so bi, na ɔdze kɛtsɛɛw asaaseber mu; ɔdze sii esu pii ho; ɔtsɛɛw no dɛ esukɔndo dua.", ""
"EZK.17.6", "Na onyinii, na ɔbɛyɛɛ wenyindua tantam, na mbom tsiatsiaba a n'abaw tsentsen kɔ no do, na no ndwow wɔ n'ase: nna ɔbɛyɛɛ wenyindua, na ɔtotoo abaw, na ofifiir ahaban.", ""
"EZK.17.7", "Ɔkɔr kɛse bi so wɔ hɔ a ne ntsaban akɛse akɛse na ne ntɛkyerɛ pii: na, hwɛ, wenyindua yi fi n'akɔfi do konkoom no ndwow kɔr no do, na ɔtotoo n'abaw kɔr no do, ama oeegugu do.", ""
"EZK.17.8", "Wɔtsɛɛw no asaase pa do wɔ esu pii nkyɛn, ama ɔaatoto abaw, na ɔaasow nduadzewa, na ɔaayɛ wenyindua fɛɛfɛw.", ""
"EZK.17.9", "Ka dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Aso obowie yie? Aso onnkotutu no ndwow, na oetwitwa no nduadzewa, ama ɔaakyenkyen; ama n'ahaban momon a ɔfefɛw nyina aakyenkyen; dɛ ɔnndze ahoɔdzen kɛse anaa nyimpa pii a wɔdze botutu no efi no ndwow ase.", ""
"EZK.17.10", "Nyew, hwɛ, woenya atsɛw yi, aso obowie yie? Aso boka mframa ka no a, ɔnnkɛkyenkyen koraa? Ɔbɛkyenkyen wɔ akɔfi a ofifiir wɔ do no do.", ""
"EZK.17.11", "Nkyii so EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.17.12", "Afei ka kyerɛ etuatsew fi no dɛ, Aso hom nnyim dza ndzɛmba yinom kyerɛ? Ka kyerɛ hɔn dɛ, Hwɛ, Babilɔnhen baa Jerusalɛm, na ɔbɛfaa no mu hen, na no mu mbapɔmba, na ɔdze hɔn baa ne nkyɛn wɔ Babilɔn;", "#2 Ahe 24.15-20; 2 Mbe 36.10-13"
"EZK.17.13", "na ɔfaa adehye no bi, na ɔnye no dzii ahyɛmu; ɔmaa odzii nsew so, na ɔfaa asaase no do akatakyi no kɔree:", ""
"EZK.17.14", "ma ahendzi no aabrɛ adze, na ɔaamma noho do, na mbom dɛ obedzi n'ahyɛmu no do na oeegyina.", ""
"EZK.17.15", "Na ɔtseew no do etua tutuu ahembɔfo ma wɔkɔr Egypt, ama wɔaama no mpɔnkɔ na nyimpa pii. Aso obowie yie? Aso nyia ɔyɛ ndzɛmba yinom obefi nsa? Aso ɔbɔto ahyɛmu no, naaso oefi nsa?", ""
"EZK.17.16", "Dɛ metse ase yi, EWURADZE Nyankopɔn na ɔse, ampaara beebi mbrɛ ɔhen a ɔdze no dzii hen a obuu ne ntam enyimtsia, na ɔtoo n'ahyɛmu no ɔtse no, ne nkyɛn hɔ ara wɔ Babilɔn na obowu.", ""
"EZK.17.17", "Eso Farao nye no dɔm akatakyi na n'asafo akɛse rinndzi mma no wɔ ɔsa no mu, ber a wɔbɔtotow mpampi na woesisi aban, dɛ wotwitwa nyimpa pii egu.", ""
"EZK.17.18", "Osiandɛ oebu ntam no enyimtsia dɛ ɔatoto ahyɛmudzi no ano; na hwɛ, ɔdze ne nsa ama, naaso na ɔayɛ ndzɛmba yinom nyina, onnkefi nsa.", ""
"EZK.17.19", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Dɛ metse ase yi, ampaara me ntam no a oebu no enyimtsia, na m'ahyɛdze no a ɔatoto ano no, medze mubobua noara n'etsifi.", ""
"EZK.17.20", "Na medze mo boa mebɛtserɛw no do, na wɔapa no wɔ m'efir mu, na medze no aba Babilɔn, na menye no eyi atsɛn wɔ hɔ wɔ ne mbrato a ɔato etsia me no.", ""
"EZK.17.21", "Na n'eguamfo nyinara a wɔwɔ n'asafo asafo mu nyinara bɔtotɔ wɔ afona ano, na hɔn a wɔbɛka no wɔbɔbɔ hɔn apetse mframa nyina mu, na hom bohu dɛ emi EWURADZE mara na maka.", ""
"EZK.17.22", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Mebɛfa nkyindur ndua a ɔkrɔn no nkɔn mu bi so, na medze atsɛw; mebɛpan no nkɔn mu afɔr mfefɛwee fɛɛfɛw no bi, na mara medze akɛtsɛw wɔ bepɔw a ɔwar na ɔkrɔn no no do.", ""
"EZK.17.23", "Israel sorɔnsorɔmbea bepɔw no do na mebɛtsɛw no: ama ɔaatoto abaw, na ɔasow nduaba, na ɔayɛ nkyindur ndua fɛɛfɛw. N'ase na nnoma nyina na ntɛkyerɛmbowa nyina bɛgyegye; no ndubaa no nwinwin mu na wɔbɛgyegye.", ""
"EZK.17.24", "Na haban mu ndua nyina bohu dɛ emi nye EWURADZE. Mebrɛ dua tsentsen adze, na mema dua a ɔwɔ famu no krɔn, na mema dua momon kyenkyen, na mema dua wui yɛ prɔmprɔm: emi mara EWURADZE na mase na mebɛyɛ so.", ""
