"EZK.19.1", "Na ɔwo dze, ma sukwadwom do wɔ Israel mbapɔmba ho,", ""
"EZK.19.2", "na se dɛ, Mbrɛ wo na si yɛ gyataber: wɔ ngyatanyin ntamu a! Ɔnyɛn ne mba wɔ ngyatafɔr mu.", ""
"EZK.19.3", "Na ɔnyɛɛn ne mba no mu kor; ɔbɛyɛɛ gyatafɔr: na osuasuaa ahayɛ, na ɔmemeen nyimpa.", ""
"EZK.19.4", "Amanaman so tsee ne nka; wɔkyeer no wɔ hɔn amona mu: na wɔdze nkwaba twee no kɔr Egypt asaase do.", ""
"EZK.19.5", "Afei ber a ohun dɛ ɔatweɔn atweɔn, na n'enyidado apa no, nna ɔfaa ne mba no mu baako so, na ɔyɛɛ no gyatafɔr.", ""
"EZK.19.6", "Na ɔnantsenantseew ngyata mu, na ɔbɛyɛɛ gyatafɔr: na osuasuaa ahayɛ, ɔmemeen nyimpa.", ""
"EZK.19.7", "Na ɔmaa hɔn ekunafo yɛ pii; na ɔbobɔɔ hɔn nkurow, na asaase no, nye dza ɔwɔ mu nyina ho boow hɔn, osian no pɔw ne dede ntsi.", ""
"EZK.19.8", "Nna amanaman no fi amantɔw no mu kae kuae botwae yeer no mbea nyinara: na wɔdze hɔn boa tserɛɛw hɔn do; wɔkyeer no wɔ hɔn mona no mu.", ""
"EZK.19.9", "Na wɔdze nkɔnsɔnkɔnsɔn too no na wɔdze no too buw mu, na wɔdze no kɛmaa Babilɔnhen; wɔdze no kɔtoo aban dzendzen mu, amma wɔaanntse ne ndze bio wɔ Israel mbepɔw do.", ""
"EZK.19.10", "Nkyɛ wo na tse dɛ wenyindua, wɔ wo bɔgyaa no a wɔtsɛɛw no esu ho: no nsowee na n'abaw yeyɛɛ yie wɔ esu pii no ntsi.", ""
"EZK.19.11", "Na onyaa mbaa dzendzen dze yɛɛ nhempoma maa hɔn a wodzi mpanyin, na hɔn tsentsen kɔree kodur nkorbata kusuww no mu, na wohun no no krɔn mu, ɔnye n'abaw no dodow mu.", ""
"EZK.19.12", "Naaso wɔpaan no ebufuhyew mu, wɔtoow no kyeen famu, na boka mframa no kyenkyeen no no nsowee no poe: ne mbaa dzendzen no bubui na ɔkyenkyenee: gya no hyeew no.", ""
"EZK.19.13", "Na afei wɔatsɛw no wɔ sar do, wɔ asaase kɛsɛɛ a nsu nnyi do no do.", ""
"EZK.19.14", "Na gya efi n'abaw no mu, ɔahyew n'abaw na no nsowee, ma abaa a ɔyɛ dzen a wɔdze yɛ ahempoma a wɔdze dzi panyin nnyi no mu hɔ bio. Osukwadwom nye yi, na abɛyɛ osukwadwom.", ""
