"EZK.22.1", "EWURADZE n'asɛm baa mo hɔ bio dɛ,", ""
"EZK.22.2", "Na ɔwo, onyimpa ba, aso ibobu atsɛn, aso ibobu bɔgyakafo kurow no atsɛn? Nna ma onhu n'ekyiwadze no nyinara.", ""
"EZK.22.3", "Na se dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Kurow a ɔka bɔgya gu wɔ ne finimfin ama ne ber edu, na ɔyɛ abosom tsia noho dze gu noho fi!", ""
"EZK.22.4", "Wo bɔgyaa a aka egu no mu na idzi fɔ, na w'abosom a ayɛ no mu na edze egu woho fi; na ama wo nda no abɛn, na edu wo mfe no mpo ho: dɛm ntsi na mayɛ wo enyimguasedze ama amanaman, na atwetwesidze ama nkurow nkurow nyina.", ""
"EZK.22.5", "Hɔn a wɔbɛn na hɔn a wɔnye wo ntamu twe besi wo atwetwe, ɔwo a wo dzin asɛɛ na weɔɔweɔɔyɛ ahyɛ wo ma.", ""
"EZK.22.6", "Hwɛ, Israel mbapɔmba no, obiara dɛ mbrɛ no tum tse, abɛka bɔgya egu wɔ hom mu.", ""
"EZK.22.7", "Wo mu na wɔayeyaw egya na na; wo mu na woedzi ɔhɔho emim: wo mu na wɔafom egyankaba na okunafo.", "#Eks 20.12; Deut 5.16; Eks 22.21, 22; Deut 24.17"
"EZK.22.8", "Ɔwo ebu m'akrɔnkrɔndze enyimtsia, na egu m'ahomgyenda ho fi.", "#Lev 19.30; 26.2"
"EZK.22.9", "Nkorɔfo a wɔkasa sɛɛ obi dzin no aba hom mu abɛka bɔgya egu: na wo mu na woedzidzi mbepɔw do: wo finimfin na wɔayɛ ndwamandze.", ""
"EZK.22.10", "Wo mu na wɔapanta hɔn egyanom adagyaw do: wo mu na wɔabrɛ nyia no ho ekum wɔ n'asabu mu no adze.", "#Lev 18.7-20"
"EZK.22.11", "Na obi nye ne nyɛnko ne yer ayɛ atantandze; na obi so dze ndwamandze egu n'asew ho fi; na obi so abrɛ n'akyerɛbaa, n'egya ne babaa adze wɔ wo mu.", ""
"EZK.22.12", "Wo mu na woedzidzi mboaba dɛ wɔbɛka bɔgya egu; ɔwo esi akaperɛ na agye nsiho, na edze nhyɛdo enya w'amanyimfo ho mfaso edzifodze mu, na wo werɛ efir emi, EWURADZE Nyankopɔn na ɔse.", "#Eks 23.8; Deut 16.19; Eks 22.25; Lev 25.36, 37; Deut 23.19"
"EZK.22.13", "Dɛm ntsi, hwɛ, maprapra me nsamu wɔ w'enyiber mfaso a edzi no ho, na wo bɔgyaa a aba mu no ho.", ""
"EZK.22.14", "Aso w'akoma botum sɔw, anaadɛ aso wo nsamu bɛyɛ dzen, wɔ da a menye wo bedzi no? Emi EWURADZE na maka, na mebɛyɛ.", ""
"EZK.22.15", "Na mobɔbɔ wo ahotse amanaman mu, na mabɔ wo apetse wɔ nkurow nkurow do; na mebɛhyew wo ho fi mefi wo ho.", ""
"EZK.22.16", "Na wo ho bogu fi wɔ amanaman enyim; na ibohu dɛ emi nye EWURADZE.", ""
"EZK.22.17", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
