"EZK.23.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.23.2", "Onyimpa ba, mbaa beenu, na kor bi mba wɔ hɔ:", ""
"EZK.23.3", "na wɔgogoor ndwamangor wɔ Egypt; wɔgogoor ndwamangor wɔ hɔn mbofrabermu: hɔ na womiamiaa hɔn enumfo, na hɔ na wopirapiraa hɔn mbaabun mu mpokuwa.", ""
"EZK.23.4", "Na hɔn edzin dze Ohola panyin no, na n'akyerɛbaa Oholiba: na wɔbɛyɛɛ medze, na wɔwoo mbabanyin na mbabaa. Na hɔn edzin no nye yi, Samaria nye Ohola, na Jerusalɛm nye Oholiba.", ""
"EZK.23.5", "Na Ohola kɔgoor ndwamangor ber a ɔyɛ medze; na n'enyi hyeew n'adɔfo ho, n'amanyimfo Asiriafo no ho,", ""
"EZK.23.6", "hɔn a wɔhyehyɛ bibir ntar, ambradofo na mpanyin, hɔn nyinara mberantsɛ a hɔn ho yɛ fɛw a, mpɔnkɔdofo a wɔtsetse mpɔnkɔ do.", ""
"EZK.23.7", "Na ɔdze no ndwamanyɛ kɔr hɔn do, hɔn nyinara Asiriafo mu mbɛtseefo a: na hɔn mu biara a n'enyi hyeew no ho no, ɔdze hɔn abosom nyina guu no ho fi.", ""
"EZK.23.8", "Eso onngyaa no ndwamanyɛ no ofitsi Egypt nda no mu; na ne nkataasiaber mu na wɔnye no dae, na wopiraa ne mbaabun mu mpokuwa: na wohuee hɔn ndwamanyɛ guu no do.", ""
"EZK.23.9", "Dɛm ntsi miyii no hyɛɛ n'adɔfo nsa, Asiriafo a n'enyi hyeew hɔn ho no nsa.", ""
"EZK.23.10", "Woyinom na woyii n'adagyaw too gua: wɔfaa ne mbabanyin na ne mbabaa, na ɔnoara wɔdze afona kum no: na ɔbɛyɛɛ fen wɔ mbaa mu; na wɔyɛɛ no n'atsɛmbudze.", ""
"EZK.23.11", "Na n'akyerɛbaa Oholiba hun iyi, naaso ɔprɔwee wɔ n'enyihyew mu kɛse seen ɔno, na no ndwamanyɛ a ɔdɔɔ so seen n'akyerɛbaa no ndwamanyɛ no mu.", ""
"EZK.23.12", "N'enyi hyeew Asiriafo ho, ambradofo na mpanyin, n'amanyimfo a woewuna ntar gɔsɔɔ, mpɔnkɔdofo a wɔtsetse mpɔnkɔ do, hɔn nyinara mberantsɛ a hɔn ho yɛ fɛw a.", ""
"EZK.23.13", "Na muhun dɛ no ho egu fi; hɔn beenu no faa kwan kor do.", ""
"EZK.23.14", "Na ɔmaa no ndwamanyɛ dɔɔ so; na ohun mbarimba a wɔasensan hɔn mfonyi wɔ fasu ho, Kaldeafo ehonyi a wɔdze edur memen asensan,", ""
"EZK.23.15", "wɔdze abɔdo abobɔ hɔn asen, akyekyertsir a wɔahyɛ no edur sensɛn hɔn etsir ho, ehwɛ hɔn nyina a wɔyɛ dɛ ahenmba, dɛ mbrɛ Babilɔnfo a wɔwɔ hɔn awobea Kaldea no wɔtse no.", ""
"EZK.23.16", "Na n'enyi bɔɔ hɔn do ara pɛ na n'enyi hyeew hɔn ho, na ɔsomaa abɔfo kɔr hɔn nkyɛn wɔ Kaldea.", ""
"EZK.23.17", "Na Babilɔnfo no baa ne nkyɛn nye no bɛdaa dɔ mpa do, na wɔdze hɔn ndwamanyɛ guu no ho fi, na ɔnye hɔn guu noho fi, na ne kra tseew noho fii hɔn nkyɛn.", ""
