"EZK.25.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", "#Jer 49.1-6; Eze 21.28-32; Amos 1.13-15; Zef 2.8-11"
"EZK.25.2", "Onyimpa ba, fa w’enyi si Ammonmba do, na hyɛ nkɔm gu hɔn do:", ""
"EZK.25.3", "na se Ammonmba dɛ, Hom ntsie EWURADZE Nyankopɔn n’asɛm; Mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ esee dɛ, Yɛɛ, dze tsiaa mo krɔnkrɔnbea, ber a wohuraa ho no; na edze tsiaa Israel asaase, ber a wɔyɛɛ no amamfo no; na edze tsiaa Juda fifo, ber a wɔkɔr ndɔmmum ntsi:", ""
"EZK.25.4", "dɛm ntsi hwɛ, mibeyi wo ama bokamba ayɛ hɔn enyadze, na wɔbɛkyekyer hɔn nseraban wɔ wo mu, na woesisi hɔn tsenambea wɔ wo mu; wobedzi w’eduaba, na wɔanom w’enumfonsu.", ""
"EZK.25.5", "Na medze Rabaa bɛyɛ efumpɔnkɔ dan, na Ammonmba ayɛ bea a nguankuw butubutuw hɔ; na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.25.6", "Na mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ abɔ wo nsamu, na edze w’anan apempem famu, na edze wo kra mu ntsɛn nyina edzi eduwa wɔ Israel asaase ho ntsi;", ""
"EZK.25.7", "dɛm ntsi hwɛ, matsen me nsa wɔ wo do, na mibeyi wo ayɛ afonam ama amanaman; na mubotwa wo efi aman mu, na mama ahera efi nkurow nkurow mu; mebɛsɛɛ wo; na ibohu dɛ emi nye EWURADZE.", ""
"EZK.25.8", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ Moab na Seir ka dɛ, Hwɛ, Judafo ayɛ dɛ amanaman nyinara ntsi;", "#Isa 15.1—16.14; 25.10-12; Jer 48.1-47; Amos 2.1-3; Zef 2.8-11"
"EZK.25.9", "dɛm ntsi hwɛ, mubobue Moab nkyɛnmu efi nkurow ho, efi no nkurow a ɔdeda n’ahe do no ho, asaase no n’enyimnyam, Bɛt-jesimot, Baal-meon, na Kiriataim,", ""
"EZK.25.10", "medze mama bokamba, etsia Ammonmba no, na medze ama hɔn dɛ enyadze mma wɔaannkaa Ammonmba wɔ amanaman mu:", ""
"EZK.25.11", "Na mebɛyɛ Moab do atsɛmbudze; na wobohu dɛ emi nye EWURADZE.", "#Isa 15.1—16.14; 25.10-12; Jer 48.1-47; Amos 2.1-3; Zef 2.8-11"
"EZK.25.12", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ Edom edzi Juda fi wer, na ɔafom kɛsenara, na oetua hɔn wer ama nankasa noho no;", ""
"EZK.25.13", "dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye yi; Mebɛtsen me nsa wɔ Edom do, na metwitwa no mu nyimpa na abowa mefi do: na mebɛma ɔayɛ afo efi Teman; na wɔbɔtotɔ afona ano ekodu Dedan mpo.", ""
"EZK.25.14", "Na menam me man Israel do mibedzi Edom wer; na wɔnye Edom bedzi dɛ mbrɛ m’ebufuw na m’ebufuhyew tse: na wobohu m’awerdzi, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.25.15", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ Filistiafo edzi no awerdzi do, na wɔdze kra ho ehi etua wer dɛ wɔdze daa tan bɛsɛɛ hɔn ntsi;", "#Isa 14.29-31; Jer 47.1-7; Joel 3.4-8; Amos 1.6-8; Zef 2.4-7; Zek 9.5-7"
"EZK.25.16", "dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, mebɛtsen me nsa wɔ Filistiafo do, na metwitwa Keretfo, na masɛɛ mpoano nkaa no.", ""
"EZK.25.17", "Na medze ntwuwenyim dzendzenndzen bedzi hɔn wer kɛsenara; na wobohu dɛ emi nye EWURADZE, ber a mibedzi hɔn wer no.", ""
