"EZK.27.1", "EWURADZE n’asɛm baa mo hɔ bio, dɛ,", ""
"EZK.27.2", "Na ɔwo, onyimpa ba, twa Taere ho ewuo;", ""
"EZK.27.3", "na se Taere dɛ, ɔwo a etse po ahɛnee, eyɛ amanaman oguadzinyi ma nsuano aman pii, mbrɛ EWURADZE Nyankopɔn se nye iyi: O Taere, ɔwo na aka dɛ, Mo ho ewie fɛw yɛ.", ""
"EZK.27.4", "W’ahe wɔ po finimfin, w’adantofo ama wo ho ewie fɛw yɛ.", ""
"EZK.27.5", "Senir kupresi ndua na wɔdze ayɛ wo ntaabow: wɔdze Lebanon nkyindur ndua ayɛ w’abradaandua.", ""
"EZK.27.6", "Bashan esudur ndua na wɔdze ayɛ wo ntabon; asombɛn a wɔdze ewurawura papaa a ofi Kittim nsuano do na wɔdze ayɛ wo mangow.", ""
"EZK.27.7", "Ndwera pa a ofi Egypt a woedzi mu akye na wɔdze yɛɛ w’abradaa, ma ɔaayɛ frankaa; bibir tam a ofi nsuano Elisha do na wɔdze yɛɛ w’akatado.", ""
"EZK.27.8", "Zionfo na Arvadfo no nye w’akwamfo: Taere, w’enyansafo wɔ wo mu, hɔn nye wo hɛn akwankyerɛfo.", ""
"EZK.27.9", "Gebal nkɔdaa na n’enyansafo wɔ wo mu a wosisiw wo hɛn ne mbabaae: po do ahɛn nyina ɔnye hɔn hɛnmufo wɔ wo mu dɛ wɔrebɛsesa w’eguadze.", ""
"EZK.27.10", "Persiafo na Ludfo na Putfo wɔ wo dɔm mu wɔyɛ w’akofo etsitsir: wɔdze kyɛm na dadzekyɛw sensɛɛn wo mu; woyii w’ahoɔfɛw sii hɔ.", ""
"EZK.27.11", "Arvad mbarimba nye wo dɔm wowɔ w’afasu ho hyiae, na Gammadfo no wɔ w’aban atsentsen mu. Wɔdze hɔn akyɛm sensɛɛn w’afasu ho hyiae; wɔama w’ahoɔfɛw edzi mu.", ""
"EZK.27.12", "Tarsis yɛɛ wo guadzinyi wɔ ahonyadze horow nyina no dodow ntsi; dwetɛ, dadze, kyɛnse, na sumbui na wɔdze bɛgyee wo hɔ adze.", ""
"EZK.27.13", "Javan, Tubal, na Mesek, hɔn na wɔyɛɛ w’abatafo: wɔdze nyimpa na boran ndzɛmba gyee w’eguadze.", ""
"EZK.27.14", "Hɔn a wofi Togarma fie wɔdze mpɔnkɔ na ɔsampɔnkɔ na asoasompɔnkɔ bɛgyee wo hɔ adze.", ""
"EZK.27.15", "Dedanfo yɛɛ w’abatafo: esupruw pii yɛɛ eguaase maa w’edwinsa; wɔdze asonse na kusibir ntoaba nye wo bedzii nsesagua.", ""
"EZK.27.16", "Siria yɛɛ wo guadzinyi wɔ w’edwinsa dodow ntsi: wɔdze nserɛmɛmbo, ɔberdum tam, na nkyermu tam, na ndwera pa, na nankyenema, na mbotamemen, na wɔdze bɛsesa wo hɔ adze.", ""
"EZK.27.17", "Juda na Israel asaase, wɔyɛɛ w’abatafo: wɔdze Minnit ewifua, atoko na ewo, na ngo, na akyenkyendur dze bɛsesa w’eguadze.", ""
"EZK.27.18", "Damaskɔs yɛɛ wo guadzinyi wɔ w’edwinsa dodow ntsi, ɔnam w’ahonyadze horow nyinara no dodow ntsi: wɔdze Helbon wenyin na nguannhwi fufuw bae.", ""
"EZK.27.19", "Vedan na Javan dze asaabahoma nye wo bedzii sesagua: dadze a wɔabɔ, keesia, na kalamus sesaa w’eguadze.", ""
"EZK.27.20", "Dedan dze aboɔdzen tam a wɔdze tsena pɔnkɔ do nye wo bedzii gua.", ""
"EZK.27.21", "Arabia na Kedar mbapɔmba nyina yɛɛ wo nsaano eguadzifo; wɔ nguambaa, nguannyin, na mpɔnkɔ mu, iyinom mu na wɔnye wo dzii gua.", ""
"EZK.27.22", "Seba na Raama abatafo so nye wo bedzii gua: wɔdze eduhuam nyina mu etsitsir, na aboɔdzembo nyina, na sika nye wo bedzii sesagua.", ""
"EZK.27.23", "Haran na Kanne na Eden, abatafo a wofi Seba, Assur na Kilmad no nye wo bedzii gua.", ""
"EZK.27.24", "Woyinom wɔyɛɛ abatafo wɔ eguadze fɛɛfɛw mu, wɔ bibir tam mbobɔe na nkyermutam, na ebirɛmpɔntam ndaka a wɔdze ahoma abɔ mu a wɔdze nkyindur ndua yɛe, wɔdze gyee w’eguadze.", ""
"EZK.27.25", "Tarsis ahɛn nye w’akwantufo a wɔdze w’eguadze dzi akɔnaaba: na ebɛyɛɛ ma, na w’enyim baa nyam papaara wɔ po finimfin.", "#Nyi 18.11-19"
"EZK.27.26", "W’akwamfo dze wo aba nsu akɛse mu: boka mframa abobɔ wo wɔ po finimfin.", ""
"EZK.27.27", "W’ahonyadze na w’adzetɔndze, w’eguadze, w’ahɛnmufo na wo hɛn akwankyerɛfo, hɔn a wosisiw wo hɛn ne mbabaae, nye w’eguadze sesafo, na wo mu akofo nyina, na w’asafo a wɔwɔ wo mu nyina, wɔbɔtotɔ po finimfin wɔ wo sɛɛ da no mu.", ""
"EZK.27.28", "Wo hɛn akwankyerɛfo nkeka mu ne dede ntsi, mfikyirkurow no bɔwosow.", ""
"EZK.27.29", "Na hɔn a wɔdzedze ntabon, hɛnmufo, na po do akwankyerɛfo no nyina, fifi hɔn ahɛn mu besiansian ebegyinagyina daadze,", ""
"EZK.27.30", "na wɔbɛpra hɔn ndze egu mu wɔ wo do, na woesu suwen. Wobotu dɛtse egu hɔn etsifi, na wɔdze hɔn ho ayankayankam nso mu:", ""
"EZK.27.31", "na wɔbɛprapra hɔn tsir na woefurafura eyitam, na wɔdze ɔkra n’awerɛhow na mbubuwbɔ yaayaw esu ama wo.", ""
"EZK.27.32", "Na hɔn ewuotwa no mu, wɔbɛma sukwadwom do wɔ wo ntsi, na woetwa wo ho sukwadwom, dɛ, Woana tse dɛ Taere, ɔno a wɔama ɔayɛ dzinn wɔ po finimfin yi?", ""
"EZK.27.33", "Ber a w’adzetɔndze fi po nyina mu bae no, edze maa aman pii wɔmee; edze w’ahonyadze na w’eguadze dodow maa asaase do ahemfo nyaa hɔn ho.", ""
"EZK.27.34", "Afei a epo bubuu wo wɔ esubun no mu no, w’eguadze na w’asafo a wɔwɔ wo mu nyinara nye wo totɔree.", ""
"EZK.27.35", "Nsuano aman nyina ho edwuruw hɔn wɔ wo ntsi, na hu ekitsakitsa hɔn ahemfo, hɔn enyim atotow.", ""
"EZK.27.36", "Aman mu eguadzifo sesar wo; w’ewiei annyɛ fɛw koraa, na eremmba bio ara ekesi afebɔɔ.", ""
