"EZK.35.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", "#Isa 34.5-17; 63.1-6; Jer 49.7-22; Eze 25.12-14; Amos 1.11, 12; Oba 1-14; Mal 1.2-5"
"EZK.35.2", "Onyimpa ba, fa w'enyi si Seir bepɔw do, na hyɛ nkɔm gu no do, na se no dɛ,", ""
"EZK.35.3", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, Seir bepɔw, menye wo enya, na mebɛtsen me nsa wɔ wo do, na mayɛ wo amamfo na ahobowdze.", ""
"EZK.35.4", "Mebɛma wo nkurow abobɔ, na ɔwo ebɛyɛ amamfo; na ibohu dɛ emi nye EWURADZE.", ""
"EZK.35.5", "Osiandɛ ewɔ daa enyitan na eyi Israelmba ahyɛ afona no n'ahoɔdzen nsa wɔ hɔn mbusu ber mu, wɔ hɔn ewiei emumuyɛ ne ber no ntsi:", ""
"EZK.35.6", "dɛm ntsi, metse ase yi, EWURADZE Nyankopɔn na ɔse, mibesiesie wo mama bɔgya, na bɔgya etsiw wo: susuampa dɛ ɔwo ennkyir bɔgya no, bɔgya ara na obetsiw wo.", ""
"EZK.35.7", "Mbrɛ mubodua ayɛ bepɔw Seir ahobowdze na amamfo nye no; na mubotwa nyia ɔresen na nyia ɔresan no efi mu.", ""
"EZK.35.8", "Na medze n'atɔfoe bɛhyɛ ne mbepɔw do amaama: wo nkoko do na wo mbɔnsa mu na w'esuka nyina mu na hɔn a wɔatotɔ afona ano nyina no bogugu.", ""
"EZK.35.9", "Mebɛma ayɛ daa amamfo, na wo nkurow no wɔrenntsena do: na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.35.10", "Osiandɛ aka dɛ, Amanaman ebien yi, na nkurow nkurow ebien yi bɛyɛ medze, na yɛafa edzi do; ber a nna EWURADZE wɔ hɔ:", ""
"EZK.35.11", "dɛm ntsi, metse ase yi, EWURADZE Nyankopɔn na ɔse, mebɛyɛ dɛ mbrɛ w'ebufuw no tse, na dɛ mbrɛ w'enyitan a akyerɛ no wɔ kyir a edze kyir hɔn no mu no tse; na mebɛma woehu me wɔ hɔn mu, ber a mubobu wo atsɛn no.", ""
"EZK.35.12", "Na ibohu dɛ emi EWURADZE matse wo kasabɔn a akasa etsiatsia Israel mbepɔw no dɛ, Wɔayeyɛ afoafo, wɔdze ama hɛn dɛ yendzi.", ""
"EZK.35.13", "Na hom dze hom ano edzi mo do ekokrokosɛm, na hom ama hom nsɛm adɔɔ so etsia me: matse.", ""
"EZK.35.14", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ber a asaase nyina bedzi ehurusi no, mebɛyɛ wo amamfo.", ""
"EZK.35.15", "Dɛ mbrɛ ɔwo idzii Israel fifo egyapadze eduwa, dɛ ɔayɛ afo ntsi no, dɛmara na medze bɛyɛ wo: Seir bepɔw, ebɛyɛ afo, na Edom nyina no mu nyina mpo: na wobohu dɛ emi nye EWURADZE.", ""
