"EZK.43.1", "N’ekyir no ɔdze me baa abobokɛse no ano, abobokɛse no a ɔhwɛ boka afamu no a:", ""
"EZK.43.2", "na hwɛ, Israel Nyankopɔn n’enyimnyam fi boka afamu bae: na ne ndze tse dɛ esu pii ne ndze: na n’enyimnyam maa asaase hyerɛnee.", "#Eze 10.3, 4, 18, 19; 11.22, 23; Nyi 1.15"
"EZK.43.3", "Na ɔtse dɛ enyido adzehu a muhunii no no hwɛbea, mekyerɛ enyido adzehu a muhunii wɔ ber a mebaa dɛ merebɛsɛɛ kurow no; na enyido adzehu no tse dɛ enyido adzehu a muhun no Kebar esutsen no ho no: na medze m’enyim butuuw famu.", ""
"EZK.43.4", "Na EWURADZE n’enyimnyam nam abobokɛse a n’enyi hwɛ boka kwan do no baa fi no mu.", ""
"EZK.43.5", "Na sunsum no maa me do, na ɔdze me baa fie afamu abangua no do; na hwɛ, EWURADZE n’enyimnyam hyɛɛ fi no ma.", ""
"EZK.43.6", "Na metsee dɛ obi fi ofi no mu rekasa kyerɛ me; na barimba bi gyina me nkyɛn.", ""
"EZK.43.7", "Na ɔsee me dɛ, Onyimpa ba, m’ahengua sibea, na m’ananadze gyinabea a mebɛtsena hɔ wɔ Israelmba mu afebɔɔ no nye yi: na Israel fifo nnkogu me dzin krɔnkrɔn no ho fi ara bio, hɔn o, hɔn ahemfo o, dɛ wɔdze hɔn ndwamanyɛ, na hɔn ahemfo efun wɔ hɔn sorɔnsorɔmbea no do;", ""
"EZK.43.8", "dɛ wɔdze hɔn abowano bɛfam m’abowano, na wɔdze hɔn pondua besi mo pondua ho, na fasu ara na otwa menye hɔn ntamu; na wɔdze hɔn atantandze a wɔayeyɛ no egu me dzin krɔnkrɔn no ho fi: dɛm ntsi mahyew hɔn wɔ m’ebufuw mu.", ""
"EZK.43.9", "Afei dze ma wonyi hɔn ndwamanyɛ, na hɔn ahemfo efun, mfi me nkyɛn nkɔ ekyir, na mebɛtsena hɔn mu afebɔɔ.", ""
"EZK.43.10", "Ɔwo, onyimpa ba, fa fi no kyerɛ Israelfo no, na hɔn enyi nto wɔ hɔn emumuyɛ ho: na ma wonsusu esusudo no.", ""
"EZK.43.11", "Na sɛ hɔn enyi to dza wɔayɛ nyina ho a, ma wonhu fi no no subea, na ne nhyehyɛɛ, na n’edzifir, na ne mbamu, na no subea nyinara, na n’ahyɛdze nyinara, na no subea nyinara, na no ho mbra nyinara, na kyerɛw no wɔ hɔn enyim: ama woeesie no subea nyinara na n’ahyɛdze nyinara, na wɔaayɛ.", ""
"EZK.43.12", "Ofi no ho mbra no nye yi: bepɔw no n’etsifi ne he a ɔbɔ ho aprɔw nyina ɔnyɛ akrɔnkrɔndze mu krɔnkrɔndze. Hwɛ, ofi no ho mbra no nye yi.", ""
