"EZK.44.1", "Nna ɔdze me faa krɔnkrɔn bea abobokɛse no a ɔhwɛ boka afamu no sanee bae; na wɔtoow mu.", ""
"EZK.44.2", "Na EWURADZE see me dɛ, Abobokɛse yi wɔbɔtow mu ara, worummbue, eso nyimpa biara rennhɛn mu nnkɔ mu, na EWURADZE, Israel Nyankopɔn no, na ɔahɛn mu akɔ mu; dɛm ntsi wɔbɔtow mu ara.", ""
"EZK.44.3", "Na bapɔmba no dze, ɔbɛtsena mu dɛ bapɔmba oedzidzi wɔ EWURADZE enyim; ɔnam abobokɛse no ne dampan kwan do bɛba mu na kwan kor noara mu na ɔnam befir edzi.", ""
"EZK.44.4", "Nna ɔdze me faa kwaamu afamu abobokɛse no kwan no do baa dan no enyim; na mohwɛe, na hwɛ, EWURADZE n’enyimnyam ahyɛ EWURADZE ne fi no ma: na medze m’enyim butuuw famu.", ""
"EZK.44.5", "Na EWURADZE see me dɛ, Onyimpa ba, hyɛ no nsew yie, na fa w’enyiwa hwɛ, na fa w’asowa tsie dza mereka akyerɛ wo wɔ EWURADZE fi ho ahyɛdze no nyina, na no ho mbra no nyina; na hyɛ fi no ne nhɛnmu ɔnye krɔnkrɔnbea no n’edzifir nyina nsew yie.", ""
"EZK.44.6", "Na se etuatsewfo no, Israel fifo no dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ao hom Israel fifo, hom mma hom atantandze ndɔɔ so mma hom,", ""
"EZK.44.7", "wɔ dɛ hom dze ananaben, akoma na honam mu monomonomfo aba dɛ wɔmbɛtsena mo krɔnkrɔnbea mu, wombohura ho, mekyerɛ me dan no, ber a hom dze m’edziban, angoa na bɔgya ma, na wɔato m’ahyɛmu dze aka hom atantandze nyinara ho.", ""
"EZK.44.8", "Na hom annhwɛ m’akrɔnkrɔndze ahwɛdodze no do: na mbom hom esisi mo krɔnkrɔnbea no mu ahwɛdodze no do ahwɛdofo amema hom ho.", ""
"EZK.44.9", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ɔnanaben biara a ɔyɛ akoma na honam mu monomonomnyi no, ɔrennhɛn mo krɔnkrɔnbea no mu, wɔ ɔnana biara a ɔwɔ Israelmba mu no mu.", ""
"EZK.44.10", "Na Levifo a wofii me nkyɛn kɔr ekyirekyir ber a Israel bɔɔ ko fii me nkyɛn, wɔbɔɔ ko fii me nkyɛn kedzii hɔn abosom ekyir no; hɔnara wɔbɔsoa hɔn emumuyɛ.", ""
"EZK.44.11", "Naaso wɔbɛyɛ mo krɔnkrɔnbea mu asomfo a wɔhwɛ fi no no mbobotsen ano, na wɔsom wɔ fi no mu: hɔn na wɔbɔbɔ hyew afɔr na kum afɔr ama man no, na wobegyina hɔn enyim wɔasom hɔn.", ""
