"EZR.2.1", "Afei woyinom nye ɔmansin no mu mba a wofi ndɔmmumkɔ a Babilɔnhen Nebukadenezar sosoo hɔn koguu Babilɔn no sanee bae, na wɔsanee baa Jerusalɛm na Juda, na obiara kɔr no kurow mu.", ""
"EZR.2.2", "Wɔnye Zerubabel, Jesua, Nehemia, Seraia, Reelaia, Modekai, Bilshan, Mispar, Bigbai, Rehum, na Baana bae. Israel man mu nyimpa dodow nye yi:", ""
"EZR.2.3", "Parosmba, mpemebien ɔha eduosuon ebien.", ""
"EZR.2.4", "Sefatiamba, ahaasa eduosuon ebien.", ""
"EZR.2.5", "Arahmba, ahaesuon eduosuon enum.", ""
"EZR.2.6", "Pahat-moabmba, Jesua na Joabmba dze, mpemebien ahaawɔtwe duebien.", ""
"EZR.2.7", "Elammba, apem ahaenu eduonum anan.", ""
"EZR.2.8", "Zatumba, ahaakron eduanan enum.", ""
"EZR.2.9", "Zakaimba, ahaesuon eduosia.", ""
"EZR.2.10", "Banimba, ahaesia eduanan ebien.", ""
"EZR.2.11", "Bebaimba, ahaesia eduonu ebiasa.", ""
"EZR.2.12", "Azgadmba, apem ahaenu eduonu ebien.", ""
"EZR.2.13", "Adonikammba, ahaesia eduosia esia.", ""
"EZR.2.14", "Bigivaimba, mpem ebien eduonum esia.", ""
"EZR.2.15", "Adinmba, ahaanan eduonum anan.", ""
"EZR.2.16", "Atermba, Hezekia dze, eduokron awɔtwe.", ""
"EZR.2.17", "Bezaimba, ahaasa eduonu ebiasa.", ""
"EZR.2.18", "Joramba, ɔha duebien.", ""
"EZR.2.19", "Hasummba, ahaenu eduonu ebiasa.", ""
"EZR.2.20", "Gibarmba, eduokron enum.", ""
"EZR.2.21", "Bɛtlɛhɛmmba, ɔha eduonu ebiasa.", ""
"EZR.2.22", "Netofamba, eduonum ebiasa.", ""
"EZR.2.23", "Anathothmba, ɔha eduonu awɔtwe.", ""
"EZR.2.24", "Azmavethmba, eduanan ebien.", ""
"EZR.2.25", "Kiriat-arimmba, Kefira, na Beerot, ahaesuon eduanan ebiasa.", ""
"EZR.2.26", "Rama na Gebamba, ahaesia eduonu biako.", ""
"EZR.2.27", "Mikmas mbarimba, ɔha eduonu ebien.", ""
"EZR.2.28", "Bɛtɛl na Ai mbarimba, ahaenu eduonu ebiasa.", ""
"EZR.2.29", "Nebomba, eduonum ebien.", ""
"EZR.2.30", "Magbismba, ɔha eduonum esia.", ""
"EZR.2.31", "Elam kor no so mba, apem ahaenu eduonum anan.", ""
"EZR.2.32", "Harimmba, ahaasa eduonu.", ""
"EZR.2.33", "Lod, Hadid, na Onomba, ahaesuon eduonu enum.", ""
"EZR.2.34", "Jerikomba, ahaasa eduanan enum.", ""
"EZR.2.35", "Senaamba, mpemebiasa ahaesia eduasa.", ""
"EZR.2.36", "Asɔfo no: Jedaiamba, Jesua fie dze, ahaakron eduosuon ebiasa.", ""
"EZR.2.37", "Immermba, apem eduonum ebien.", ""
"EZR.2.38", "Pasurmba, apem ahaenu eduanan esuon.", ""
"EZR.2.39", "Harimmba, apem duesuon.", ""
"EZR.2.40", "Levifo: Jesua na Kadmielmba, Hodaviamba, eduosuon anan.", ""
"EZR.2.41", "Adwontofo no: Asafmba, ɔha eduonu awɔtwe.", ""
"EZR.2.42", "Mbobowano ahwɛfo mba: Sallummba, Atermba, Talmonmba, Akkubmba, Hatitamba, Sobaimba, hɔn nyinara wɔyɛ ɔha eduasa akron.", ""
"EZR.2.43", "Netinfo: Zihamba, Hasufamba, Tabaotmba;", ""
"EZR.2.44", "Kerosmba, Siahamba, Padonmba;", ""
"EZR.2.45", "Lebanamba, Hagabamba, Akkubmba;", ""
"EZR.2.46", "Hagabmba, Samlaimba, Hananmba;", ""
"EZR.2.47", "Gidelmba, Gaharmba, Reaiamba;", ""
"EZR.2.48", "Rezinmba, Nekodamba, Gazammba,", ""
"EZR.2.49", "Uzamba, Paseamba, Besaimba;", ""
"EZR.2.50", "Asnamba, Meunimmba, Nefisimmba;", ""
"EZR.2.51", "Bakbukmba, Hakufamba, Harhurmba;", ""
"EZR.2.52", "Bazluthmba, Mehidamba, Harsamba;", ""
"EZR.2.53", "Barkosmba, Siseramba, Temamba;", ""
"EZR.2.54", "Neziamba, na Hatifamba.", ""
"EZR.2.55", "Solomon no nkowaa mba: Sotaimba, Hasoferetmba, Perudamba;", ""
"EZR.2.56", "Jaalamba, Darkonmba, Gidelmba;", ""
"EZR.2.57", "Sefatiamba, Hatilmba, Pokeret-hazebaimmba, na Amimba.", ""
"EZR.2.58", "Netinfo nyinara, na Solomon no nkowaa mba, wɔyɛ ahaebiasa eduokron ebien.", ""
"EZR.2.59", "Na woyinom nye hɔn a wofi Tel-mela, Tel-harsa, Kerub, Addan, nye Immer sanee bae no: na woenntum annkyerɛ hɔn egyanom efiefi, nye hɔn ase, kyerɛ dɛ wofi Israel anaa:", ""
"EZR.2.60", "Delaiamba, Tobiamba na Nekodamba, ahaesia eduonum ebien.", ""
"EZR.2.61", "Na asɔfomba: Habaimba, Hakozmba, Barzillai a ɔwaar Gileadnyi Barzillai ne mbabaa no mu bi, na wɔdze hɔn dzin too no no, mba.", ""
"EZR.2.62", "Woyinom wɔhwehwɛɛ hɔn ebusua nwoma wɔ hɔn a wɔnam do buu hɔn ano no mu, naaso woennhu: dɛm ntsi wobuu hɔn ahoɔfifo na woyii hɔn fii asɔfodzi no mu.", ""
"EZR.2.63", "Na Ambrado no see hɔn dɛ, mma wonndzi krɔnkrɔndze mu adzekrɔnkrɔn no bi, ma onkodu dɛ ɔsɔfo bi dze Urim na Tummim begyina hɔ.", ""
"EZR.2.64", "Mboanofo no nyinara yɛ mpemeduanan ebien ahaasa eduosia,", ""
"EZR.2.65", "ɔsor hɔn nkowaa na hɔn mfonabaa a hɔn so wɔyɛ mpemesuon ahaasa eduasa esuon: na wɔwɔ mbarimba adwontofo na mbaa adwontofo ahaenu.", ""
"EZR.2.66", "Hɔn mpɔnkɔ yɛ ahaesuon eduasa esia; hɔn asoasompɔnkɔ, ahaenu eduanan enum;", ""
"EZR.2.67", "hɔn efumpɔnkɔ ahaanan eduasa enum; hɔn nsoasopɔnkɔ, mpemesia ahaesuon eduonu.", ""
"EZR.2.68", "Na wɔbaa EWURADZE fie a ɔwɔ Jerusalɛm no ara pɛr, nna egyanom efiefi etsitsir no mu binom fi hɔn pɛ mu kyekyɛɛ Nyankopɔn fie no ho ndzɛmba dɛ wɔmfa mma do nsi ne sibew:", ""
"EZR.2.69", "wɔmaa dɛ mbrɛ hɔn tum tse na wɔdze guu edwuma no ho adzekoradze no mu, sika  darik   mpem eduosiabiako, na dwetɛ abɛndaa mpemenum, na asɔfo ntar ɔha.", ""
"EZR.2.70", "Nna asɔfo no, na Levifo no, na ɔman no mu binom, nye adwontofo no, nye mbobowano ahwɛfo no, nye Netinfo no, tsenatsenaa hɔn nkurow mu, na Israel nyinara so tsenatsenaa hɔn nkurow mu.", "#1 Mbe 9.2; Neh 11.3"
