"EZR.6.1", "Nna ɔhen Darius hyɛɛ mbra ma wɔkɔhwehwɛɛ nwomakorafi no mu, mbrɛ wɔdze akoradze sie wɔ Babilɔn no.", ""
"EZR.6.2", "Na wokohun nwoma mbobɔwee bi wɔ Akmetha ahemfie a ɔwɔ Media ɔmansin mu no, no mu, na wɔakyerɛw asɛm bi wɔ mu dɛ:", ""
"EZR.6.3", "Ɔhen Sirus n'afe a odzi kan no mu no, ɔhen Sirus hyɛɛ mbra dɛ; Nyankopɔn ne fi a ɔwɔ Jerusalɛm no dze, wɔmma wonsi, ma ɔnyɛ beebi mbrɛ wɔbɔ afɔr, na wɔmma ne fapem nyɛ dzendzenndzen; na no krɔn basafa eduasa na ne tɛtɛr basafa eduasa;", ""
"EZR.6.4", "nye abo akɛse akyerɛpɛn ebiasa, na ndua kyerɛpɛn kor: na wɔmma womfi ɔhen ne fie mbɔ no ho kaw no:", ""
"EZR.6.5", "na eso wɔmma Nyankopɔn ne fie sika na dwetɛ ndzɛmba a Nebukadenezar kɛfaa no wɔ asɔrdan no a ɔwɔ Jerusalɛm no mu, na ɔdze baa Babilɔn no, nsan mfa mma, na wɔmfa nkɔ asɔrdan no a ɔwɔ Jerusalɛm no mu bio, biara nkesi ne sibew, na fa sisi Nyankopɔn ne fie hɔ.", ""
"EZR.6.6", "Dɛm ntsi afei ɔwo Tattenai, esuegya noho ambrado, na Setar-bozenai, na hom mfɛfo Afarsakfo a wɔwɔ esuegya noho, hom ntwe hom ho mfi hɔ koraa:", ""
"EZR.6.7", "hom ngyaa Nyankopɔn fi no ho edwuma no n'ekyir dzi; hom mma Jewfo ambradofo na Jewfo mpanyimfo no nsi Nyankopɔn fi no wɔ ne sibew.", ""
"EZR.6.8", "Nkyii so mara na merehyɛ mbra makyerɛ hom dza hom nyɛ mma Jewfo mpanyimfo yi wɔ Nyankopɔn ne fi no ne nsii mu: ɔnye dɛ hom mfa ɔhen n'efidze no, mekyerɛ esuegya noho tow no, no mu bi, ntua ahwerdze ne kaw no ntsɛmara mfa mma mbarimba no amma woeenngyaa.", ""
"EZR.6.9", "Na adze a ohia hɔn no, anantwisaa mburwa, na nguannyin, na nguambaa nyina a wɔdze bɔbɔ sor Nyankopɔn hyew afɔr, ewifua, nkyen, nsa, na ngo, dɛ mbrɛ asɔfo a wɔwɔ Jerusalɛm no bɛkyerɛ no ara, na wɔmma wɔmfa mma hɔn dabaa, mma wonngyaa:", ""
"EZR.6.10", "ama wɔaabɔ afɔr huanhuam ama sor Nyankopɔn no, na wɔaabɔ ɔhen, na ne mba, nkwa ho mpaa.", ""
"EZR.6.11", "Eso m'ahyɛ mbra dɛ obiara a ɔbɛsakyer asɛm yi enyi no, wɔmma wonyi ne dan do mpuna, na wɔnkyekyer no mfam ho nsi hɔ; na wɔmma ne fie nyɛ sumina wɔ iyi ntsi:", ""
"EZR.6.12", "Na Nyankopɔn a ɔama ne dzin tse hɔ no, ombutuw ahemfo na aman nyinara a wɔbɛtsen hɔn nsa asakyer enyi dɛ wɔresɛɛ Nyankopɔn ne fi yi a ɔwɔ Jerusalɛm yi. Mara Darius na mahyɛ mbra yi: wɔmma wɔmfa mbɔdzembɔ nyinara nyɛ.", ""
"EZR.6.13", "Nna Tattenai, esuegya noho ambrado no, na Setar-bozenai, na hɔn mfɛfo no yɛɛ dza ɔhen Darius dze kɔree no dɛm ntsɛmara.", ""
