"GAL.1.1", "Paul, ɔsomafo a ommfi nyimpa, eso ɔnnam nyimpa do na mbom ɔnam Jesus Kraest nye Nyankopɔn Egya a onyaan Kraest fii ewufo mu no do no,", ""
"GAL.1.2", "nye enuanom nyina a wɔwɔ me nkyɛn, dze kɛma asɔrasɔr a wɔwɔ Galatia nyina:", ""
"GAL.1.3", "Adom nye asomdwee a ofi Nyankopɔn Egya, nye hɛn Ewuradze Jesus Kraest nka hom.", ""
"GAL.1.4", "Ɔno a hɛn bɔn ntsi ɔdze noho mae, ama oeeyi hɛn efi sesei bɔn wiadze yi mu, dɛ mbrɛ hɛn Egya Nyankopɔn ne pɛ tse,", ""
"GAL.1.5", "ɔno na enyimnyam nka no mbersantsen mfesantsen. Amen.", ""
"GAL.1.6", "Ɔyɛ me ahobow dɛ hom redan homho ntsɛm dɛm efi nyia ɔfrɛɛ hom wɔ Kraest Jesus adom mu no ho akɔ asɛmpa fofor bi mu a", ""
"GAL.1.7", "ɔnnyɛ asɛmpa fofor biara so, mbom binom wɔ hɔ a wɔretseetsee hom, na wɔrepɛ akyea Kraest asɛmpa no.", ""
"GAL.1.8", "Na sɛ mpo hɛn anaa abɔfo bi fi sor bɛka hom asɛmpa fofor bi ka dza yɛaka akyerɛ hom no ho a, wɔmma mbusu nka no.", ""
"GAL.1.9", "Dɛ mbrɛ yeedzi kan aka no, dɛmara na misi do bio, sɛ obi bɛka hom asɛmpa fofor bi ka dza hom agye no ho a, mbusu nka no.", ""
"GAL.1.10", "Na afei nyimpa na morohwehwɛ enyimpa efi no hɔ anaa Nyankopɔn a? Anaa morohwehwɛ dɛ mosɔ nyimpa enyi? Sɛ meda ho mosɔ nyimpa enyi a, nkyɛ mennyɛ Kraest akowaa.", ""
"GAL.1.11", "Enuanom, mepɛ dɛ hom hu dɛ asɛmpa no a meka no nnyɛ nyimpa dze.", ""
"GAL.1.12", "Na manngye no nyimpa hɔ, eso wɔannkyerɛkyerɛ me, na mbom ɔnam Jesus Kraest ne nyikyerɛ do na minyae.", ""
"GAL.1.13", "Hom atse nkan no m'abrabɔ wɔ Jewfo som no mu, mbrɛ misii tseetsee Nyankopɔn asɔr no mbordo, na mobɔɔ mbɔdzen dɛ mebɛsɛɛ no no.", "#Ndwu 8.3; 22.4, 5; 26.9-11"
"GAL.1.14", "Na mokɔr kan wɔ Jewfo som mu kyɛɛn m'etsipɛmfo dodowara, wɔ mankasa me man mu, na mobɔɔ m'egyanom atsetsesɛm ho mbɔdzen pii ma mpo ɔtraa do.", "#Ndwu 22.3"
"GAL.1.15", "Naaso ber a ɔsɔɔ Nyankopɔn a ɔsaan mu yii me sii nkyɛn ansaana wɔrowo me no n'enyi, na ɔnam n'adom do frɛɛ me no,", "#Ndwu 9.3-6; 22.6-10; 26.13-18"
"GAL.1.16", "dɛ obeyi ne ba akyerɛ wɔ mo mu, ama maakɛka no ho asɛmpa akyerɛ amanamamfo no, ntsɛmara menye honam nye bɔgya enntu egyina:", ""
"GAL.1.17", "eso mannkɔ Jerusalɛm wɔ hɔn a wodzii me kan yɛɛ asomafo no nkyɛn, na mokɔr Arabia na mebaa Damaskɔs bio.", ""
"GAL.1.18", "Na mfe ebiasa ekyir no, mokɔr Jerusalɛm kohun Peter n'enyim, na midzii ne nkyɛn dadu ndaenum.", "#Ndwu 9.26-30"
"GAL.1.19", "Na asomafo nkaa no dze, mennhu hɔn mu biara dɛ Ewuradze no nua James.", ""
"GAL.1.20", "Dza merekyerɛw hom yi, Nyankopɔn enyim, minndzi ator.", ""
"GAL.1.21", "N'ekyir na mebaa Siria nye Silisia afamu.", ""
"GAL.1.22", "Nna Kraest n'asɔrasɔr a wɔwɔ Judea no nnhun m'enyim da:", ""
"GAL.1.23", "na tse ara nna wɔatse dɛ, Nyia nkan no ɔtseetsee hɛn no, afei dze ɔreka gyedzi a ɔpeer dɛ ɔbɛsɛɛ no no ho asɛm papa.", ""
"GAL.1.24", "Na emi ntsi, wɔhyɛɛ Nyankopɔn enyimnyam.", ""
