"GAL.2.1", "Na mfe duanan ekyir no, mokɔr Jerusalɛm bio, emi nye Barnabas, na mefaa Titus so kaa hɛn ho.", ""
"GAL.2.2", "Na menam nyikyerɛ a minyae do mokɔree: medze asɛmpa no a mekaa no amanaman mu no too hɔn enyim, (nye hɔn a wɔwɔ dzin wɔ hɔn mu no nsumaa mu), amma m’edwuma a mayɛ na dza mugu do reyɛ no aannyɛ kwa.", "#Ndwu 11.30; 15.2"
"GAL.2.3", "Na Titus a ɔka mo ho a ɔyɛ Griiknyi no mpo, wɔannhyɛ no dɛ ontwa twatsia.", ""
"GAL.2.4", "Na enuanom atorfo a wɔaba hɛn mu no, hɔn a wowiawiaa hɔnho baa mu dɛ wɔrebɛsɛɛ hɛn adehyedzi a yɛwɔ no Kraest mu, na wɔdze hɛn aaba nkowaasom mu no:", ""
"GAL.2.5", "hɔn dze, yɛammbrɛ hɛnho adze amma hɔn kwan dɔnhwer kor mpo, ama asɛmpa no no nokwar no aatsena hɔ wɔ hom afamu.", ""
"GAL.2.6", "Na hɔn a wobu hɔn dɛ wɔyɛ etsitsir no (sɛ wɔtse dɛn ara mpo a, ɔmmfa mo ho hwee, osiandɛ Nyankopɔn nnhwɛ nyimpa enyim) dɛm nkorɔfo a wɔse wɔwɔ dzin yi ammfa biribiara ammboa me:", "#Deut 10.17"
"GAL.2.7", "na mbom wohun dɛ wɔdze monomonomfo mu asɛmpaka ahyɛ me nsa, dɛ mbrɛ wɔdze twatsiafo mu dze ama Peter;", ""
"GAL.2.8", "(na nyia ɔnam Peter do yɛɛ edwuma maa twatsiafo mu asomafosom no, ɔnam mo so do yɛɛ edwuma maa amanamamfo no);", ""
"GAL.2.9", "na wohun adom a wɔdze adom me no, James, Sefaas, nye John a wobuu hɔn dɛ wɔyɛ fadum no, tseen anyɛnkoyɛ nsa nyimfa maa emi nye Barnabas, dɛ hɛn yɛnkɔ amanamamfo hɔ, na hɔn so wɔnkɔ hɔn woetwa hɔn twatsia no hɔ,", ""
"GAL.2.10", "mbom dza wɔdze too hɛn adwen do ara nye dɛ daa yɛnkaa abɔbɔfo; na ɔno so ara mpo nye adze a nna osi m’enyi do pɛpɛɛpɛ dɛ mebɛyɛ.", ""
"GAL.2.11", "Mbom aber a Sefaas baa Antiok no, mekasaa n’enyim osiandɛ ɔdaa edzi pefee dɛ ɔafom.", ""
"GAL.2.12", "Na ansaana binom a wofi James hɔ rebɛba no, nna ɔnye amanamamfo no dzidzii, na wɔbae no, ɔtwee noho tseew noho fii hɔn nkyɛn, amma hɔn a wofi twatsiafo mu no eenya biribi enntsia no.", ""
"GAL.2.13", "Na Jewfo nkaa no so nye no yɛɛ dɛm ndabraba no, na hɔn ndabraba no twee Barnabas so kɛkaa hɔn ho.", ""
"GAL.2.14", "Na muhun dɛ wɔrennantsew tɔɔtsen dɛ mbrɛ asɛmpa no nokwar no tse no, mekaa kyerɛɛ Peter wɔ hɔn nyina enyim dɛ, Sɛ ɔwo a eyɛ Jewnyi ebɔ wo bra dɛ amanamannyi na ennyɛ dɛ Jewnyi a, ɔyɛ dɛn na ehyɛ amanamamfo dɛ wɔnyɛ dɛ Jewfo?", ""
"GAL.2.15", "Hɛn dze, yefi hɛn awoo mu yɛ Jewfo, na yɛnnyɛ amanaman mu ndzebɔnyɛfo bi naaso,", ""
"GAL.2.16", "nyim dɛ wonndua mbra ndwuma do na wobu nyimpa bem, na mbom ɔnam Jesus Kraest gyedzi mu no, hɛn mpo yɛgyee Jesus Kraest dzii, ma wɔnam Kraest mu gyedzi do eebu hɛn bem, na nnyɛ mbra ndwuma mu a, osiandɛ worunndua mbra ndwuma do mbu nyimpa biara bem.", "#Dwom 143.2; Rom 3.20; 3.22"
"GAL.2.17", "Na yɛrohwehwɛ dɛ wobu hɛn bem wɔ Kraest mu yi, na wohu hɛn dɛ ndzebɔnyɛfo a, nna Kraest yɛ ndzeyɛɛbɔn somfo anaa? Atserkwa!", ""
"GAL.2.18", "Na sɛ motow dza mudwuruwii no bio a, nna mekyerɛ moho dɛ mbratonyi.", ""
"GAL.2.19", "Na emi dze, ɔnam mbra do muwui maa mbra, ama maatsena ase ama Nyankopɔn.", ""
"GAL.2.20", "Wɔabɔ emi nye Kraest mbeamudua mu; naaso metse ase; na nnyɛ emi a, na Kraest na ɔtse mo mu: na ase a metse wɔ honam mu yi, metse no Nyankopɔn Ba a ɔdɔɔ me na ɔdze noho maa me no ne gyedzi mu.", ""
"GAL.2.21", "Memma Nyankopɔn n’adom no nnyɛ kwa: na sɛ mbra no na obu hɛn bem dze a, nna Kraest no wu no ayɛ gyan.", ""
