"GEN.1.1", "Ahyɛse no Nyankopɔn bɔɔ sor nye asaase.", ""
"GEN.1.2", "Nna asaase da hɔ pan a onnyi bɔbea biara; na isum agye bun no enyi: na Nyankopɔn no sunsum butuw nsu no enyi", "#1.2 BUTUW NSU … ENYI: Mfonyi a Hibriw no rutwa no tse dɛ akokɔbaatan a obutuw ne nkyirefuwa do rohwɛ dɛ ɔbɛdan mba atseasefo a."
"GEN.1.3", "Na Nyankopɔn see dɛ, Ekan mbra: na ekan bae.", "#2 Kor 4.6"
"GEN.1.4", "Na Nyankopɔn hun kan no dɛ oye: na Nyankopɔn tseew kan no fii sum no ho.", ""
"GEN.1.5", "Na Ɔfrɛɛ ekan no Adzekyee, na isum no Adzesaa. Na adze sae na adze kyee, da a odzi kan nye no.", ""
"GEN.1.6", "Na Nyankopɔn see dɛ, Wɔmma wimu mbra nsu no finimfin, na wɔmma ɔntsew nsu no mu ebien: na ɔyɛɛ dɛm.", "#2 Pet 3.5"
"GEN.1.7", "Na Nyankopɔn yɛɛ wimu no, na ɔtseew nsu a ɔwɔ wimu no n'ase no fii nsu a ɔwɔ wimu no no sor no ho.", ""
"GEN.1.8", "Na Nyankopɔn frɛɛ wimu no ɔsor. Na adze sae na adze kyee, da a otsia ebien nye no.", ""
"GEN.1.9", "Na Nyankopɔn see dɛ, Wɔmma nsu a ɔwɔ sor n'ase no mpra nkɔboa fakor na wɔmma wewewdo nyi noho: na ɔyɛɛ dɛm.", ""
"GEN.1.10", "Na Nyankopɔn frɛɛ wewewdo no Asaase; na nsu no no mboano no ɔfrɛɛ no Epo: na Nyankopɔn hun dɛ oye.", ""
"GEN.1.11", "Na Nyankopɔn see dɛ, Asaase mfifir efuw, nhaban a wɔsow aba, na ndua a wɔsow nduaba dɛ mbrɛ hɔn su tse, wɔ asaase do: na ɔyɛɛ dɛm.", ""
"GEN.1.12", "Na asaase fifiir efuw, haban a ɔsow aba dɛ mbrɛ no su tse: na Nyankopɔn hun dɛ oye.", ""
"GEN.1.13", "Na adze sae na adze kyee, da a otsia ebiasa nye no.", ""
"GEN.1.14", "Na Nyankopɔn see dɛ, Nkandzea mbra wimu mbeyi adzekyee mfi adzesaa ho: na ɔnyɛ nsɛnkyerɛdze, nye mbernkyekyɛmu, nye nda nye mfe:", ""
"GEN.1.15", "na ɔnyɛ nkandzea wɔ wimu nhyerɛn asaase do: na ɔyɛɛ dɛm.", ""
"GEN.1.16", "Na Nyankopɔn yɛɛ nkandzea akɛse ebien; kandzea kɛse no dɛ ɔnhwɛ adzekyee do, na kakraba no dɛ ɔnhwɛ adzesaa do: na ɔyɛɛ nworaba so.", ""
"GEN.1.17", "Na Nyankopɔn dze sisii wimu dɛ wɔnhyerɛn asaase do,", ""
"GEN.1.18", "na wɔnhwɛ adzekyee nye adzesaa do, na wonyi kan mfi sum ho: na Nyankopɔn hun dɛ oye.", ""
"GEN.1.19", "Na adze sae na adze kyee, da a otsia anan nye no.", ""
"GEN.1.20", "Na Nyankopɔn see dɛ, Nsu no mu mbra mbowa ahorow pii na ntumbowa so nkyin asaase do wɔ sor.", ""
"GEN.1.21", "Na Nyankopɔn bɔɔ esumbowa akɛse no, nkakramba na ahorow pii, dɛ mbrɛ hɔn su tsetsee, na ntumbowa nyinara dɛ mbrɛ hɔn su tsetsee: na Nyankopɔn hun dɛ oye.", ""
"GEN.1.22", "Na Nyankopɔn hyiraa hɔn see dɛ, Hom nwo, na hom ndɔr, na hom nhyɛ po mu nsu mu ma, na ntumbowa ndɔr wɔ asaase do.", ""
"GEN.1.23", "Na adze sae na adze kyee, da a otsia enum nye no.", ""
"GEN.1.24", "Na Nyankopɔn see dɛ, Asaase ndɔr mbowa a nkwa wɔ hɔn mu dɛ mbrɛ hɔn su tsetsee, fiembowa, nye nketsebowa, nye asaase mbowadoma dɛ mbrɛ hɔn su tsetsee: na ɔyɛɛ dɛm.", ""
"GEN.1.25", "Na Nyankopɔn yɛɛ asaase do mbowadoma dɛ mbrɛ hɔn su tsetsee, na Nyankopɔn hun dɛ oye.", ""
"GEN.1.26", "Na Nyankopɔn see dɛ, Wɔmma yɛnyɛ nyimpa wɔ hɛn su do, wɔ hɛn saso do: na wonya tum wɔ po mu nam, nye wimu ntumbowa, nye fiembowa, nye mbowa a wɔwea asaase do nyinara.", "#1 Kor 11.7"
"GEN.1.27", "Na Nyankopɔn bɔɔ nyimpa wɔ nankasa no su do, Nyew, Nyankopɔn no su do na ɔbɔɔ nyimpa; ɔbɔɔ hɔn ɔbanyin nye ɔbaa.", "#Gye 5.1, 2   #Mat 19.4; Mar 10.6"
"GEN.1.28", "Na Nyankopɔn hyiraa hɔn: na Ɔsee hɔn dɛ, Hom nwo, na hom ndɔr, na hom nhyɛ asaase ma, na hom ndzi do tum. Hom nya tum wɔ po mu nam do, nye wimu ntumbowa do, nye asaase do mbowa nyinara do.", ""
"GEN.1.29", "Na Nyankopɔn see dɛ, Hwɛ, mama hom nduadzewa na nduaba a ɔwɔ asaase nyinara enyi, dɛ ɔnyɛ edziban mma hom:", ""
"GEN.1.30", "na asaase do mbowadoma nyinara nye wimu ntumbowa nyinara dze, mama hɔn sar na nhaban nhaban dɛ wondzi: na ɔyɛɛ dɛm.", ""
"GEN.1.31", "Na Nyankopɔn hun adze a ɔayɛ nyinara, na hwɛ, odzi mu papaapa. Na adze sae na adzekyee, da a otsia esia nye no.", ""
