"GEN.13.1", "Na Abram fii Egypt, ɔno, nye ne yer, nye dza ɔwɔ nyinara, nye Lot ka no ho, kɔr Pomu afamu.", ""
"GEN.13.2", "Na Abram nyaa no ho kɛsenara wɔ fiembowa, nye dwetɛ, nye sika mu.", ""
"GEN.13.3", "Na otuu no kwan fi Pomu afamu araa kodur Bɛtɛl, beebi mbrɛ ahyɛse no n’asesee wɔ mu no, wɔ Bɛtɛl nye Ai ntamu:", ""
"GEN.13.4", "beebi mbrɛ afɔrmbukyia a asɔpɔn no ɔyɛɛ no wɔ hɔ no wɔ no: na hɔ na Abram sɔɔr EWURADZE.", ""
"GEN.13.5", "Nna Lot a ɔnye Abram nam no so wɔ nguan, nye anantwi, nye asese.", ""
"GEN.13.6", "Nna asaase no nnso hɔn dɛ wɔbɛtsena fakor: osiandɛ hɔn ahodze dɔɔ so, ma dɛm ntsi wɔbɔ mu tsena a ɔnnyɛ yie.", ""
"GEN.13.7", "Na aperper baa Abram no mbowahwɛfo nye Lot no mbowahwɛfo ntamu. Ber no nna Keenanfo nye Perizfo tsetse asaase no do.", ""
"GEN.13.8", "Na Abram see Lot dɛ, Meserɛ wo, mma emma aperper mmba emi nye ɔwo ntamu, na mo mbowahwɛfo nye wo mbowahwɛfo ntamu; osiandɛ yɛyɛ enuanom.", ""
"GEN.13.9", "Ana nnyɛ asaase no nyinara na ɔda w’enyim yi bi? Meserɛ wo, tsew woho fi mo ho: sɛ bankum na ebɛfa a, ɔno mo so mobɔkɔ nyimfa; anaa sɛ nyimfa na ebɛfa a, ɔno mo so mobɔkɔ bankum.", ""
"GEN.13.10", "Na Lot maa n’enyi do, na ɔhwɛɛ Jordan Tɛtɛrmu nyinara dze rokɔ Zoar, na ohun dɛ no do beebiara wɔ nsu papaapa. Iyi ekyir ansaana EWURADZE resɛɛ Sodom nye Gomora, tse dɛ EWURADZE no ture, nna ɔtse dɛ Egypt asaase.", "#Gye 2.10"
"GEN.13.11", "Nna Lot faa Jordan Tɛtɛrmu nyinara; na Lot tui faa boka afamu: na ɔbaako paa noho fii ne nyɛnko ho.", ""
"GEN.13.12", "Abram tsenaa Keenan asaase do, na Lot tsenaa Tɛtɛrmu kurow no mu, na ɔdze n’asesee tutui araa dze kodur Sodom.", ""
"GEN.13.13", "Afei Sodomfo yɛ ehuhufo nye ndzebɔnyɛfo kɛsenara tsia EWURADZE.", ""
"GEN.13.14", "Na Lot paa noho wɔ Abram ho n’ekyir no, EWURADZE see Abram dɛ, Afei ma w’enyi do, na fi beebi mbrɛ ewɔ no hwɛ kwaamu afamu nye pomu afamu nye boka afamu nye anee afamu:", ""
"GEN.13.15", "na asaase a ihu no nyinara, medze bɛma ɔwo, nye w’asefo daa.", "#Ndwu 7.5"
"GEN.13.16", "Na mebɛma w’asefo ayɛ dɛ asaase do huntuma: na sɛ obi tum kan asaase do huntuma a, ɔnodze nna wobotum akan w’asefo no.", ""
"GEN.13.17", "Soɛr, fa asaase no do wɔ ne tsentsen nye tɛtɛr mu; na ɔwo na medze bɛma wo.", ""
"GEN.13.18", "Na Abram tutuu n’asesee, na ɔbae bɛtsenaa Mamre nsudur a ɔwɔ Hebron no ne nkyɛn, na osii afɔrmbukyia wɔ hɔ maa EWURADZE.", ""
