"GEN.14.1", "Na ɔbaa dɛ Sinarhen Amrafel, Elasarhen Ariok, Elamhen Kedorlaomer, nye Goiimhen Tidal aber do no,", ""
"GEN.14.2", "wɔnye Sodomhen Bora, nye Gomorahen Birsa, Admahhen Sinab, nye Zeboimfo hen Semeber, nye Belahen (ɔnoara nye Zoar) yɛɛ ɔsa.", ""
"GEN.14.3", "Woyinom nyinara bɔɔ mu wɔ Siddim bɔnsa mu (ɔnoara nye Nkyen Po no).", ""
"GEN.14.4", "Mfe duebien na wɔsoom Kedorlaomer, na afe a otsia duebiasa no mu no wɔtseew etua.", ""
"GEN.14.5", "Na afe a otsia duanan no mu na Kedorlaomer na ahemfo a wɔka no ho no bae, na wobokum Refafo wɔ Asterot-karnaim, nye Zuzfo wɔ Ham, nye Emfo wɔ Savɛ-kiriataim,", ""
"GEN.14.6", "na Horfo wɔ hɔn bepɔw Seir do, dze kodu El-paran a ɔwɔ sar no ho no.", ""
"GEN.14.7", "Na wɔsanee, na wɔbaa En-mispat (ɔnoara nye Kades), na wɔbobɔɔ Amalekfo man nyinara, nye Amorifo so a wɔtse Hazazon-tamar no.", ""
"GEN.14.8", "Na Sodom, Gomora, Adma, nye Zeboim, nye Bela (ɔnoara nye Zoar) ahemfo fiir edzi; na wɔnye hɔn kɔbɔɔ enyim wɔ Siddim bɔnsa mu.", ""
"GEN.14.9", "Elamhen Kedorlaomer, Goiimfo hen Tidal, Sinarhen Amrafel, nye Elasarhen Ariok; dɛm ahemfo baanan no soɛree tsiaa beenum no.", ""
"GEN.14.10", "Nna hua amona wɔ Siddim bɔnsa mu ma ara tɔ; na ber Sodom nye Gomora ahemfo no ruguan no, binom koguu mu na hɔn a wɔkae no guanee kɔr bepɔw no do.", ""
"GEN.14.11", "Na wɔfaa Sodom nye Gomora ndzɛmba nyinara, na hɔn edzidzidze nyinara, na wɔkɔr hɔn kwan.", ""
"GEN.14.12", "Na wɔfaa Lot, Abram no nua ba a ɔtse Sodom no, nye ne ndzɛmba, na wosii mu kɔree.", ""
"GEN.14.13", "Na obi a ofii nsa bae bɛkaa kyerɛɛ Hebriwnyi Abram a aber yi nna ɔtse Amorinyi Mamre, Eskol nye Aner hɔn nua no no nsudur ho no; nna woyinom ɔnye Abram akyekyer.", ""
"GEN.14.14", "Na aber a Abram tsee dɛ wɔafa no nua ne ba ndɔmmum no, ɔdze no nkorɔfo a wɔatsetse hɔn a wɔwoo hɔn wɔ ne fie, ahaasa duawɔtwe tui, na wotsiiw hɔn araa kodur Dan.", ""
"GEN.14.15", "Na ɔno nye no nkowaa kyɛɛ hɔnho mu kɔr hɔn do anafua, na wɔbɔɔ hɔn gui, na wotsiiw hɔn kodur Hoba a ɔwɔ Damaskɔs n’abankum no.", ""
"GEN.14.16", "Na ɔdze ndzɛmba no nyinara sanee bae, ɔdze no nua ne ba Lot, nye ne ndzɛmba, nye mbaa no so, nye nkorɔfo no, sanee bae.", ""
"GEN.14.17", "Na ɔsanee fi Kedorlaomer nye ahemfo a wɔka no ho no hɔn do nkonyimdzi no reba no, Sodomhen puei kehyiaa no kwan wɔ Savɛ bɔnsa mu (ɔnoara nye ɔhen no Bɔnsa mu).", ""
"GEN.14.18", "Na Salemhen Melkizedek dze paanoo nye wenyin bae: nna ɔyɛ Abɔso Nyankopɔn no sɔfoe.", "#Heb 7.1-10"
"GEN.14.19", "Na ohyiaa no, na ɔsee dɛ, Nhyira mfi Abɔso Nyankopɔn a ɔsor nye asaase yɛ nedze no hɔ nka Abram;", ""
"GEN.14.20", "na nhyira nka Abɔso Nyankopɔn a ɔdze w’atamfo ahyɛ wo nsa. Na Abram maa no ndzɛmba no nyinara mu ebupɛn du du.", ""
"GEN.14.21", "Na Sodomhen see Abram dɛ, Fa nyimpa no ma me, na woara fa ndzɛmba no.", ""
"GEN.14.22", "Na Abram see Sodomhen no dɛ, Mama me nsa do makyerɛ EWURADZE, Abɔso Nyankopɔn a ɔsor nye asaase yɛ nedze no,", ""
"GEN.14.23", "dɛ mennkɛfa ahoma anaa mpaboaahoma anaa biribiara a ɔyɛ wodze, amma aannka dɛ, Mayɛ Abram birɛmpɔn:", ""
"GEN.14.24", "gyedɛ dza mberantsɛ no edzi no nko, na Aner, Eskol nye Mamre a wɔnye me kɔree no hɔn kyɛpɛn.", ""
