"GEN.16.1", "Afei Abram ne yer Sarai ɔnnwo mma no: mbom nna ɔwɔ afonabaa Egyptnyi bi a ne dzin dze Hagar.", ""
"GEN.16.2", "Na Sarai see Abram dɛ, Afei hwɛ, EWURADZE esiw me awoo kwan; meserɛ wo, kɔ m’afonabaa nkyɛn; annyɛ a mibenya no ho mba. Na Abram tsiee Sarai ne ndze.", ""
"GEN.16.3", "Na Abram tsenaa Keenan asaase do mfe du n’ekyir no, Abram ne yer Sarai faa n’afonabaa Hagar, Egyptnyi no, na ɔdze no maa no kun Abram awar.", ""
"GEN.16.4", "Na ɔkɔr Hagar nkyɛn, na onyinsenii: na aber a ohun dɛ onyinsen no, obuu no wuraba enyimtsia.", ""
"GEN.16.5", "Na Sarai see Abram dɛ, Mo mfom da wo do; medze m’afonabaa too wo bo mu, na ohun dɛ onyinsen ntsi, obu me enyimtsia: EWURADZE mbua emi nye ɔwo ntamu atsɛn.", ""
"GEN.16.6", "Na Abram see Sarai dɛ, Hwɛ, w’afonabaa wɔ wo nsamu, yɛ no dɛ mbrɛ woara ehwɛ a oye no ara. Na Sarai nye no dzii no dzendzenndzen, ma ofii n’enyim guanee.", ""
"GEN.16.7", "Na EWURADZE no bɔfoe hun no wɔ nsunyiwa bi ho wɔ sar do, Sur kwan mu nsunyiwa no ho a.", ""
"GEN.16.8", "Na obisaa no dɛ, Sarai n’afonabaa Hagar, ifi henfa bae na erokɔ henfa? Na obuaa dɛ, Mifi mo wuraba Sarai n’enyim na muruguan.", ""
"GEN.16.9", "Na EWURADZE no bɔfoe no see no dɛ, San kɔ wo wuraba hɔ, na kɛbrɛ woho adze wɔ n’ase.", ""
"GEN.16.10", "Na EWURADZE no bɔfoe no see no dɛ, Mebɛma w’asefo adɔr menyamenya, ma hɔn dodow ntsi wɔkan hɔn a ɔnnkɛyɛ.", ""
"GEN.16.11", "Na EWURADZE no bɔfoe no see no dɛ, Hwɛ, enyinsen, na ebɔwo babanyin; na ebɛfrɛ ne dzin Ismael, osiandɛ EWURADZE atse w’amandzehu.", ""
"GEN.16.12", "Na ɔbɛyɛ dɛ asoaso bɔyafo wɔ adasa mu; ne nsa betsia nyimpa nyinara, na nyimpa nyinara nsa etsia no; na ɔbɔsoɛr etsia no nuanom nyinara.", ""
"GEN.16.13", "Na ɔfrɛɛ EWURADZE a ɔkasaa kyerɛɛ no no ne dzin dɛ, ɔwo yɛ Nyankopɔn a ihu adze: na ɔkaa dɛ, Aso ha ara mpo mehu nyia ohu me yi?", ""
"GEN.16.14", "Dɛm ntsi wɔfrɛɛ bura no Beer-lahai-roi; na, ɔwɔ Kades nye Bered ntamu.", ""
"GEN.16.15", "Na Hagar woo babanyin maa Abram: na Abram frɛɛ ne babanyin a Hagar woo no no ne dzin Ismael.", "#Gal 4.22"
"GEN.16.16", "Na aber a Hagar woo Ismael no, nna Abram edzi mfe eduowɔtwe esia.", ""
