"GEN.18.1", "Na EWURADZE yii noho kyerɛɛ Abram wɔ Mamre nsudur nkyɛn, ewia ketee a ɔtse n’asesee abowano no;", ""
"GEN.18.2", "na ɔmaa n’enyi do, na ɔhwɛe, na, hwɛ, mbarimba baasa gyina ne tsentsendo. Na aber a ohun hɔn no, otutuu mbirika fii n’asesee abowano kehyiaa hɔn kwan, na ɔkotoow famu,", "#Heb 13.2"
"GEN.18.3", "na ɔsee dɛ, Mo wura, sɛ afei menya w’enyim enyimnyam a, meserɛ wo, mma mmpa w’akowaa ho nnkɔ.", ""
"GEN.18.4", "Afei wɔmma wɔnkɛfa nsu kakra mbra, na hom nhohor hom anan ho, na hom ngye hom ahom wɔ dua yi ase:", ""
"GEN.18.5", "na monkɔ nkɛfa edziban trɔma bi mbra ma hom mfa nhyɛ hom akoma dzen; na n’ekyir no hom akɔ: susuampa dɛ hom aba hom akowaa nkyɛn yi. Na wɔsee dɛ, Yɛ dɛ mbrɛ aka no ara.", ""
"GEN.18.6", "Na Abraham kaa noho kɔr asese no mu Sara hɔ, na ɔsee dɛ, Yɛ isiam pa etwadze ebiasa krado ntsɛntsɛm, fetsew, na to tatar.", ""
"GEN.18.7", "Na Abraham tutuu enguan kɔr no mbowakuw mu, na ɔkɛfaa nantwiba a ɔyɛ mberɛw na oye, na ɔdze maa ɔsomfo; na ɔyɛɛ ntsɛm kɛyɛɛ edziban.", ""
"GEN.18.8", "Na Abraham faa bata, nye merekye, nye nantwiba a ɔdze ayɛ edziban no, na ɔdze besii hɔn enyim: na ogyinaa hɔn nkyɛn wɔ dua no ase, na wodzidzii.", ""
"GEN.18.9", "Na wobisaa no dɛ, Wo yer Sara wɔ hen? Na ɔsee dɛ, Hwɛ, ɔwɔ asese no mu.", ""
"GEN.18.10", "Na hɔn mu kor kaa dɛ, Ampaara dɛ mebɛsan aba wo nkyɛn afedan sisei; na, hwɛ, wo yer Sara benya babanyin. Nna Sara ritsie wɔ asese abow a ɔwɔ n’ekyir no mu.", "#Rom 9.9"
"GEN.18.11", "Afei nna Abraham nye Sara enyinyin, na woedzi mfe ara yie; na adze a ɔyɛ mbaa no, etwa wɔ Sara ho.", ""
