"GEN.23.1", "Na Sara dzii mfe ɔha eduonu esuon.", ""
"GEN.23.2", "Na Sara wui wɔ Kiriat-arba ɔnoara nye Hebron, wɔ Keenan asaase do; na Abraham bae begyaam Sara, na obosuu no.", ""
"GEN.23.3", "Na Abraham soɛree fii no fun no enyim, na ɔkɛkasaa kyerɛɛ Hetmba no, dɛ,", ""
"GEN.23.4", "Meyɛ ɔhɔho nye ɔmamforanyi wɔ hom nkyɛn: hom mma me efunsiebea bi wɔ hom nkyɛn, ma minsie mo fun mfi m’enyi do.", "#Heb 11.9, 13; Ndwu 7.1"
"GEN.23.5", "Na Hetmba no buaa Abraham see no dɛ,", ""
"GEN.23.6", "Mo wura, tsie hɛn: eyɛ okunyin katakyi wɔ hɛn mu: hɛn asamandan mu dza woara epɛ no, sie wo fun wɔ mu; hɛn mu biara nnkam wo n’asamandan, na sie wo fun.", ""
"GEN.23.7", "Na Abraham soɛree, na ɔbɔɔ no mu adze maa asaase no do nkorɔfo no, mekyerɛ Hetmba no.", ""
"GEN.23.8", "Na ɔnye hɔn kasae see dɛ, Sɛ hom adwen nye dɛ misie mo fun fi m’enyi do a, wontsie me, na wɔnserɛ Zohar ne ba Efron mma me,", ""
"GEN.23.9", "ma ɔmfa Makepela ɔbo tu a ɔwɔ no a ɔwɔ ne haban ano no mma me; ɔngye bo a ɔfata na ɔmfa mma me ma minnya efunsiebea wɔ hom finimfin.", ""
"GEN.23.10", "Afei Efron tse Hetmba no hɔn finimfin: na Hetnyi Efron buaa Abraham wɔ Hetmba no asomu, mekyerɛ hɔn a wɔhɛn no kurow n’abotsen mu no nyinara asomu dɛ,", ""
"GEN.23.11", "Dabida, mo wura, tsie me: haban no medze ma wo, na ɔbo tu a ɔwɔ mu no medze ma wo; wɔ me man mba hɔn enyim medze ma wo: sie wo fun.", ""
"GEN.23.12", "Na Abraham bɔɔ no mu adze wɔ asaase no do nkorɔfo no hɔn enyim.", ""
"GEN.23.13", "Na ɔkasaa kyerɛɛ Efron wɔ asaase no do nkorɔfo no hɔn asomu dɛ, Mbom sɛ ibetsie a, ɔno, meserɛ wo, tsie me: mebɛma haban no ne tsibo; gye no wɔ mo hɔ, ma minsie mo fun wɔ hɔ.", ""
"GEN.23.14", "Na Efron buaa Abraham see no dɛ,", ""
"GEN.23.15", "Mo wura, tsie me: dwetɛ dwetɛbona ahaanan asaase nye dɛn wɔ emi na ɔwo ntamu? Dɛm ntsi sie wo fun.", ""
"GEN.23.16", "Na Abraham tsiee Efron; na Abraham keer dwɛɛtɛɛ a Efron bɔɔ dzin wɔ Hetmba no asomu no maa no, dwetɛ dwetɛbona ahaanan a ɔyɛ eguadzifo sika a wodzi no.", ""
"GEN.23.17", "Nna Efron ne haban a ɔwɔ Makepela a ɔwɔ Mamre enyim no, haban no, nye ɔbo tu a ɔwɔ mu no, nye ndua a ɔwɔ haban no mu no nyinara a ɔwɔ ne hanoa nyinara bɔ aprɔw no, wosii no pi", ""
"GEN.23.18", "maa Abraham dɛ enyadze wɔ Hetmba no hɔn enyim, wɔ hɔn a wɔhɛn no kurow n’abotsen mu nyinara enyim.", ""
"GEN.23.19", "Na iyi n’ekyir no, Abraham siee ne yer Sara wɔ Makepela haban no mu ɔbo tu mu wɔ Mamre enyim (ɔnoara nye Hebron), wɔ Keenan asaase do.", ""
"GEN.23.20", "Na haban no, nye ɔbotu a ɔwɔ mu no, Hetmba no sii no pi dɛ enyadze maa Abraham dɛ efunsiebea.", ""
