"GEN.24.1", "Na Abraham ayɛ akɔdaa, na oedzi mfe ara yie: na EWURADZE hyiraa Abraham wɔ adze nyinara mu.", ""
"GEN.24.2", "Na Abraham see, ne fie somfo panyin a ɔhwɛ adze a ɔwɔ nyinara do no, dɛ, Meserɛ wo, fa wo nsa to m’aserɛ ase:", ""
"GEN.24.3", "na mebɛma edze EWURADZE, sor Nyankopɔn nye asaase Nyankopɔn no, edzi nsew, dɛ ennkɛgye Keenanfo a metse hɔn mu yi, hɔn mbabaa mu bi yer ama me ba:", ""
"GEN.24.4", "na ebɔkɔ mo kurow mu, na akɛgye yer wɔ m’ebusua mu abrɛ me ba Isaak.", ""
"GEN.24.5", "Na ɔsomfo no see dɛ, Bi a ɔbaa no nnkɛpɛ dɛ ɔbɛka mo do aba asaase yi do: ɔnodze memfa wo ba nsan nkɔ asaase a ifi do bae no do bio a?", ""
"GEN.24.6", "Na Abraham see no dɛ, Hwɛ woho yie mma aammfa me ba annkɔ hɔ bio.", ""
"GEN.24.7", "EWURADZE, ɔsor Nyankopɔn no a ɔfaa me fii m’egya fie, nye asaase a wɔwoo me do no, na ɔkasaa kyerɛɛ me, na odzii nsew kyerɛɛ me, dɛ, W’asefo na medze asaase yi mebɛma hɔn no; ɔbɔsoma no bɔfoe ma oeedzi w’enyim, na akɛgye yer wɔ hɔ abrɛ me ba.", ""
"GEN.24.8", "Na sɛ ɔbaa no ammpɛ dɛ ɔbɛka wo do a, ɔno na wo ho efi me ntam yi mu: me ba no ara na mma mmfa no nnkɔ hɔ bio.", ""
"GEN.24.9", "Na akowaa no dze ne nsa too no wura Abraham ne serɛ ase, na odzii nsew kyerɛɛ no wɔ asɛm yi ho.", ""
"GEN.24.10", "Na akowaa no faa no wura n’efumpɔnkɔ mu du, na no wura ne ndzɛmba papa nyinara awɔ ne nsamu: no bi na osii mu kɔr Mesopotemia, Nahor kurow mu.", ""
"GEN.24.11", "Na ɔmaa efumpɔnkɔ no butubutuuw kurotsia nsubura no ho ewimbibaamu, aber a mbaa pue kɛsaw nsu no.", ""
"GEN.24.12", "Na ɔbɔɔ mpaa dɛ, EWURADZE, mo wura Abraham ne Nyankopɔn, meserɛ wo, ma minhyia yie ndɛ, na yɛ mo wura Abraham ayamuyie.", ""
"GEN.24.13", "Hwɛ, migyina nsubura yi ho; na kurow no mu mba mbabaa rupue abɛsaw nsu:", ""
"GEN.24.14", "na ma ɔmbra dɛ, akataasia a mebɛse no dɛ, Meserɛ wo, soɛ w’ehina, ma monnom bi; na ɔbɛse dɛ, Nom bi, na mebɛma w’efumpɔnkɔ no nsu ma wɔaanom no: ɔnoara na ma ɔnyɛ nyia eyi no ama w’akowaa Isaak; na ɔnam dɛm no do na mubohu dɛ ayɛ mo wura ayamuyie.", ""
"GEN.24.15", "Na ɔbaa dɛ onnyae nnwiee kasa no, hwɛ, Rebeka a wɔwoo no maa Betuel a ɔyɛ Abraham no nua Nahor ne yer Milka ne ba no, puei, na n’ehina si no kɔn ho.", ""
"GEN.24.16", "Na akataasia no no ho yɛ fɛw dodow, na ɔyɛ ɔbaabun, osiandɛ ɔbanyin biara nnhun no pɛn: na osianee kɔr bura no mu, na ɔkɛhyɛɛ n’ehina ma, na ɔbaa sor.", ""
"GEN.24.17", "Na akowaa no tutuu mbirika kehyiaa no kwan, na ɔsee dɛ, Meserɛ wo, ma monnom w’ehina mu nsu kakra.", ""
"GEN.24.18", "Na ɔsee dɛ, Nom bi, mo wura: na ɔyɛɛ ntsɛm soɛɛ ehina no taa ne nsamu, na ɔmaa no nsu ma ɔnomee.", ""
"GEN.24.19", "Na aber a owiee no nsu ma ma ɔnomee no, ɔsee dɛ, Mebɛsesaw bi abrɛ w’efumpɔnkɔ no so, dze ekodu dɛ wobowie nom.", ""
"GEN.24.20", "Na ɔyɛɛ ntsɛm, na ohuee n’ehina mu nsu guu ɔdaasee mu, na otutuu mbirika kɔr bura no mu bio kɛsawee, na ɔsawee maa n’efumpɔnkɔ no nyinara.", ""
"GEN.24.21", "Na banyin no hwɛɛ no haa dɛ obohu kyerɛ EWURADZE ama n’akwantu no ayɛ prɔmprɔm anaa ɔnnyɛe.", ""
"GEN.24.22", "Na ɔbaa dɛ, efumpɔnkɔ no wiee nsu nom no, nna banyin no faa sika mpɛtsea a n’ano tow dwetɛbona fa, nye ne nsakɔnadze ebien a n’ano tow sika dwetɛbona du dze hyɛɛ ne nsa;", ""
"GEN.24.23", "na obisaa no dɛ, Woana babaa nye wo? Meserɛ wo, ka kyerɛ me. Ana ɔkwan wɔ w’egya fie ma hɛn dɛ yɛbɔsoɛ hɔ?", ""
"GEN.24.24", "Na Rebeka see no dɛ, Betuel a ɔyɛ Milka ne babanyin a ɔwoo no maa Nahor no, ne babaa nye me.", ""
"GEN.24.25", "Nkyii so ɔsee no dɛ, Yɛwɔ efuw nye mbowa edziban pii, nye dan a wɔsoɛ mu.", ""
"GEN.24.26", "Na banyin no bɔɔ ne tsir adze, na ɔsɔɔr EWURADZE.", ""
"GEN.24.27", "Na ɔsee dɛ, Nhyira nka EWURADZE, mo wura Abraham ne Nyankopɔn a ɔammpow n’ehumbɔbɔr nye no nokwar no wɔ mo wura ho: emi dze, EWURADZE egya me kwan aba mo wura no nuanom fie.", ""
"GEN.24.28", "Na akataasia no tuu mbirika kɔree, na ɔkɛkaa kyerɛɛ ne na ne fifo dɛ mbrɛ nsɛm yi tse ara.", ""
"GEN.24.29", "Nna Rebeka wɔ nuabanyin bi a ne dzin dze Laban.", ""
"GEN.24.30", "Na ɔbaa dɛ, aber a ohun mpɛtsea nye nsakɔnadze wɔ n’akyerɛbaa Rebeka ne nsa, na ɔtsee n’akyerɛbaa ne nsɛm no, dɛ, Mbrɛ banyin no kaa kyerɛɛ no no, otutuu mbirika baa banyin no nkyɛn; na, hwɛ, ogyina efumpɔnkɔ no nkyɛn wɔ bura no do.", ""
"GEN.24.31", "Na Laban see no dɛ, Bra fie, ɔwo a EWURADZE ehyira wo; ɔyɛ dɛn ntsi na igyina kurotsia yi? Mesiesie dan no, nye kwan ama efumpɔnkɔ no.", ""
