"GEN.25.1", "Na Abraham waar yer kor so, ne dzin dze Ketura.", ""
"GEN.25.2", "Na ɔwoo Zimran, Joksan, Medan, Midian, Isbak, nye Sua maa no.", ""
"GEN.25.3", "Na Joksan woo Seba, nye Dedan. Na Dedan ne mba nye Assurim, Letusim, nye Leumim.", ""
"GEN.25.4", "Na Midian ne mba nye Efa, Efer, Hanok, Abida, nye Eldaa. Woyinom nyinara yɛ Ketura ne mba.", ""
"GEN.25.5", "Na Abraham dze dza ɔwɔ nyinara maa Isaak.", ""
"GEN.25.6", "Na mbasiafo nkaa no mba a Abraham wɔ no dze, Abraham kyɛɛ hɔn adze; na ogyaa hɔn kwan, boka afamu, fii ne ba Isaak ho, ber a ɔda ho tse ase no, ma wɔkɔr boka asaase no do.", ""
"GEN.25.7", "Na Abraham no nkwaber mu mfe yɛ mfe ɔha eduosuon enum.", ""
"GEN.25.8", "Na Abraham gyaa no sunsum mu, na owuu nkɔdaaber pa mu, akɔdaa a, nna oedzi mfe pii; na wɔdze no kɛkaa no nkorɔfo ho.", ""
"GEN.25.9", "Na ne mba Isaak nye Ismael siee no wɔ Makepela ɔbo tu mu, wɔ Hetnyi Zohar ne ba Efron ne haban no mu, wɔ Mamre n’enyim;", ""
"GEN.25.10", "haban no a Abraham tɔɔ no wɔ Hetmba nsamu no mu: hɔ na wosiee Abraham nye ne yer Sara.", "#Gye 23.3-16"
"GEN.25.11", "Na ɔbaa dɛ Abraham no wu ekyir no, Nyankopɔn hyiraa ne ba Isaak; na Isaak tsenaa Beer-lahai-roi ho.", ""
"GEN.25.12", "Afei iyinom nye Abraham ne ba Ismael a Egyptnyi Hagar, Sara n’afonabaa no, woo no maa Abraham no n’ebusuasantsen:", ""
"GEN.25.13", "Ismael ne mba hɔn edzin a wɔdze frɛɛ hɔn, dɛ mbrɛ hɔn awoo ndzidzido tsetsee. Nebaiot nye Ismael n’abakan; na nkaa no nye Kedar, Adbeel, Mibsam,", ""
"GEN.25.14", "Misma, Duma, nye Massa", ""
"GEN.25.15", "Binom so nye Hadad, Tema, Jetur, Nafis, nye Kedema:", ""
"GEN.25.16", "iyinom nye Ismael ne mba, na iyinom nye hɔn edzin, dɛ mbrɛ hɔn nkuroba, nye hɔn nseraban no tsetsee; etsitsir duebien dɛ mbrɛ hɔn aman tsetsee.", ""
"GEN.25.17", "Na Ismael no nkwaber mu mfe a dzii nye yi, mfe ɔha eduasa esuon: na ogyaa no sunsum mu na owui; na wɔdze no kɛkaa no nkorɔfo ho.", ""
"GEN.25.18", "Na wɔtsenaa fi Havila kodur Sur a ɔwɔ Egypt enyim no, edze rokɔ Asiria afamu no: na ɔnye no nuanom no anntsena wɔ abodwee mu.", ""
"GEN.25.19", "Na iyinom nye Abraham ne ba Isaak n’ebusuasantsen: Abraham woo Isaak;", ""
"GEN.25.20", "na Isaak dzii mfe eduanan no, nna ɔwaar Rebeka, Sirianyi Betuel ne babaa a ofi Paddan-aram, Sirianyi Laban n’akyerɛbaa no.", ""
"GEN.25.21", "Na Isaak serɛɛ EWURADZE maa ne yer, osiandɛ ɔyɛ ɔbɔnyin: na EWURADZE tsiee no nkotoserɛ no, na ne yer Rebeka nyinsenii.", ""
"GEN.25.22", "Na mbofra no dzii aper wɔ no mu; na ɔsee dɛ, Sɛ ɔtse dɛm a, ebɛnadze ntsi na metse ase? Na ɔkɔree kebisaa EWURADZE.", ""
"GEN.25.23", "Na EWURADZE see no dɛ, Aman ebien na wɔwɔ wo yamu, Na nkorɔfo ahorow ebien na wɔbɛpaa hɔnho mu efi wo yafun mu; Na ɔman no mu kor bɛyɛ dzen asen kor; Na ɔpanyin no bɔsom ekumaba no.", "#Rom 9.12"
"GEN.25.24", "Na aber a ne nda dur dɛ ɔbɔwo no, nna hwɛ, nta wɔ ne yamu.", ""
"GEN.25.25", "Na nyia odzi kan no ɔbae, no ho memennmen, no ho nyinara wɔ nhwi futuww dɛ nhwi atar; na wɔfrɛɛ ne dzin Esau.", ""
"GEN.25.26", "Na ɔno n’ekyir no no nua bae, na ne nsa dze Esau ne nantsir; na wɔfrɛɛ ne dzin Jakob na aber a wɔwoo hɔn no, nna Isaak edzi mfe eduosia.", ""
"GEN.25.27", "Na mbofra no nyinii: na Esau yɛɛ ɔbɔfo a onyim ahayɛ papaapa, ɔhamunyi a; na Jakob dze ɔyɛɛ nyimpa a ɔyɛ ɔdwe na ɔtsetse asese mu.", ""
"GEN.25.28", "Afei Isaak dɔɔ Esau, osiandɛ odzii ne hanam no bi: na Rebeka dɔɔ Jakob.", ""
"GEN.25.29", "Na Jakob yɛɛ edziban bi: na Esau fi hamu bae no, nna ɔatɔ bitsi.", ""
"GEN.25.30", "Na Esau see Jakob dɛ, Meserɛ wo, ma me edziban yi bi na mindzi; na matɔ bitsi: dɛm ntsi wɔdze too no dzin Edom.", ""
"GEN.25.31", "Na Jakob see dɛ, Tɔn wo mpanyinyɛ ma me ndɛ da yi.", ""
"GEN.25.32", "Na Esau see dɛ, Hwɛ, migyina wuso: na ebɛn mfaso na panyin yi bɛyɛ ama me?", ""
"GEN.25.33", "Na Jakob see dɛ, Dzi nsew kyerɛ me ndɛ da yi; na odzii nsew kyerɛɛ no: na ɔtɔɔn ne mpanyinyɛ maa Jakob.", "#Heb 12.16"
"GEN.25.34", "Na Jakob maa Esau boodoo nye eduwa noae, na odzii na ɔnomee, na ɔsoɛree ɔkɔr no kwan: na Esau emmbu ne mpanyinyɛ no hwee.", ""
