"GEN.28.1", "Na Isaak frɛɛ Jakob, na ohyiraa no, na ɔhyɛɛ no, na ɔsee no dɛ, Mma nnwar yer wɔ Keenan mbabaa mu.", ""
"GEN.28.2", "Soɛr, kɔ Paddan-aram, wo na n'egya Betuel fie; na kɔwar yer wɔ wo na no nua Laban ne mbabaa no hɔn mu.", ""
"GEN.28.3", "Na Nyankopɔn Otumfo nhyira wo, na ɔmma wo, na dɔr, ama aayɛ aman asafo;", ""
"GEN.28.4", "na ɔmfa Abraham nhyira mma ɔwo nye w'asefo a wɔka wo ho; ama eenya asaase a eyɛ do hɔho a Nyankopɔn dze maa Abraham yi.", "#Gye 17.4-8"
"GEN.28.5", "Na Isaak gyaa Jakob kwan: na ɔkɔr Sirianyi Betuel ne ba Laban a ɔyɛ Jakob nye Esau hɔn na Rebeka no nuabanyin no nkyɛn wɔ Paddan-aram.", ""
"GEN.28.6", "Afei Esau hun dɛ Isaak ehyira Jakob, na oegya no kwan dɛ ɔnkɔ Paddan-Aram nkɔwar yer wɔ hɔ; na orihyira no no ɔhyɛɛ no dɛ, Mma nnwar yer wɔ Keenan mbabaa hɔn mu;", ""
"GEN.28.7", "ma Jakob etsie n'egya nye ne na, na ɔkɔ Paddan-aram.", ""
"GEN.28.8", "Na Esau hun dɛ Keenan mbabaa no nnyɛ n'egya Isaak enyisɔ no;", ""
"GEN.28.9", "osii mu kɔr Ismael nkyɛn, na ɔkɔwaar Abraham ne ba Ismael ne babaa Mahalat a ɔyɛ Nebaiot n'akyerɛbaa, kaa no yernom no ho.", ""
"GEN.28.10", "Na Jakob fii Beer-seba, na osii mu kɔr Haran afamu.", ""
"GEN.28.11", "Na ɔsoɛɛ bea bi do, na ɔtsenaa hɔ anafua no nyinara, osiandɛ iwi akɔtɔ, na ɔfaa hɔ abo no kor na ɔdze ne tsir sunii, na ɔdaa hɔ.", ""
"GEN.28.12", "Na ɔsoo daa, na hwɛ atwer si asaase do, na n'etsifi pem sor; Nyankopɔn n'abɔfoe ridzi do mfowsian.", "#Joh 1.51"
"GEN.28.13", "Na, hwɛ, EWURADZE gyina n'etsifi, na ɔsee dɛ, Emi nye EWURADZE, w'egya Abraham ne Nyankopɔn, na Isaak ne Nyankopɔn: asaase a eda do no, medze mebɛma ɔwo, nye w'asefo.", ""
"GEN.28.14", "Na w'asefo bɛyɛ dɛ asaase do huntuma, na ebɛtserɛw akɔ anee, boka, nye kwaamu, nye pomu: na ɔwo nye w'asefo mu na wobehyira asaase do ebusua ebusua nyinara.", "#Gye 12.3; 22.18"
"GEN.28.15", "Na, hwɛ, menye wo nam, na mobɔhwɛ wo do wɔ beebiara a ebɔkɔ, na medze wo maba asaase yi do bio; na minnkegya wo hɔ, ekodu dɛ mebɛma dza maka makyerɛ wo yi ayɛ hɔ.", ""
"GEN.28.16", "Na Jakob fii ne nda mu nyanee, na ɔsee dɛ, Ampaara, EWURADZE wɔ ha; naaso nna minnyim.", ""
"GEN.28.17", "Na n'akoma tui, na ɔsee dɛ, ha yi yɛ hu ampa ae! Ha nnyɛ beebiara dɛ Nyankopɔn ne fie a, na ha nye hɛben abotsen no.", ""
"GEN.28.18", "Na Jakob soɛɛr anapaatu, na ɔfaa ɔbo no a osunii no, na ɔdze yɛɛ idum sii hɔ, na ohuee ngo guu do.", ""
"GEN.28.19", "Na ɔfrɛɛ bea no ne dzin Bɛtɛl: na asɔpɔn no nkyɛ kurow no ne dzin dze Luz.", ""
"GEN.28.20", "Na Jakob bɔɔ anohoba see dɛ, Sɛ Nyankopɔn dzi m'ekyir, na ɔhwɛ mo do wɔ ɔkwan yi a murutu yi mu, na ɔma me edziban ma midzi, nye atar ma mehyɛ,", ""
"GEN.28.21", "ma meba m'egya fie bio wɔ asomdwee mu a, ɔno EWURADZE bɛyɛ me Nyankopɔn,", ""
"GEN.28.22", "na ɔbo yi a medze mayɛ idum esi hɔ yi, bɛyɛ Nyankopɔn ne fi: na dza ebɛma me nyinara mebɛma wo mu ebupɛn du du.", ""
