"GEN.29.1", "Na Jakob sii no kwan do, na ɔbaa bokamba hɔn asaase do.", ""
"GEN.29.2", "Na ɔhwɛe no, nna ohun dɛ, bura bi wɔ haban no mu, na, hwɛ, nguankuw ebiasa gugu ho wɔ hɔ; osiandɛ bura no no mu nsu na wɔsaw ma nguankuw no ma wɔnom: na ɔbo a ɔda bura no n’ano no so.", ""
"GEN.29.3", "Na hɔ na nguankuw no nyinara wohyia: na sɛ wohyia a wopirew ɔbo no fi bura no n’ano, na wɔma nguan no nsu ma wɔnom, na wopirew ɔbo no hin bura no n’ano bio.", ""
"GEN.29.4", "Na Jakob bisaa hɔn dɛ, Mo nuanom, hom fi hen? Na wobuaa dɛ, Yefi Haran.", ""
"GEN.29.5", "Na obisaa hɔn dɛ, Ana hom nyim Nahor ne ba Laban a? Na wɔsee dɛ, Yenyim no,", ""
"GEN.29.6", "Na obisaa hɔn dɛ, No ho ye? Na wɔsee dɛ, No ho ye: na, hwɛ, ne babaa Rahel na ɔnye nguan reba yi.", ""
"GEN.29.7", "Na ɔsee hɔn dɛ, Hwɛ, adze nnyae nnsae, nkyii so aber a wɔka mbowa nnyae nndurii: hom mma nguan no nsu ma wɔnnom, na hom nkɔ nkɛma hɔn edziban.", ""
"GEN.29.8", "Na wɔsee dɛ, Yennkotum, gyedɛ wɔaboaboa nguankuw no nyinara ano, na woepirew ɔbo efi bura no n’ano; ansaana yɛama nguan no nsu ma wɔaanom.", ""
"GEN.29.9", "Na Jakob nye hɔn da ho rekasa no, nna Rahel nye n’egya no nguan no bae: nna ɔno na ɔhwɛ hɔn.", ""
"GEN.29.10", "Na ɔbaa dɛ, aber a Jakob hun ne na no nua Laban ne babaa Rahel, na ne na no nua Laban no nguan no, ɔtwee pinii, na okepireew ɔbo no fii bura no n’ano, na ɔmaa ne na no nua Laban no nguan no nsu ma wɔnomee.", ""
"GEN.29.11", "Na Jakob feew Rahel n’ano, na ɔmaa ne ndze do, na osui.", ""
"GEN.29.12", "Na Jakob kaa kyerɛɛ Rahel dɛ, n’egya n’awɔfase nye no, na ɔyɛ Rebeka ne ba: na Rahel tuu enguan na ɔkɛkaa kyerɛɛ n’egya.", ""
"GEN.29.13", "Na ɔbaa dɛ aber a Laban tsee n’akyerɛbaa ne ba Jakob ne nka no, otutuu enguan kehyiaa no kwan, na ɔyɛɛ no etuu, na ɔfeew n’ano, na ɔdze no baa ne fie. Na ɔbɔɔ n’amandzɛɛ yi nyinara kyerɛɛ Laban.", ""
"GEN.29.14", "Na Laban see dɛ, Ampaara, eyɛ me biew nye mo honam. Na ɔtsenaa ne nkyɛn bosoom.", ""
"GEN.29.15", "Na Laban see Jakob dɛ, Ana osiandɛ mo nua nye wo ntsi, ebɔsom me kwa? Ka kyerɛ me, ebɛnadze na ɔnyɛ w’akatua?", ""
"GEN.29.16", "Na Laban wɔ mbabaa beenu: panyin dze no ne dzin dze Leah, na ekumaba no ne dzin dze Rahel.", ""
"GEN.29.17", "Na Leah n’enyiwa yɛ meamea; na Rahel dze no ho yɛ fɛw na n’enyim wɔ nyam.", ""
"GEN.29.18", "Na Jakob dɔɔ Rahel; na ɔsee dɛ, Wo ba kuma Rahel ntsi mobɔsom wo mfe esuon.", ""
"GEN.29.19", "Na Laban see dɛ, Oye dɛ medze no mebɛma wo sen dɛ medze no mebɛma ɔbarimba bi: enye me ntsena.", ""
"GEN.29.20", "Na Rahel ntsi Jakob soom mfe esuon; na ɔdɔ a ɔdɔ no ntsi, ɔyɛɛ n’enyi do dɛ nda kumaabi.", ""
"GEN.29.21", "Na Jakob see Laban dɛ, Fa me yer ma me, na me nda aso, ma monkɔ ne nkyɛn.", ""
"GEN.29.22", "Na Laban hyiahyiaa ekuromfo nyinara, na ɔtoo pon.", ""
"GEN.29.23", "Na ɔbaa dɛ anafua no ɔfaa ne babaa Leah, na ɔdze no brɛɛ no; na ɔnye no dae", ""
"GEN.29.24", "Na Laban dze n’abaawa Zilpa maa ne babaa Leah abaawa.", ""
"GEN.29.25", "Na ɔbaa dɛ adze kyee no, nna Jakob nkɔhwɛ a saana Leah a: na obisaa Laban dɛ, Ebɛnadze na ayɛ me yi? Nnyɛ Rahel ntsi na mosoom wo bi? Ɔyɛ dɛn ntsi mbɔ na adaadaa me yi?", ""
"GEN.29.26", "Na Laban see dɛ, Hɛn ha wɔnnyɛ no dɛm; wɔmmfa ekumaba no mma awar ana wɔdze abakan no ama.", ""
"GEN.29.27", "Ma oyi ne dapɛn nso, na yɛdze ɔno so bɛma wo wɔ ɔsom a ebɔsom me mfe esuon fofor bio ntsi.", ""
"GEN.29.28", "Na Jakob yɛɛ dɛm, na ɔmaa ne dapɛn kor soe: na ɔdze ne babaa Rahel so maa no awar.", ""
"GEN.29.29", "Na Laban dze n’abaawa Bilha maa ne babaa Rahel dɛ abaawa.", ""
"GEN.29.30", "Na Jakob kɔr Rahel so nkyɛn nye no dae, na ɔdɔɔ Rahel seen Leah, na ɔsoom Laban mfe esuon fofor bio.", ""
"GEN.29.31", "Na EWURADZE hun dɛ wɔtan Leah no, obuee n’awoo kwan: na Rahel dze nna ɔbɔnyin a.", ""
"GEN.29.32", "Na Leah nyinsenii, na ɔwoo babanyin, na ɔfrɛɛ ne dzin Reuben a asekyerɛ nye; Monhwɛ ɔbabanyin: na ɔsee dɛ, EWURADZE ahwɛ m’amandzehu; na afei dze mo kun bɔdɔ me.", ""
"GEN.29.33", "Na onyinseen bio, na ɔwoo babanyin; na ɔsee dɛ, Osiandɛ EWURADZE atse dɛ wɔtan me ntsi, na ɔdze ɔba yi so ama me: na ɔfrɛɛ ne dzin Simeon a asekyerɛ nye; Otsie.", ""
"GEN.29.34", "Na onyinseen bio, na ɔwoo babanyin; na ɔsee dɛ, Afei na mo kun nye me bɛka, osiandɛ mawo mbabanyin baasa ama no: dɛm ntsi wɔfrɛɛ ne dzin Levi asekyerɛ nye; Ahofam.", ""
"GEN.29.35", "Na onyinseen bio, na ɔwoo babanyin: na ɔsee dɛ, Afei mibeyi EWURADZE ayɛw: dɛm ntsi ɔfrɛɛ ne dzin Juda; a asekyerɛ nye; Ayɛyi na ogyaa awoo.", ""
