"GEN.32.1", "Na Jakob sii no kwan do, na Nyankopɔn n’abɔfoe behyiaa no.", ""
"GEN.32.2", "Na Jakob hun hɔn no ɔsee dɛ, Nyankopɔn no dɔm nye yi: na ɔfrɛɛ bea no ne dzin Mahanaim .", "#32.2 MAHANAIM: Asekyerɛ nye: Nseraban ebien."
"GEN.32.3", "Na Jakob tuu abɔfo ma wodzii n’enyim kan kɔr no nua Esau hɔ wɔ Seir asaase do, Edom haban mu.", ""
"GEN.32.4", "Na ɔhyɛɛ hɔn dɛ, Hom nkɛse mo wura Esau dɛm; dɛ, Mbrɛ w’akowaa Jakob se nye yi, Menye Laban akɛtsena, na makyɛr hɔ ara ma ebodu ndɛ.", ""
"GEN.32.5", "Menya anantwi, nsoasopɔnkɔ, nguan, mpɔnkye na nkowaa nye mfonabaa: na masoma dɛ wɔmbɛka nkyerɛ mo wura, ama meenya w’enyim adom.", ""
"GEN.32.6", "Na abɔfo no sanee baa Jakob hɔ, dɛ, Yɛkɔr wo nua Esau hɔ na mbom ɔnoara so reba ebehyia wo kwan, na mbarimba ahaanan ka no ho.", ""
"GEN.32.7", "Nna Jakob n’akoma tuu kɛsenara, na no ho hiahiaa no. Na obuee nkorɔfo a wɔnye no nam no, nye mpɔnkye, nguan, anantwi nye efumpɔnkɔ no hɔn mu ekuw ebien;", ""
"GEN.32.8", "na ɔsee dɛ, Sɛ Esau ba kuw kor do, na oboku hɔn a, ɔno ikuw a ɔaka no eefi nsa.", ""
"GEN.32.9", "Na Jakob see dɛ, Ao, m’egya Abraham ne Nyankopɔn, na m’egya Isaak ne Nyankopɔn, ao, EWURADZE a esee me dɛ, San kɔ wo man mu, nye w’ebusua mu, na mebɛyɛ wo yie:", ""
"GEN.32.10", "ehumbɔbɔr nye nokwar a eyi akyerɛ w’akowaa no mennsɛ no mu biara; osiandɛ mo poma ara na medze twaa Jordan yi; na afei mayɛ ekuw ebien.", ""
"GEN.32.11", "Meserɛ wo, gye me fi mo nua Esau nsamu: na musuro no, bɛyɛ na ɔaba eboku emi, nye enanom nye hɔn mba yi.", ""
"GEN.32.12", "Na esee me dɛ, Ampaara mebɛyɛ wo yie, na mama w’asefo ayɛ dɛ mpoano anhwea a no dodow ntsi wɔkan a ɔnnyɛ.", "#Gye 22.17"
"GEN.32.13", "Na ɔsoɛɛ hɔ anafua no; na oyii dza ɔwɔ ne nkyɛn no mu bi dɛ ɔdze rekɛkyɛ no nua Esau;", ""
"GEN.32.14", "mpɔnkyeber ahaenu nye mpɔnkyenyin eduonu, nguamber ahaenu nye nguannyin eduonu,", ""
"GEN.32.15", "efumpɔnkɔ a wɔma enumfo eduasa nye hɔn mba, anantwiber eduanan nye anantwinyin du, nsoasopɔnkɔber eduonu nye nsoasopɔnkɔmba du.", ""
"GEN.32.16", "Na ɔdze no ekuwekuw hyɛɛ no nkowaa no nsa; na ɔsee no nkowaa no dɛ, Hom ntwa mu ndzi m’enyim, na hom mma ikuw nye ikuw ntamu mbra kwan.", ""
"GEN.32.17", "Na ɔhyɛɛ dza odzi kan no dɛ, Sɛ mo nua Esau nye wo hyia, na obisa wo dɛ, Woana n’abofra nye wo, erokɔ henfa, na dza wodzi w’enyim yi woana dze a?", ""
"GEN.32.18", "Ɔno se dɛ, W’akowaa Jakob dze a; ɔyɛ akyɛdze a wɔdze rekɛma mo wura Esau: na, hwɛ, ɔnoara so dzi hɛn ekyir.", ""
"GEN.32.19", "Na ɔhyɛɛ dza otsia ebien no so, nye dza otsia ebiasa no, nye hɔn a wɔka mbowakuw no do no nyinara dɛ, Sɛ hom hu Esau a, wɔnka dɛm asɛm yi ara nkyerɛ no.", ""
"GEN.32.20", "Na hom nse dɛ, Nkyii so, hwɛ w’akowaa Jakob so dzi hɛn ekyir. Afei ɔkaa ɔsee dɛ, Medze akyɛdze a odzi m’enyim yi bɔkɔ akɔdwedwe no, na n’ekyir no meehu n’enyim; bi a no bo bɔdwe.", ""
"GEN.32.21", "Nna akyɛdze no twaa mu dzii n’enyim: na ɔnoara dze, ɔtsenaa dɔm no mu anafua no.", ""
"GEN.32.22", "Na ɔsoɛɛr anafua no, na ɔfaa ne yernom beenu no, nye ne mbaawa beenu no, nye ne mba dubiako no, na okotwaa Jabbok esutwaree.", ""
"GEN.32.23", "Na ɔmaa wotwaa esutsen no, na ɔmaa dza ɔwɔ nyinara twae.", ""
"GEN.32.24", "Na ɔkaa Jakob no nko; na banyin bi nye no dzii aper wɔ hɔ ara ma okodur adzekyee.", "#Hos 12.3, 4"
"GEN.32.25", "Na nyimpa no hun dɛ onndzi Jakob do konyim no, nna ɔkaa n’aserɛ tokur mu; na Jakob no ndwonku huanee wɔ aperper a ɔnye no dzii no mu.", ""
"GEN.32.26", "Na banyin no see dɛ, Ma monkɔ, na adze rekye. Na ɔsee dɛ, Mennkɛma akɔ, gyedɛ ehyira me ana.", ""
"GEN.32.27", "Na banyin no bisaa no dɛ, Wo dzin dze dɛn? Na obuaa dɛ, Jakob.", ""
"GEN.32.28", "Na ɔsee dɛ, Wɔnnkɛfrɛ wo dzin Jakob bio, na mbom, Israel: osiandɛ ɔwo enye Nyankopɔn na ɔnye nyimpa ako, na edzi konyim.", "#Gye 35.10"
"GEN.32.29", "Na Jakob bisaa no dɛ, Meserɛ wo, bɔ wo dzin kyerɛ me. Na ɔsee dɛ, Na iribisa me dzin ayɛ dɛn? Na banyin no hyiraa no wɔ hɔ.", "#Atsɛ 13.17, 18"
"GEN.32.30", "Na Jakob frɛɛ bea no ne dzin Peniel; osiandɛ, ɔsee dɛ, Mehu Nyankopɔn mpu na mpu, naaso me kra enya nkwa.", ""
"GEN.32.31", "Na orutwa mu wɔ Peniel no nna ewia epue, na no ndwonku a ehuan no ntsi nna ohuan n’aserɛ mu.", ""
"GEN.32.32", "Dɛm ntsi ɔdze bodu ndɛ da yi ara Israelmba nndzi ntsin a ɔwɔ ndwonku mu no: osiandɛ ɔkaa Jakob no ndwonku wɔ mbrɛ ntsin no wɔ no.", ""
