"GEN.34.1", "Na Dina, Leah na Jakob hɔn babaa no, puei dɛ ɔrokɔhwɛ asaase no do mbabaa.", ""
"GEN.34.2", "Na Hamor, Hivinyi no, asaase no do hen no ne ba Sekem hun no; na ɔkyeer no nye no dae, na ɔbrɛɛ no adze.", ""
"GEN.34.3", "Na no werɛ kitsaa Dina Jakob ne babaa no, na ɔdɔɔ akataasia no na ɔkasaa ayamuyie mu kyerɛɛ no.", ""
"GEN.34.4", "Na Sekem kaa kyerɛɛ n’egya Hamor dɛ, Kɛgye akataasia yi yer ma me.", ""
"GEN.34.5", "Afei Jakob tsee dɛ oegu ne babaa Dina ho fi. Nna ne mbabanyin no wɔ no mbowa nkyɛn wɔ hamu ntsi ɔyɛɛ komm ma wɔbae ana.", ""
"GEN.34.6", "Na Sekem n’egya puei kɔr Jakob nkyɛn dɛ ɔrekɛnye no atwetwe nkɔmbɔ.", ""
"GEN.34.7", "Na Jakob ne mbabanyin no tsee no, wofii hamu baa fie: na ɔyɛɛ hɔn no yaw, na hɔn bo fuuw kɛsenara, osiandɛ Sekem ayɛ nkwaseadze wɔ Israel dɛ ɔnye Jakob ne babaa ada; adze a wɔnnyɛ.", ""
"GEN.34.8", "Na Hamor nye hɔn twetwee nkɔmbɔ see dɛ, Me ba Sekem no werɛ ekitsa hom babaa: meserɛ hom, wɔmfa no mma no awar.", ""
"GEN.34.9", "Na hom nye hɛn ndzi awarwar; hom mfa hom mbabaa mma hɛn, na hom so mfa hɛn mbabaa.", ""
"GEN.34.10", "Na hom nye hɛn ntsena: na asaase a ɔda hom enyim yi hom ntsena do, na hom ndzi gua wɔ do, na hom nnya adze wɔ do.", ""
"GEN.34.11", "Na Sekem see n’egya nye no nuanom no dɛ, Wɔmma minnya hom enyim enyimnyam, na dza hom bɛse me no mebɛma.", ""
"GEN.34.12", "Hom mbisa me tsiadze nye akyɛdze kɛse biara, na dza hom bɛse me no ara mebɛma: na hom mfa akataasia no mma me awar.", ""
"GEN.34.13", "Na Jakob ne mbabanyin no buaa Sekem nye n’egya Hamor ndaadaa mu, na ɔnam dɛ oegu hɔn akyerɛbaa Dina ho fi ntsi.", ""
"GEN.34.14", "Na wɔsee hɔn dɛ, Yɛyɛ dɛm adze yi a ɔnnkɛyɛ, dɛ yɛdze hɛn akyerɛbaa bɛma obi a wonntwaa no twatsia; na dɛm no yɛ enyimguase ma hɛn.", ""
"GEN.34.15", "Dza ogyina do a yɛbɛgye hom pen ara nye yi: dɛ sɛ hom bɛyɛ dɛ mbrɛ yɛtse, na woetwa hom mu mbanyin nyinara twatsia a;", ""
"GEN.34.16", "yɛdze hɛn mbabaa bɛma hom, na hɛn so yɛafa hom mbabaa, na yɛnye hom atsena, na yɛayɛ ɔman kor.", ""
"GEN.34.17", "Na sɛ hom nnketsie hɛn, na hom etwitwa twatsia a; ɔno yɛbɛfa hɛn babaa, na yɛakɔ.", ""
"GEN.34.18", "Na hɔn nsɛm no yɛɛ Hamor nye Hamor ne ba Sekem hɔn pɛ.", ""
"GEN.34.19", "Na aberantsɛ no ennkyinkyim dɛ ɔbɛyɛ dɛm adze no, osiandɛ ɔpɛ Jakob ne babaa no. Nna wodzi Sekem nyi sen n’egya ne fifo nyinara.", ""
"GEN.34.20", "Na Hamor nye ne ba Sekem baa hɔn kurow n’abotsenano, na wɔnye hɔn kurow mu mbanyin no twetwee nkɔmbɔ, dɛ,", ""
"GEN.34.21", "Mbarimba yi wɔnye hɛn tse no asomdwee mu; dɛm ntsi hom mma wɔntsena asaase yi do, na wondzi mu gua; na, hwɛ asaase yi dɔɔ so ara yie ma hɔn; hom mma yɛmfa hɔn mbabaa nwar hɔn, na wɔmma hɛn so yɛmfa hɛn mbabaa mma hɔn.", ""
