"GEN.36.1", "Afei iyinom nye Esau (ɔnoara nye Edom) n'ebusuasantsen.", ""
"GEN.36.2", "Esau waar ne yernom wɔ Keenan mbabaa mu; Hetnyi Elon ne babaa Ada, nye Hivinyi Zibeon ne babaa Ana ne babaa Oholibama;", "#Gye 26.34"
"GEN.36.3", "na Ismael ne babaa Basemat, Nebaiot n'akyerɛbaa no.", "#Gye 28.9"
"GEN.36.4", "Na Ada woo Elifaz maa Esau; na Basemat woo Reuel;", ""
"GEN.36.5", "na Oholibama woo Jeus, Jalam, nye Kora: woyinom nye Esau ne mba a wɔwoo hɔn wɔ Keenan asaase do no.", ""
"GEN.36.6", "Na Esau faa ne yernom, ne mbabanyin, ne mbabaa, ne fie nyimpa nyinara, nye fiembowa, nye no mbowa nyinara, nye n'enyadze a onyaa no wɔ Keenan asaase do nyinara; na ɔtwee noho wɔ no nua Jakob ho kɔr asaase bi do.", ""
"GEN.36.7", "Osiandɛ hɔn ahodze so dodow ma hɔn dɛ wɔbɛtsena fakor. Na asaase a wɔtse do no wɔnnsen do wɔ hɔn mbowa no ntsi.", ""
"GEN.36.8", "Na Esau a noara so nye Edom no tsenaa Seir bepɔw do.", ""
"GEN.36.9", "Na iyinom nye Esau, Edomfo a wɔtse Seir bepɔw do hɔn egya no, n'ebusuasantsen:", ""
"GEN.36.10", "Esau ne mbabanyin hɔn edzin nye yi; Elifaz, Esau ne yer Ada ne ba no, Reuel, Esau ne yer Basemat ne ba no.", ""
"GEN.36.11", "Na Elifaz ne mba nye Teman, Omar, Zefo, Gatam, nye Kenaz.", ""
"GEN.36.12", "Na Esau ne ba Elifaz no nwewe nye Timna; na ɔwoo Amalek maa Elifaz. Woyinom nye Esau ne yer Ada n'asefo.", ""
"GEN.36.13", "Na Reuel ne mba nye woyinom; Nahat, Zera, Samma, nye Miza. Woyinom nye Esau ne yer Basemat ne mba.", ""
"GEN.36.14", "Na woyinom nye Esau ne yer Oholibama, Zibeon ne babaa Ana ne babaa no ne mba; na ɔwoo Jeus, Jalam, nye Kora maa Esau.", ""
"GEN.36.15", "Woyinom nye Esau ne mba mu ekunyin: Esau n'abakan Elifaz ne mba; ekunyin Teman, Omar, Zefo, Kenaz,", ""
"GEN.36.16", "Kora, Gatam, na Amalek. Woyinom nye ekunyin a wofi Elifaz no mu puei wɔ Edom asaase do; na woyinom nye Ada n'asefo.", ""
"GEN.36.17", "Na Esau ne ba Reuel ne mba nye woyinom; ekunyin Nahat, Zera, Samma, nye Miza: woyinom nye ekunyin a wofi Reuel mu puei wɔ Edom asaase do; woyinom nye Esau ne yer Basemat ne mba.", ""
"GEN.36.18", "Na woyinom nye Esau ne yer Oholibama ne mba; ekunyin Jeus, Jalam, na okunyin Kora. Woyinom nye ekunyin a wofi Esau ne yer Oholibama, Ana ne babaa no no mu puei.", ""
"GEN.36.19", "Woyinom nye Esau a ɔnoara nye Edom no n'asefo, na woyinom nye hɔn ekunyin.", ""
"GEN.36.20", "Woyinom nye Hornyi Seir ne mba a nna wɔyɛ asaase no do mba no. Lotan, Sobal, Zibeon, Ana,", ""
"GEN.36.21", "Dison, Ezer nye Disan. Woyinom nye ekunyin a wofi Horfo, Seir ne mba no hɔn mu puei, wɔ Edom asaase do.", ""
"GEN.36.22", "Na Lotan ne mba nye Hori na Heman. Nna Lotan n'akyerɛbaa nye Timna.", ""
"GEN.36.23", "Na Sobal ne mba nye woyinom; Alvan, Manahat, Ebal, Sefo nye Onam.", ""
"GEN.36.24", "Na woyinom nye Zibeon ne mba; Aia nye Ana: oyi nye Ana a, mber a ɔhwɛ n'egya Zibeon no nsoasopɔnkɔ no okohun nsuhyew mpumpunadze wɔ sar do no.", ""
"GEN.36.25", "Na woyinom nye Ana ne mba; Dison na Oholibama, Ana ne babaa no.", ""
"GEN.36.26", "Na woyinom nye Dison ne mba; Hemdan, Esban, Itran nye Keran.", ""
"GEN.36.27", "Ezer ne mba nye woyinom; Bilhan, Zaavan nye Akan.", ""
"GEN.36.28", "Dison ne mba nye woyinom: Uz nye Aran.", ""
"GEN.36.29", "Ekunyin a wofi Horfo mu puei nye woyinom; ekunyin Lotan, Sobal, Zibeon, na Ana,", ""
"GEN.36.30", "Dison, Ezer, na Disan. Ekunyin a wofi Horfo mu puei nye woyinom dɛ mbrɛ hɔn ekunyinyɛ tsetsee wɔ Seir asaase do.", ""
"GEN.36.31", "Na ahemfo a wodzi hen wɔ Edom asaase do, ansaana obiara ridzi Israelmba do hen no nye woyinom.", ""
"GEN.36.32", "Na Beor ne ba Bela dzii hen wɔ Edom; na no kurow dzin dze Din-haba.", ""
"GEN.36.33", "Na Bela wui, na Zera a ofi Bozra ne ba Jobab bedzii n'adze.", ""
"GEN.36.34", "Na Jobab wui, na Husam a ofi Temanfo hɔn asaase do bedzii n'adze.", ""
"GEN.36.35", "Na Husam wui no Hadad, Bedad a okum Midian wɔ Moab haban mu no, ne ba no bedzii n'adze: na no kurow ne dzin dze Avit.", ""
"GEN.36.36", "Na Hadad wui, na Samla a ofi Masreka bedzii n'adze.", ""
"GEN.36.37", "Na Samla wui no Saul a ofi Rehobot a ɔwɔ Esutsen no ho no bedzii n'adze.", ""
"GEN.36.38", "Na Saul wui, na Akbor ba Baal-hanan bedzii n'adze.", ""
