"GEN.37.1", "Na Jakob tsenaa asaase a n'egya tsenaa do no do, Keenan asaase do.", ""
"GEN.37.2", "Iyi nye Jakob n'ebusua ho abakɔsɛm. Josef dzii mfe duesuon no, nna ɔnye no nuanom rohwɛ nguan no; na ɔyɛ abofra a ɔnye n'egya ne yernom Bilha nye Zilpa hɔn mba na wɔwɔ hɔ: na Josef kɛkaa hɔn ho asɛmbɔn kyerɛɛ hɔn egya.", ""
"GEN.37.3", "Afei nna Israel dɔ Josef sen ne mba nyinara, osiandɛ ɔno nye no nkɔdaaber mu ba: na ɔyɛɛ asaasaaba atar fɛfɛɛfɛw bi maa no.", ""
"GEN.37.4", "Na no nuanom no hun dɛ hɔn egya dɔ no sen hɔn nyinara no wɔtaan no, na woenntum annkasa abodwee do annkyerɛ no.", ""
"GEN.37.5", "Na Josef soo daa, na ɔkaa kyerɛɛ no nuanom no na nkyii wɔtaan no kɛse.", ""
"GEN.37.6", "Na ɔsee hɔn dɛ, Meserɛ hom, hom ntsie daa a maso yi:", ""
"GEN.37.7", "na hwɛ, nna yɛrekyekyer ewifua ekuwekuw wɔ haban mu, na, hwɛ, mo kuw no soɛree, na ogyinaa tsentsen; na, hwɛ, hom ekuw no botwaa me dze no ho hyiae, na wɔbɔɔ hɔn mu adze maa no.", ""
"GEN.37.8", "Na no nuanom bisaa no dɛ, Nna tserɛ ampaara dɛ ibedzi hɛn do hen nye no? Ana tserɛ ampaara dɛ ibenya hɛn do tum nye no? Na nkyii wɔtaan no kɛse wɔ n'adaaso no nye ne nsɛm no ntsi.", ""
"GEN.37.9", "Na ɔsoo daa kor so, na ɔkaa kyerɛɛ no nuanom, na ɔsee dɛ, Hwɛ, maso daa bio; na, hwɛ, ewia nye bosoom nye nworaba dubiako robɔ hɔn mu adze ma me.", ""
"GEN.37.10", "Na ɔkaa kyerɛɛ n'egya nye no nuanom; na n'egya twuuw n'enyim, na ɔsee no dɛ, Ebɛn daa na aso yi? Nna tserɛ ampaara dɛ emi nye wo na nye wo nuanom bɛba abɔbɔ hɛn mu adze wɔ famu ama wo nye no?", ""
"GEN.37.11", "Na no nuanom enyi beer no do; na n'egya dze ɔdze asɛm no too ne tsirmu.", "#Ndwu 7.9"
"GEN.37.12", "Na no nuanom kɔree kɔhwɛɛ hɔn egya no nguan wɔ Sekem.", ""
"GEN.37.13", "Na Israel see Josef dɛ, Ana wo nuanom nnyɛn mbowa wɔ Sekem bi a? Bra ma monsoma wo hɔn hɔ. Na ɔsee no dɛ, Emi nye yi.", ""
"GEN.37.14", "Na Israel see no dɛ, Afei kɔ, kɔhwɛ dɛ wo nuanom, nye nguan no hɔn ho ye; na san bɛka kyerɛ me. Nna ofi Hebron bɔnsa mu somaa no ma ɔbaa Sekem.", ""
"GEN.37.15", "Na banyin bi hun no dɛ, orikyin haban no mu: na banyin no bisaa no dɛ, Erohwehwɛ ebɛnadze?", ""
"GEN.37.16", "Na ɔsee dɛ, Morohwehwɛ mo nuanom: meserɛ wo ara, kyerɛ me mbrɛ wɔwɔ rohwɛ nguan no.", ""
"GEN.37.17", "Na banyin no see dɛ, Woefi ha kɔ: na metsee dɛ wɔreka dɛ, Wɔmma yɛnkɔ Dotan. Na Josef tsiiw no nuanom, na okohun hɔn wɔ Dotan.", ""
"GEN.37.18", "Na no nuanom no hun no ekyirkyiikyir, na ansaana ɔrebɛn hɔn no, wɔkɔr ne tsir do apam dɛ woboku no.", ""
"GEN.37.19", "Na wɔsesee hɔnho dɛ, Wɔnhwɛ, ɔdaasofo no na ɔreba no.", ""
"GEN.37.20", "Dɛm ntsi afei wɔmbra, wɔmma yenku no, na yɛntow no nkyen mona yi bi mu, na yɛnkɛse dɛ, Abowa bɔn bi na ɔatsetsew no mu: na nkyii yɛnhwɛ mbrɛ n'adaaso no bowie.", ""
"GEN.37.21", "Na Reuben tsee, na ɔgyee no wɔ hɔn nsamu; na ɔsee dɛ, Mma wɔmma yennku no;", ""
